entry_family,entry_variant_id,entry_event_count,median_missed_gain_from_launch_to_entry,median_missed_gain_from_launch_to_entry_close_proxy,median_missed_intraday_high_from_launch_to_entry
higher_low_reacceleration_entry,higher_low_money_quality,332,0.10013187,0.10300559,0.14600657102325731
higher_low_reacceleration_entry,higher_low_reaccel_rank,1250,0.1324526,0.1294539,0.2014279909487644
higher_low_reacceleration_entry,higher_low_reclaim_ema20,2281,0.08839786,0.09034753,0.14618553639082
price_hold_after_launch,hold_10d_close_ge_launch_close,4717,0.04146731,0.043533325,0.08920190666214656
price_hold_after_launch,hold_10d_low_ge_launch_low,4502,0.028880835,0.030709386,0.08251962131357182
price_hold_after_launch,hold_20d_close_ge_launch_close,4701,0.06412637,0.06524384,0.12880863781870477
price_hold_after_launch,hold_3d_close_above_ema20,6989,0.0077319145,0.008474708,0.03949969704045153
price_hold_after_launch,hold_3d_close_ge_launch_close,4567,0.02406013,0.024918914,0.05536062757942872
price_hold_after_launch,hold_3d_low_ge_launch_low,6707,0.0065716505,0.0072202682,0.039000572553287816
price_hold_after_launch,hold_5d_close_above_median20,6932,0.010664642,0.0119277835,0.04755776333469264
price_hold_after_launch,hold_5d_close_ge_launch_close,4591,0.029177785,0.032012224,0.06779662523760033
price_hold_after_launch,hold_5d_low_ge_launch_low,5758,0.013754904,0.014945924,0.05231474453026108
pullback_hold_entry,pullback_3_8_contraction_upper_close,1043,0.04020095,0.037347555,0.12334803818506312
pullback_hold_entry,pullback_3_8_reclaim_ema20,1476,0.064540386,0.06253767,0.13341930758568554
pullback_hold_entry,pullback_5_12_low_above_launch_low,661,0.05754578,0.064450026,0.1223262615450531
sparse_strong_day_followthrough_entry,gap_up_hold_3d,475,0.02346313,0.024271846,0.08464541948837567
sparse_strong_day_followthrough_entry,second_strong_day,508,0.13335437,0.1289404,0.18860510989550439
sparse_strong_day_followthrough_entry,sparse_limit_followthrough_3d,1606,0.007063091,0.007895887,0.05829163907874613
sparse_strong_day_followthrough_entry,sparse_limit_followthrough_5d,1461,0.012589335,0.015209079,0.0705617840370436
sparse_strong_day_followthrough_entry,strong_body_pullback_hold,628,0.073780775,0.074833095,0.13549501030265299
volume_confirmation_entry,volume_hold_3d,2745,0.027407765,0.02831316,0.06459894027301982
volume_confirmation_entry,volume_hold_5d,2632,0.03333342,0.037128508,0.07877338781721432
volume_confirmation_entry,volume_rank_money_jump_followthrough,233,0.052969456,0.052109122,0.09983082365835294
volume_confirmation_entry,volume_second_money_rank_jump,873,0.06856072,0.06670821,0.12913484087076776
