lead_id,lead_name,primary_combo_family,lifecycle_bucket,formula_or_bin,direction,target_horizon,positive_label,baseline_scope,baseline_stock_day_count,stock_day_count,positive_stock_day_count,baseline_stock_day_precision,stock_day_precision,stock_day_lift,lead_future_50pct_precision,lead_future_100pct_240d_precision,unique_instrument_count,unique_instrument_year_count,positive_unique_instrument_count,positive_unique_instrument_year_count,distinct_year_count,distinct_industry_count,top1_industry_contribution,top1_instrument_contribution,top5_instrument_contribution,top1_episode_contribution,top5_episode_contribution,avg_lead_time_to_50pct_high,median_lead_time_to_50pct_high,avg_lead_time_to_50pct_close,avg_lead_time_to_100pct_high,trend_speed_not_fast_rate,repair_signal_rate,label_horizon_truncated_rate,observed_reference_overlap_rate,false_positive_stock_day_count,false_positive_rate,false_positive_avg_future_drawdown_120d,sparse_diagnostic,generalizable_entry_lead,path_explanation_only,diagnostic_only_not_p1_ready,recommended_next_phase,instrument_year_hit_rate,baseline_instrument_year_hit_rate,instrument_year_hit_lift,mean_trigger_count_per_instrument_year,median_trigger_count_per_instrument_year,p95_trigger_count_per_instrument_year,lead_trigger_event_count,positive_lead_trigger_event_count,dedup_trigger_event_precision,baseline_trigger_event_precision,dedup_trigger_event_lift,winner_episode_coverage,winner_episode_covered_count,winner_episode_denominator_count,stock_day_vs_dedup_lift_gap,qualified_lead,failure_reason,feature_name,bin_value,lead_type
p0_5_uni_ret3_p0_10,ret3,price_state,early_entry_discovery,ret3 == p0_10,high,120d,future_50pct_high_120d,same_horizon_early_entry_discovery_eligible_pit_stock_days,163167,13882,1945,0.09227356021744593,0.14010949430917735,1.518414310437403,0.14010949430917735,0.07743840945108774,266,1192,190,403,8,28,0.10826970177207895,0.02005141388174807,0.09048843187660668,0.005141388174807198,0.02313624678663239,71.6107969151671,72.0,77.0885588558856,125.3224115334207,0.9954617490275176,0.5698746578302838,0.0,0.0,11937,0.8598905056908226,-0.16866953224881373,False,True,False,False,p1_hypothesis_refine,,,,,,,,,,,,,,,,False,univariate_screen_only,ret3,p0_10,univariate_primitive
p0_5_uni_ret3_p10_20,ret3,price_state,early_entry_discovery,ret3 == p10_20,high,120d,future_50pct_high_120d,same_horizon_early_entry_discovery_eligible_pit_stock_days,163167,16320,1675,0.09227356021744593,0.10263480392156862,1.1122883270105333,0.10263480392156862,0.05324754901960784,268,1247,191,401,8,28,0.13204656862745098,0.020298507462686566,0.08895522388059701,0.007761194029850746,0.028656716417910448,72.55820895522388,73.0,80.00129449838188,133.2411971830986,0.9973651960784313,0.6797181372549019,0.0,0.0,14645,0.8973651960784313,-0.15399590866203572,False,True,False,False,p1_hypothesis_refine,,,,,,,,,,,,,,,,False,univariate_screen_only,ret3,p10_20,univariate_primitive
p0_5_uni_ret3_p20_40,ret3,price_state,early_entry_discovery,ret3 == p20_40,high,120d,future_50pct_high_120d,same_horizon_early_entry_discovery_eligible_pit_stock_days,163167,37937,3250,0.09227356021744593,0.08566834488757677,0.9284170317661556,0.08566834488757677,0.04612910878561826,269,1296,197,446,8,28,0.16970240134960593,0.01876923076923077,0.08861538461538461,0.01353846153846154,0.04246153846153846,71.70338461538462,73.0,79.48620457604306,128.93698630136987,0.998392071065187,0.7106782296966022,0.0,0.0,34687,0.9143316551124232,-0.13782160596316076,False,True,False,False,p1_hypothesis_refine,,,,,,,,,,,,,,,,False,univariate_screen_only,ret3,p20_40,univariate_primitive
p0_5_uni_ret3_p40_60,ret3,price_state,early_entry_discovery,ret3 == p40_60,high,120d,future_50pct_high_120d,same_horizon_early_entry_discovery_eligible_pit_stock_days,163167,40503,2960,0.09227356021744593,0.07308100634520899,0.7920037567965407,0.07308100634520899,0.03950324667308595,267,1313,193,418,8,28,0.24830259486951584,0.024324324324324326,0.09797297297297297,0.011824324324324325,0.056081081081081084,72.16385135135135,73.0,79.34193072955048,126.44111570247934,0.9988395921289781,0.7349332148235933,0.0,0.0,37543,0.926918993654791,-0.12269937531994586,False,True,False,False,p1_hypothesis_refine,,,,,,,,,,,,,,,,False,univariate_screen_only,ret3,p40_60,univariate_primitive
p0_5_uni_ret3_p60_80,ret3,price_state,early_entry_discovery,ret3 == p60_80,high,120d,future_50pct_high_120d,same_horizon_early_entry_discovery_eligible_pit_stock_days,163167,34598,3027,0.09227356021744593,0.08749060639343315,0.9481655003584821,0.08749060639343315,0.04575408983178218,266,1339,192,422,8,28,0.18067518353662063,0.016187644532540468,0.07466138090518665,0.009250082590023126,0.03964321110009911,71.78031053848694,72.0,79.28509563334536,129.78999018645732,0.9978611480432394,0.8221862535406671,0.0,0.0,31571,0.9125093936065669,-0.13319399339495738,False,True,False,False,p1_hypothesis_refine,,,,,,,,,,,,,,,,False,univariate_screen_only,ret3,p60_80,univariate_primitive
p0_5_uni_ret3_p80_90,ret3,price_state,early_entry_discovery,ret3 == p80_90,high,120d,future_50pct_high_120d,same_horizon_early_entry_discovery_eligible_pit_stock_days,163167,12438,1274,0.09227356021744593,0.10242804309374498,1.1100475894976811,0.10242804309374498,0.055073162887924104,266,1245,178,364,8,28,0.12855764592378197,0.02511773940345369,0.08712715855572999,0.005494505494505495,0.027472527472527472,71.13343799058084,71.0,77.20575783234547,127.6148796498906,0.9936484965428526,0.8888888888888888,0.0,0.0,11164,0.897571956906255,-0.15427920695331987,False,True,False,False,p1_hypothesis_refine,,,,,,,,,,,,,,,,False,univariate_screen_only,ret3,p80_90,univariate_primitive
p0_5_uni_ret3_p90_100,ret3,price_state,early_entry_discovery,ret3 == p90_100,high,120d,future_50pct_high_120d,same_horizon_early_entry_discovery_eligible_pit_stock_days,163167,7489,925,0.09227356021744593,0.12351448791560957,1.3385685739722546,0.12351448791560957,0.06983575911336627,264,1134,153,272,8,28,0.10228334891173721,0.04972972972972973,0.15783783783783784,0.011891891891891892,0.043243243243243246,68.17513513513514,68.0,73.49311926605505,121.78016085790885,0.9588730137535051,0.8818266791293897,0.0,0.0,6564,0.8764855120843904,-0.18070610803964118,False,True,False,False,p1_hypothesis_refine,,,,,,,,,,,,,,,,False,univariate_screen_only,ret3,p90_100,univariate_primitive
p0_5_uni_ret5_p0_10,ret5,price_state,early_entry_discovery,ret5 == p0_10,high,120d,future_50pct_high_120d,same_horizon_early_entry_discovery_eligible_pit_stock_days,163167,14932,2120,0.09227356021744593,0.14197696222877043,1.5386526963324778,0.14197696222877043,0.07935976426466648,267,1180,189,406,8,28,0.11063487811411733,0.01839622641509434,0.08490566037735849,0.005188679245283019,0.024056603773584907,72.29056603773584,73.5,77.8498727735369,127.09378663540446,0.9975890704527189,0.5444682560942942,0.0,0.0,12812,0.8580230377712296,-0.16632236020804636,False,True,False,False,p1_hypothesis_refine,,,,,,,,,,,,,,,,False,univariate_screen_only,ret5,p0_10,univariate_primitive
p0_5_uni_ret5_p10_20,ret5,price_state,early_entry_discovery,ret5 == p10_20,high,120d,future_50pct_high_120d,same_horizon_early_entry_discovery_eligible_pit_stock_days,163167,16970,1721,0.09227356021744593,0.10141426045963466,1.0990608818024181,0.10141426045963466,0.0535061873895109,267,1220,190,390,8,28,0.13453152622274603,0.020918070889018012,0.08773968622893666,0.006972690296339338,0.02905287623474724,72.97327135386404,74.0,80.79387882573391,131.28993055555554,0.998526812021214,0.6629345904537419,0.0,0.0,15249,0.8985857395403654,-0.15220056221856962,False,True,False,False,p1_hypothesis_refine,,,,,,,,,,,,,,,,False,univariate_screen_only,ret5,p10_20,univariate_primitive
p0_5_uni_ret5_p20_40,ret5,price_state,early_entry_discovery,ret5 == p20_40,high,120d,future_50pct_high_120d,same_horizon_early_entry_discovery_eligible_pit_stock_days,163167,38608,3280,0.09227356021744593,0.08495648570244509,0.920702371321125,0.08495648570244509,0.045430998756734356,268,1265,191,430,8,28,0.17048280149191877,0.020426829268292684,0.09115853658536585,0.013719512195121951,0.04451219512195122,71.41128048780487,72.0,78.95628962295629,128.9655172413793,0.9984200165768753,0.7019529631164525,0.0,0.0,35328,0.9150435142975549,-0.13832869966589828,False,True,False,False,p1_hypothesis_refine,,,,,,,,,,,,,,,,False,univariate_screen_only,ret5,p20_40,univariate_primitive
