feature_name,bin_value,horizon,positive_label,industry_name,stock_day_count,positive_rate,industry_baseline_positive_rate,lift_vs_industry_baseline
amplitude20,p90_100,120d,future_50pct_high_120d,UNKNOWN,5,0.8,0.6789667896678967,1.1782608695652175
amplitude20,p90_100,120d,future_50pct_high_120d,交通运输,1048,0.14694656488549618,0.060788746546093946,2.4173317140874393
amplitude20,p90_100,120d,future_50pct_high_120d,传媒,539,0.24304267161410018,0.19982798165137614,1.2162594527833306
amplitude20,p90_100,120d,future_50pct_high_120d,公用事业,703,0.10668563300142248,0.05992803402028132,1.7802291489374917
amplitude20,p90_100,120d,future_50pct_high_120d,农林牧渔,478,0.3514644351464435,0.19814323607427056,1.7737897195476464
amplitude20,p90_100,120d,future_50pct_high_120d,医药生物,1447,0.12646855563234277,0.13233748271092668,0.9556518156582758
amplitude20,p90_100,120d,future_50pct_high_120d,商贸零售,81,0.0,0.04200254560882478,0.0
amplitude20,p90_100,120d,future_50pct_high_120d,国防军工,812,0.27832512315270935,0.17058412846171747,1.631600346776524
amplitude20,p90_100,120d,future_50pct_high_120d,基础化工,1370,0.3124087591240876,0.168040943986352,1.8591228525201626
amplitude20,p90_100,120d,future_50pct_high_120d,家用电器,875,0.18285714285714286,0.1374277456647399,1.3305693255220068
amplitude20,p90_100,120d,future_50pct_high_120d,建筑材料,350,0.26,0.11421077730090605,2.2764926931106473
amplitude20,p90_100,120d,future_50pct_high_120d,建筑装饰,514,0.05252918287937743,0.060676678750215776,0.8657227778669515
amplitude20,p90_100,120d,future_50pct_high_120d,房地产,1207,0.13587406793703397,0.11612586037364798,1.1700586544620113
amplitude20,p90_100,120d,future_50pct_high_120d,有色金属,1962,0.3195718654434251,0.2202324100604903,1.4510664681717358
amplitude20,p90_100,120d,future_50pct_high_120d,机械设备,333,0.27627627627627627,0.12679868927197607,2.1788575091945876
amplitude20,p90_100,120d,future_50pct_high_120d,汽车,1992,0.35040160642570284,0.1838762750904903,1.9056379418892466
amplitude20,p90_100,120d,future_50pct_high_120d,煤炭,793,0.30138713745271123,0.1936167208021466,1.5566173014607207
amplitude20,p90_100,120d,future_50pct_high_120d,电力设备,2296,0.22168989547038329,0.17161520190023752,1.2917847196267318
amplitude20,p90_100,120d,future_50pct_high_120d,电子,3867,0.30074993535040084,0.17613504614385753,1.7074962759243533
amplitude20,p90_100,120d,future_50pct_high_120d,石油石化,421,0.28741092636579574,0.11748764546468994,2.446307654128408
amplitude20,p90_100,120d,future_50pct_high_120d,社会服务,199,0.2864321608040201,0.2883845126835781,0.9932300390843104
amplitude20,p90_100,120d,future_50pct_high_120d,综合,7,0.0,0.0,
amplitude20,p90_100,120d,future_50pct_high_120d,计算机,2367,0.19476130122517954,0.18542691104157352,1.0503399972052234
amplitude20,p90_100,120d,future_50pct_high_120d,轻工制造,175,0.17142857142857143,0.11443014705882353,1.498106712564544
amplitude20,p90_100,120d,future_50pct_high_120d,通信,759,0.18840579710144928,0.16592592592592592,1.1354813664596275
amplitude20,p90_100,120d,future_50pct_high_120d,钢铁,280,0.2,0.12930845225027443,1.5466893039049237
