target_industry,model_task,fold_id,raw_rows,label_horizon_truncated_rows,label_horizon_truncated_rate,rows_entered_p1_promotion_with_truncated_label
国防军工,industry_launch_winner_score_lgbm,fold_2020,1030,59,0.05728155339805825,0
国防军工,industry_launch_winner_score_lgbm,fold_2021,1030,59,0.05728155339805825,0
国防军工,industry_launch_winner_score_lgbm,fold_2022,1030,59,0.05728155339805825,0
国防军工,industry_launch_winner_score_lgbm,fold_2023,1030,59,0.05728155339805825,0
国防军工,industry_launch_winner_score_lgbm,fold_2024,1030,59,0.05728155339805825,0
基础化工,industry_launch_winner_score_lgbm,fold_2020,1451,264,0.1819434872501723,0
基础化工,industry_launch_winner_score_lgbm,fold_2021,1451,264,0.1819434872501723,0
基础化工,industry_launch_winner_score_lgbm,fold_2022,1451,264,0.1819434872501723,0
基础化工,industry_launch_winner_score_lgbm,fold_2023,1451,264,0.1819434872501723,0
基础化工,industry_launch_winner_score_lgbm,fold_2024,1451,264,0.1819434872501723,0
汽车,industry_launch_winner_score_lgbm,fold_2020,1877,133,0.07085775173148641,0
汽车,industry_launch_winner_score_lgbm,fold_2021,1877,133,0.07085775173148641,0
汽车,industry_launch_winner_score_lgbm,fold_2022,1877,133,0.07085775173148641,0
汽车,industry_launch_winner_score_lgbm,fold_2023,1877,133,0.07085775173148641,0
汽车,industry_launch_winner_score_lgbm,fold_2024,1877,133,0.07085775173148641,0
交通运输,industry_launch_winner_score_lgbm,fold_2020,2303,30,0.013026487190620929,0
交通运输,industry_launch_winner_score_lgbm,fold_2021,2303,30,0.013026487190620929,0
交通运输,industry_launch_winner_score_lgbm,fold_2022,2303,30,0.013026487190620929,0
交通运输,industry_launch_winner_score_lgbm,fold_2023,2303,30,0.013026487190620929,0
交通运输,industry_launch_winner_score_lgbm,fold_2024,2303,30,0.013026487190620929,0
机械设备,industry_launch_winner_score_lgbm,fold_2020,842,60,0.07125890736342043,0
机械设备,industry_launch_winner_score_lgbm,fold_2021,842,60,0.07125890736342043,0
机械设备,industry_launch_winner_score_lgbm,fold_2022,842,60,0.07125890736342043,0
机械设备,industry_launch_winner_score_lgbm,fold_2023,842,60,0.07125890736342043,0
机械设备,industry_launch_winner_score_lgbm,fold_2024,842,60,0.07125890736342043,0
建筑材料,industry_launch_winner_score_lgbm,fold_2020,549,129,0.23497267759562843,0
建筑材料,industry_launch_winner_score_lgbm,fold_2021,549,129,0.23497267759562843,0
建筑材料,industry_launch_winner_score_lgbm,fold_2022,549,129,0.23497267759562843,0
建筑材料,industry_launch_winner_score_lgbm,fold_2023,549,129,0.23497267759562843,0
建筑材料,industry_launch_winner_score_lgbm,fold_2024,549,129,0.23497267759562843,0
传媒,industry_launch_winner_score_lgbm,fold_2020,462,119,0.25757575757575757,0
传媒,industry_launch_winner_score_lgbm,fold_2021,462,119,0.25757575757575757,0
传媒,industry_launch_winner_score_lgbm,fold_2022,462,119,0.25757575757575757,0
传媒,industry_launch_winner_score_lgbm,fold_2023,462,119,0.25757575757575757,0
传媒,industry_launch_winner_score_lgbm,fold_2024,462,119,0.25757575757575757,0
电力设备,industry_launch_winner_score_lgbm,fold_2020,1934,305,0.1577042399172699,0
电力设备,industry_launch_winner_score_lgbm,fold_2021,1934,305,0.1577042399172699,0
电力设备,industry_launch_winner_score_lgbm,fold_2022,1934,305,0.1577042399172699,0
电力设备,industry_launch_winner_score_lgbm,fold_2023,1934,305,0.1577042399172699,0
电力设备,industry_launch_winner_score_lgbm,fold_2024,1934,305,0.1577042399172699,0
电子,industry_launch_winner_score_lgbm,fold_2020,2972,241,0.08109017496635262,0
电子,industry_launch_winner_score_lgbm,fold_2021,2972,241,0.08109017496635262,0
电子,industry_launch_winner_score_lgbm,fold_2022,2972,241,0.08109017496635262,0
电子,industry_launch_winner_score_lgbm,fold_2023,2972,241,0.08109017496635262,0
电子,industry_launch_winner_score_lgbm,fold_2024,2972,241,0.08109017496635262,0
国防军工,industry_failure_reject_score_lgbm,fold_2020,3087,169,0.054745707806932296,0
国防军工,industry_failure_reject_score_lgbm,fold_2021,3087,169,0.054745707806932296,0
国防军工,industry_failure_reject_score_lgbm,fold_2022,3087,169,0.054745707806932296,0
国防军工,industry_failure_reject_score_lgbm,fold_2023,3087,169,0.054745707806932296,0
国防军工,industry_failure_reject_score_lgbm,fold_2024,3087,169,0.054745707806932296,0
基础化工,industry_failure_reject_score_lgbm,fold_2020,4305,805,0.18699186991869918,0
基础化工,industry_failure_reject_score_lgbm,fold_2021,4305,805,0.18699186991869918,0
基础化工,industry_failure_reject_score_lgbm,fold_2022,4305,805,0.18699186991869918,0
基础化工,industry_failure_reject_score_lgbm,fold_2023,4305,805,0.18699186991869918,0
基础化工,industry_failure_reject_score_lgbm,fold_2024,4305,805,0.18699186991869918,0
汽车,industry_failure_reject_score_lgbm,fold_2020,5597,381,0.0680721815258174,0
汽车,industry_failure_reject_score_lgbm,fold_2021,5597,381,0.0680721815258174,0
汽车,industry_failure_reject_score_lgbm,fold_2022,5597,381,0.0680721815258174,0
汽车,industry_failure_reject_score_lgbm,fold_2023,5597,381,0.0680721815258174,0
汽车,industry_failure_reject_score_lgbm,fold_2024,5597,381,0.0680721815258174,0
交通运输,industry_failure_reject_score_lgbm,fold_2020,6909,96,0.013894919669995658,0
交通运输,industry_failure_reject_score_lgbm,fold_2021,6909,96,0.013894919669995658,0
交通运输,industry_failure_reject_score_lgbm,fold_2022,6909,96,0.013894919669995658,0
交通运输,industry_failure_reject_score_lgbm,fold_2023,6909,96,0.013894919669995658,0
交通运输,industry_failure_reject_score_lgbm,fold_2024,6909,96,0.013894919669995658,0
机械设备,industry_failure_reject_score_lgbm,fold_2020,2522,176,0.06978588421887391,0
机械设备,industry_failure_reject_score_lgbm,fold_2021,2522,176,0.06978588421887391,0
机械设备,industry_failure_reject_score_lgbm,fold_2022,2522,176,0.06978588421887391,0
机械设备,industry_failure_reject_score_lgbm,fold_2023,2522,176,0.06978588421887391,0
机械设备,industry_failure_reject_score_lgbm,fold_2024,2522,176,0.06978588421887391,0
建筑材料,industry_failure_reject_score_lgbm,fold_2020,1654,403,0.24365175332527206,0
建筑材料,industry_failure_reject_score_lgbm,fold_2021,1654,403,0.24365175332527206,0
建筑材料,industry_failure_reject_score_lgbm,fold_2022,1654,403,0.24365175332527206,0
建筑材料,industry_failure_reject_score_lgbm,fold_2023,1654,403,0.24365175332527206,0
建筑材料,industry_failure_reject_score_lgbm,fold_2024,1654,403,0.24365175332527206,0
传媒,industry_failure_reject_score_lgbm,fold_2020,1377,393,0.28540305010893247,0
传媒,industry_failure_reject_score_lgbm,fold_2021,1377,393,0.28540305010893247,0
传媒,industry_failure_reject_score_lgbm,fold_2022,1377,393,0.28540305010893247,0
传媒,industry_failure_reject_score_lgbm,fold_2023,1377,393,0.28540305010893247,0
传媒,industry_failure_reject_score_lgbm,fold_2024,1377,393,0.28540305010893247,0
电力设备,industry_failure_reject_score_lgbm,fold_2020,5834,941,0.1612958519026397,0
电力设备,industry_failure_reject_score_lgbm,fold_2021,5834,941,0.1612958519026397,0
