target_industry,pit_mapping_status,industry_enabled_for_p0_9,overall_distinct_instruments,overall_distinct_instrument_years,overall_launch_events,overall_launch_50h120_positive_count,overall_failure_opportunities,overall_failure_positive_count,fold_id,train_event_count_after_purge,train_positive_count_after_purge,outer_validation_event_count_eligible,outer_validation_positive_count_eligible,expected_promotion_feasibility,non_promotable_reason
国防军工,exact_match,True,14,55,1030,1050,0,0,ALL,1293,379,791,155,True,
基础化工,exact_match,True,34,84,1451,980,0,0,ALL,1993,469,879,137,True,
汽车,exact_match,True,19,88,1877,1660,0,0,ALL,3509,641,1210,274,True,
交通运输,exact_match,True,20,116,2303,500,0,0,ALL,4179,263,1503,57,True,
机械设备,exact_match,True,11,42,842,535,0,0,ALL,1258,175,585,76,True,
建筑材料,exact_match,True,11,33,549,340,0,0,ALL,663,178,360,56,True,
传媒,exact_match,True,7,25,462,410,0,0,ALL,797,267,211,22,True,
电力设备,exact_match,True,26,91,1934,1485,0,0,ALL,2331,487,1380,252,True,
电子,exact_match,True,35,141,2972,3000,0,0,ALL,4226,1305,2088,350,True,
国防军工,exact_match,True,14,62,0,0,15435,5885,ALL,3795,1319,2367,899,True,
基础化工,exact_match,True,34,90,0,0,21525,9055,ALL,5856,1956,2598,1003,True,
汽车,exact_match,True,20,94,0,0,27985,11125,ALL,10378,4199,3597,1320,True,
交通运输,exact_match,True,20,122,0,0,34545,11980,ALL,12385,4431,4476,1419,True,
机械设备,exact_match,True,11,45,0,0,12610,4720,ALL,3740,1267,1746,672,True,
建筑材料,exact_match,True,11,36,0,0,8270,3855,ALL,1951,705,1074,524,True,
传媒,exact_match,True,7,29,0,0,6885,3445,ALL,2277,965,590,329,True,
电力设备,exact_match,True,27,105,0,0,29170,14840,ALL,6888,2821,4094,1911,True,
电子,exact_match,True,35,155,0,0,44420,20550,ALL,12610,4602,6146,2864,True,
