row_type,date,instrument,industry_name,status,width_ok_entry,industry_ok_entry,filtered_out,combined_entry,combined_without_industry,score_pct_without_industry,trend_score_pct
daily,2017-01-03,,,,0,0,0,0,0,,
daily,2017-01-04,,,,0,0,0,0,0,,
daily,2017-01-05,,,,0,0,0,0,0,,
daily,2017-01-06,,,,0,0,0,0,0,,
daily,2017-01-09,,,,0,0,0,0,0,,
daily,2017-01-10,,,,0,0,0,0,0,,
daily,2017-01-11,,,,0,0,0,0,0,,
daily,2017-01-12,,,,0,0,0,0,0,,
daily,2017-01-13,,,,0,0,0,0,0,,
daily,2017-01-16,,,,0,0,0,0,0,,
daily,2017-01-17,,,,0,0,0,0,0,,
daily,2017-01-18,,,,0,0,0,0,0,,
daily,2017-01-19,,,,0,0,0,0,0,,
daily,2017-01-20,,,,0,0,0,0,0,,
daily,2017-01-23,,,,0,0,0,0,0,,
daily,2017-01-24,,,,0,0,0,0,0,,
daily,2017-01-25,,,,0,0,0,0,0,,
daily,2017-01-26,,,,0,0,0,0,0,,
daily,2017-02-03,,,,0,0,0,0,0,,
daily,2017-02-06,,,,0,0,0,0,0,,
daily,2017-02-07,,,,100,0,100,0,7,,
daily,2017-02-08,,,,103,0,103,0,7,,
daily,2017-02-09,,,,105,0,105,0,6,,
daily,2017-02-10,,,,102,0,102,0,2,,
daily,2017-02-13,,,,105,0,105,0,4,,
daily,2017-02-14,,,,102,0,102,0,8,,
daily,2017-02-15,,,,103,0,103,0,2,,
daily,2017-02-16,,,,97,0,97,0,8,,
daily,2017-02-17,,,,116,0,116,0,1,,
daily,2017-02-20,,,,88,0,88,0,5,,
daily,2017-02-21,,,,96,0,96,0,2,,
daily,2017-02-22,,,,94,0,94,0,6,,
daily,2017-02-23,,,,107,0,107,0,3,,
daily,2017-02-24,,,,117,0,117,0,2,,
daily,2017-02-27,,,,116,0,116,0,3,,
daily,2017-02-28,,,,119,0,119,0,12,,
daily,2017-03-01,,,,121,0,121,0,10,,
daily,2017-03-02,,,,112,0,112,0,7,,
daily,2017-03-03,,,,101,0,101,0,12,,
daily,2017-03-06,,,,103,0,103,0,5,,
daily,2017-03-07,,,,99,0,99,0,6,,
daily,2017-03-08,,,,105,0,105,0,1,,
daily,2017-03-09,,,,92,0,92,0,2,,
daily,2017-03-10,,,,86,0,86,0,7,,
daily,2017-03-13,,,,88,0,88,0,6,,
daily,2017-03-14,,,,92,0,92,0,2,,
daily,2017-03-15,,,,88,0,88,0,3,,
daily,2017-03-16,,,,101,0,101,0,5,,
daily,2017-03-17,,,,91,0,91,0,1,,
daily,2017-03-20,,,,86,0,86,0,8,,
daily,2017-03-21,,,,75,0,75,0,10,,
daily,2017-03-22,,,,64,0,64,0,5,,
daily,2017-03-23,,,,71,0,71,0,2,,
daily,2017-03-24,,,,71,0,71,0,3,,
daily,2017-03-27,,,,88,0,88,0,2,,
daily,2017-03-28,,,,87,0,87,0,4,,
daily,2017-03-29,,,,75,0,75,0,4,,
daily,2017-03-30,,,,0,0,0,0,0,,
daily,2017-03-31,,,,0,0,0,0,0,,
daily,2017-04-05,,,,82,0,82,0,1,,
daily,2017-04-06,,,,80,44,36,2,4,,
daily,2017-04-07,,,,80,43,37,0,1,,
daily,2017-04-10,,,,83,47,36,1,2,,
daily,2017-04-11,,,,78,47,31,1,2,,
daily,2017-04-12,,,,82,38,44,2,6,,
daily,2017-04-13,,,,88,49,39,4,9,,
daily,2017-04-14,,,,0,0,0,0,0,,
daily,2017-04-17,,,,0,0,0,0,0,,
daily,2017-04-18,,,,0,0,0,0,0,,
daily,2017-04-19,,,,0,0,0,0,0,,
daily,2017-04-20,,,,0,0,0,0,0,,
daily,2017-04-21,,,,0,0,0,0,0,,
daily,2017-04-24,,,,0,0,0,0,0,,
daily,2017-04-25,,,,0,0,0,0,0,,
daily,2017-04-26,,,,0,0,0,0,0,,
daily,2017-04-27,,,,0,0,0,0,0,,
daily,2017-04-28,,,,0,0,0,0,0,,
daily,2017-05-02,,,,0,0,0,0,0,,
daily,2017-05-03,,,,0,0,0,0,0,,
daily,2017-05-04,,,,0,0,0,0,0,,
daily,2017-05-05,,,,0,0,0,0,0,,
daily,2017-05-08,,,,0,0,0,0,0,,
daily,2017-05-09,,,,0,0,0,0,0,,
daily,2017-05-10,,,,0,0,0,0,0,,
daily,2017-05-11,,,,0,0,0,0,0,,
daily,2017-05-12,,,,0,0,0,0,0,,
daily,2017-05-15,,,,0,0,0,0,0,,
daily,2017-05-16,,,,0,0,0,0,0,,
daily,2017-05-17,,,,0,0,0,0,0,,
daily,2017-05-18,,,,0,0,0,0,0,,
daily,2017-05-19,,,,0,0,0,0,0,,
daily,2017-05-22,,,,0,0,0,0,0,,
daily,2017-05-23,,,,0,0,0,0,0,,
daily,2017-05-24,,,,0,0,0,0,0,,
daily,2017-05-25,,,,0,0,0,0,0,,
daily,2017-05-26,,,,0,0,0,0,0,,
daily,2017-05-31,,,,0,0,0,0,0,,
daily,2017-06-01,,,,0,0,0,0,0,,
daily,2017-06-02,,,,0,0,0,0,0,,
daily,2017-06-05,,,,0,0,0,0,0,,
daily,2017-06-06,,,,0,0,0,0,0,,
daily,2017-06-07,,,,0,0,0,0,0,,
daily,2017-06-08,,,,0,0,0,0,0,,
daily,2017-06-09,,,,0,0,0,0,0,,
daily,2017-06-12,,,,0,0,0,0,0,,
daily,2017-06-13,,,,0,0,0,0,0,,
daily,2017-06-14,,,,0,0,0,0,0,,
daily,2017-06-15,,,,0,0,0,0,0,,
daily,2017-06-16,,,,0,0,0,0,0,,
daily,2017-06-19,,,,0,0,0,0,0,,
daily,2017-06-20,,,,0,0,0,0,0,,
daily,2017-06-21,,,,77,9,68,0,6,,
daily,2017-06-22,,,,82,11,71,0,1,,
daily,2017-06-23,,,,75,19,56,0,3,,
daily,2017-06-26,,,,65,15,50,1,5,,
daily,2017-06-27,,,,64,16,48,0,0,,
daily,2017-06-28,,,,73,20,53,0,0,,
daily,2017-06-29,,,,68,19,49,1,3,,
daily,2017-06-30,,,,76,21,55,0,4,,
daily,2017-07-03,,,,86,23,63,0,0,,
daily,2017-07-04,,,,90,22,68,0,0,,
daily,2017-07-05,,,,89,21,68,3,8,,
daily,2017-07-06,,,,88,20,68,1,2,,
daily,2017-07-07,,,,84,20,64,0,2,,
daily,2017-07-10,,,,78,19,59,1,2,,
daily,2017-07-11,,,,90,29,61,0,5,,
daily,2017-07-12,,,,89,29,60,2,2,,
daily,2017-07-13,,,,77,13,64,0,1,,
daily,2017-07-14,,,,81,13,68,0,5,,
daily,2017-07-17,,,,0,0,0,0,0,,
daily,2017-07-18,,,,69,14,55,0,3,,
daily,2017-07-19,,,,64,9,55,1,4,,
daily,2017-07-20,,,,71,19,52,0,0,,
daily,2017-07-21,,,,93,34,59,1,1,,
daily,2017-07-24,,,,95,36,59,1,4,,
daily,2017-07-25,,,,102,38,64,1,1,,
daily,2017-07-26,,,,101,41,60,0,2,,
daily,2017-07-27,,,,102,37,65,2,3,,
daily,2017-07-28,,,,102,44,58,4,11,,
daily,2017-07-31,,,,94,37,57,2,4,,
daily,2017-08-01,,,,106,38,68,2,4,,
daily,2017-08-02,,,,100,42,58,0,2,,
daily,2017-08-03,,,,90,42,48,1,1,,
daily,2017-08-04,,,,98,44,54,1,1,,
daily,2017-08-07,,,,96,46,50,3,9,,
daily,2017-08-08,,,,98,46,52,1,3,,
daily,2017-08-09,,,,96,28,68,1,6,,
daily,2017-08-10,,,,103,45,58,0,2,,
daily,2017-08-11,,,,0,0,0,0,0,,
daily,2017-08-14,,,,89,36,53,0,4,,
daily,2017-08-15,,,,84,36,48,2,4,,
daily,2017-08-16,,,,83,37,46,2,2,,
daily,2017-08-17,,,,95,38,57,1,4,,
daily,2017-08-18,,,,94,33,61,2,6,,
daily,2017-08-21,,,,105,49,56,1,4,,
daily,2017-08-22,,,,100,41,59,1,4,,
daily,2017-08-23,,,,99,46,53,2,3,,
daily,2017-08-24,,,,84,44,40,2,4,,
daily,2017-08-25,,,,96,50,46,7,12,,
daily,2017-08-28,,,,95,30,65,1,2,,
daily,2017-08-29,,,,94,37,57,1,4,,
daily,2017-08-30,,,,107,46,61,1,4,,
daily,2017-08-31,,,,106,48,58,3,6,,
daily,2017-09-01,,,,99,57,42,1,3,,
daily,2017-09-04,,,,97,54,43,3,7,,
daily,2017-09-05,,,,101,53,48,3,3,,
daily,2017-09-06,,,,107,57,50,3,5,,
daily,2017-09-07,,,,106,62,44,1,2,,
daily,2017-09-08,,,,103,62,41,3,6,,
daily,2017-09-11,,,,106,62,44,3,5,,
daily,2017-09-12,,,,102,59,43,1,2,,
daily,2017-09-13,,,,106,62,44,3,7,,
daily,2017-09-14,,,,98,71,27,2,2,,
daily,2017-09-15,,,,104,72,32,2,3,,
daily,2017-09-18,,,,95,66,29,3,6,,
daily,2017-09-19,,,,98,67,31,2,3,,
daily,2017-09-20,,,,100,59,41,8,12,,
daily,2017-09-21,,,,93,65,28,2,2,,
daily,2017-09-22,,,,87,60,27,1,3,,
daily,2017-09-25,,,,83,46,37,2,3,,
daily,2017-09-26,,,,90,42,48,3,6,,
daily,2017-09-27,,,,86,37,49,4,5,,
daily,2017-09-28,,,,72,33,39,1,6,,
daily,2017-09-29,,,,75,36,39,1,2,,
daily,2017-10-09,,,,84,40,44,1,2,,
daily,2017-10-10,,,,81,39,42,0,0,,
daily,2017-10-11,,,,80,51,29,0,1,,
