instrument,rows,start,end,missing_values,missing_fields,duplicate_dates,status
SH600000,2263,2017-01-03,2026-04-30,0,,0,ok
SH600009,2263,2017-01-03,2026-04-30,77,,0,ok
SH600010,2263,2017-01-03,2026-04-30,63,,0,ok
SH600011,2263,2017-01-03,2026-04-30,0,,0,ok
SH600015,2263,2017-01-03,2026-04-30,0,,0,ok
SH600016,2263,2017-01-03,2026-04-30,0,,0,ok
SH600018,2263,2017-01-03,2026-04-30,21,,0,ok
SH600019,2263,2017-01-03,2026-04-30,133,,0,ok
SH600021,2263,2017-01-03,2026-04-30,42,,0,ok
SH600023,2263,2017-01-03,2026-04-30,0,,0,ok
SH600025,2030,2017-12-15,2026-04-30,0,,0,ok
SH600026,2263,2017-01-03,2026-04-30,35,,0,ok
SH600027,2263,2017-01-03,2026-04-30,77,,0,ok
SH600028,2263,2017-01-03,2026-04-30,0,,0,ok
SH600029,2263,2017-01-03,2026-04-30,21,,0,ok
SH600030,2263,2017-01-03,2026-04-30,119,,0,ok
SH600031,2263,2017-01-03,2026-04-30,0,,0,ok
SH600036,2263,2017-01-03,2026-04-30,0,,0,ok
SH600039,2263,2017-01-03,2026-04-30,84,,0,ok
SH600048,2263,2017-01-03,2026-04-30,0,,0,ok
SH600050,2263,2017-01-03,2026-04-30,665,,0,ok
SH600066,2263,2017-01-03,2026-04-30,7,,0,ok
SH600089,2263,2017-01-03,2026-04-30,42,,0,ok
SH600096,2263,2017-01-03,2026-04-30,14,,0,ok
SH600104,2263,2017-01-03,2026-04-30,0,,0,ok
SH600111,2263,2017-01-03,2026-04-30,0,,0,ok
SH600115,2263,2017-01-03,2026-04-30,0,,0,ok
SH600118,2263,2017-01-03,2026-04-30,0,,0,ok
SH600143,2263,2017-01-03,2026-04-30,567,,0,ok
SH600150,2263,2017-01-03,2026-04-30,987,,0,ok
SH600160,2263,2017-01-03,2026-04-30,70,,0,ok
SH600176,2263,2017-01-03,2026-04-30,84,,0,ok
SH600183,2263,2017-01-03,2026-04-30,0,,0,ok
SH600188,2263,2017-01-03,2026-04-30,0,,0,ok
SH600196,2263,2017-01-03,2026-04-30,0,,0,ok
SH600219,2263,2017-01-03,2026-04-30,42,,0,ok
SH600221,2263,2017-01-03,2026-04-30,917,,0,ok
SH600233,2263,2017-01-03,2026-04-30,0,,0,ok
SH600236,2263,2017-01-03,2026-04-30,0,,0,ok
SH600276,2263,2017-01-03,2026-04-30,0,,0,ok
SH600292,2263,2017-01-03,2026-04-30,70,,0,ok
SH600309,2263,2017-01-03,2026-04-30,875,,0,ok
SH600346,2218,2017-03-14,2026-04-30,126,,0,ok
SH600362,2263,2017-01-03,2026-04-30,0,,0,ok
SH600372,2263,2017-01-03,2026-04-30,161,,0,ok
SH600377,2263,2017-01-03,2026-04-30,0,,0,ok
SH600406,2161,2017-06-08,2026-04-30,35,,0,ok
SH600415,2263,2017-01-03,2026-04-30,0,,0,ok
SH600418,2263,2017-01-03,2026-04-30,0,,0,ok
SH600426,2263,2017-01-03,2026-04-30,0,,0,ok
SH600436,2263,2017-01-03,2026-04-30,0,,0,ok
SH600438,2263,2017-01-03,2026-04-30,70,,0,ok
SH600487,2263,2017-01-03,2026-04-30,140,,0,ok
SH600489,2263,2017-01-03,2026-04-30,77,,0,ok
SH600515,2263,2017-01-03,2026-04-30,973,,0,ok
SH600519,2263,2017-01-03,2026-04-30,0,,0,ok
SH600522,2263,2017-01-03,2026-04-30,0,,0,ok
SH600547,2263,2017-01-03,2026-04-30,210,,0,ok
SH600549,2263,2017-01-03,2026-04-30,0,,0,ok
SH600570,2263,2017-01-03,2026-04-30,14,,0,ok
SH600580,2263,2017-01-03,2026-04-30,42,,0,ok
SH600584,2263,2017-01-03,2026-04-30,126,,0,ok
SH600585,2263,2017-01-03,2026-04-30,0,,0,ok
SH600600,2263,2017-01-03,2026-04-30,0,,0,ok
SH600601,2263,2017-01-03,2026-04-30,28,,0,ok
SH600660,2263,2017-01-03,2026-04-30,0,,0,ok
SH600673,2044,2017-11-27,2026-04-30,210,,0,ok
SH600674,2263,2017-01-03,2026-04-30,0,,0,ok
SH600690,2263,2017-01-03,2026-04-30,14,,0,ok
SH600703,2263,2017-01-03,2026-04-30,0,,0,ok
SH600741,2263,2017-01-03,2026-04-30,0,,0,ok
SH600760,2263,2017-01-03,2026-04-30,84,,0,ok
SH600795,2263,2017-01-03,2026-04-30,448,,0,ok
SH600801,2263,2017-01-03,2026-04-30,14,,0,ok
SH600803,2263,2017-01-03,2026-04-30,294,,0,ok
SH600809,2263,2017-01-03,2026-04-30,77,,0,ok
SH600845,2263,2017-01-03,2026-04-30,14,,0,ok
SH600875,2208,2017-03-28,2026-04-30,35,,0,ok
SH600879,2263,2017-01-03,2026-04-30,0,,0,ok
SH600886,2263,2017-01-03,2026-04-30,0,,0,ok
SH600887,2263,2017-01-03,2026-04-30,28,,0,ok
SH600893,2263,2017-01-03,2026-04-30,77,,0,ok
SH600895,2263,2017-01-03,2026-04-30,0,,0,ok
SH600900,2263,2017-01-03,2026-04-30,77,,0,ok
SH600905,1185,2021-06-10,2026-04-30,0,,0,ok
SH600918,1433,2020-06-03,2026-04-30,0,,0,ok
SH600919,2263,2017-01-03,2026-04-30,42,,0,ok
SH600926,2263,2017-01-03,2026-04-30,0,,0,ok
SH600930,192,2025-07-16,2026-04-30,0,,0,ok
SH600938,976,2022-04-21,2026-04-30,0,,0,ok
SH600941,1045,2022-01-05,2026-04-30,0,,0,ok
SH600958,2254,2017-01-03,2026-04-17,84,,0,ok
SH600988,2263,2017-01-03,2026-04-30,70,,0,ok
SH600989,1689,2019-05-16,2026-04-30,0,,0,ok
SH600999,2263,2017-01-03,2026-04-30,42,,0,ok
SH601006,2263,2017-01-03,2026-04-30,0,,0,ok
SH601009,2263,2017-01-03,2026-04-30,14,,0,ok
SH601012,2263,2017-01-03,2026-04-30,42,,0,ok
SH601018,2263,2017-01-03,2026-04-30,0,,0,ok
SH601021,2263,2017-01-03,2026-04-30,0,,0,ok
SH601058,2263,2017-01-03,2026-04-30,28,,0,ok
SH601059,788,2023-02-01,2026-04-30,140,,0,ok
SH601061,741,2023-04-10,2026-04-30,0,,0,ok
SH601066,1908,2018-06-20,2026-04-30,0,,0,ok
SH601077,1578,2019-10-29,2026-04-30,0,,0,ok
SH601088,2263,2017-01-03,2026-04-30,518,,0,ok
SH601100,2263,2017-01-03,2026-04-30,0,,0,ok
SH601111,2263,2017-01-03,2026-04-30,7,,0,ok
SH601127,2263,2017-01-03,2026-04-30,105,,0,ok
SH601136,811,2022-12-22,2026-04-30,0,,0,ok
SH601138,1915,2018-06-08,2026-04-30,0,,0,ok
SH601166,2263,2017-01-03,2026-04-30,0,,0,ok
SH601168,2199,2017-04-12,2026-04-30,35,,0,ok
SH601169,2263,2017-01-03,2026-04-30,56,,0,ok
