target_type,target_key,target_name,ts_code,date,open,high,low,close,volume,money,source,ema60,ema120,ema60_slope20,ret60,broad_ret60,close_gt_ema60,close_gt_ema120,ema60_slope20_gt0,ret60_gt_broad,trend_ok,instruments,close_gt_ema60_ratio,ema20_gt_ema60_ratio,width_ok,market_ok
market,broad_market,沪深300,000300.SH,2017-01-03,3313.9534,3345.2629,3313.9534,3342.2272,86567896.0,87612765.768,tushare.index_daily,3342.2272,3342.2272,,,,False,False,False,False,False,224,0.0,0.0,False,False
market,broad_market,沪深300,000300.SH,2017-01-04,3340.5576,3369.5658,3338.1527,3368.3117,90050827.0,98014355.468,tushare.index_daily,3343.0824295081966,3342.6583487603302,,,,True,True,False,False,False,225,0.8088888888888889,0.8088888888888889,True,False
market,broad_market,沪深300,000300.SH,2017-01-05,3368.3402,3373.4119,3361.462,3367.7892,88336357.0,91189339.582,tushare.index_daily,3343.8924875571083,3343.0737347312343,,,,True,True,False,False,False,226,0.7212389380530974,0.8008849557522124,True,False
market,broad_market,沪深300,000300.SH,2017-01-06,3366.8522,3368.8705,3346.8914,3347.6665,87459114.0,91072256.748,tushare.index_daily,3344.0162256699896,3343.149648206751,,,,True,True,False,False,False,227,0.5198237885462555,0.6740088105726872,False,False
market,broad_market,沪深300,000300.SH,2017-01-09,3345.7483,3366.2219,3344.3472,3363.9014,83707942.0,87916115.243,tushare.index_daily,3344.6681985988425,3343.4926523686227,,,,True,True,False,False,False,228,0.6447368421052632,0.7017543859649122,True,False
market,broad_market,沪深300,000300.SH,2017-01-10,3361.6394,3370.5051,3354.0878,3358.2716,83819160.0,82533965.08,tushare.index_daily,3345.114211759536,3343.7369324947613,,,,True,True,False,False,False,228,0.6228070175438597,0.706140350877193,True,False
market,broad_market,沪深300,000300.SH,2017-01-11,3355.8008,3366.6315,3334.2978,3334.4954,91071438.0,86750457.122,tushare.index_daily,3344.766053996928,3343.5841798915426,,,,False,False,False,False,False,228,0.5131578947368421,0.6403508771929824,False,False
market,broad_market,沪深300,000300.SH,2017-01-12,3332.6857,3343.1279,3315.9629,3317.6241,81239135.0,75031886.874,tushare.index_daily,3343.876153865881,3343.155087661931,,,,False,False,False,False,False,228,0.3991228070175439,0.5657894736842105,False,False
market,broad_market,沪深300,000300.SH,2017-01-13,3317.9625,3338.174,3309.3741,3319.9122,84180589.0,84556101.403,tushare.index_daily,3343.090450460442,3342.770907700577,,,,False,False,False,False,False,228,0.41228070175438597,0.5307017543859649,False,False
market,broad_market,沪深300,000300.SH,2017-01-16,3314.1507,3322.7819,3264.2071,3319.4455,157779135.0,153262520.121,tushare.index_daily,3342.31520618305,3342.385363771642,,,,False,False,False,False,False,228,0.44298245614035087,0.5087719298245614,False,False
