dimension,version,group,trades,win_rate,avg_net_return,median_net_return,max_trade_return,min_trade_return,avg_holding_days,sum_net_return
year,atr_structure_stop,2025,92,0.391304347826087,0.09053241271314609,-0.0071669263151051005,1.689074419767337,-0.1318788390272495,46.5,8.32898196960944
year,atr_structure_stop,2026,8,0.5,0.021813265959229527,-0.00119681696200775,0.3397821637126642,-0.1581685806750161,33.5,0.17450612767383622
year,breakout_entry,2025,38,0.39473684210526316,0.1231890728746929,-0.00799976241189275,1.1950321166495177,-0.1321730810572522,55.73684210526316,4.68118476923833
year,breakout_entry,2026,7,0.42857142857142855,-0.012784961464578058,-0.0059281533405393,0.0687491357911646,-0.1065004123697811,26.285714285714285,-0.0894947302520464
year,ema_state_only,2025,212,0.3018867924528302,0.055408531936461315,-0.01244838750120095,1.6227658465745196,-0.2097954024251515,38.679245283018865,11.746608770529798
year,ema_state_only,2026,77,0.35064935064935066,0.007162582312113021,-0.0169670804409236,0.4898969181484018,-0.1381502931241188,12.623376623376624,0.5515188380327026
year,industry_theme_state,2025,113,0.34513274336283184,0.08861175571830428,-0.0111131559486681,1.690371722593109,-0.1318788390272495,46.34513274336283,10.013128396168383
year,industry_theme_state,2026,3,0.3333333333333333,0.08305444139392823,-0.0399997990028634,0.3447558564109496,-0.0555927332263015,35.666666666666664,0.2491633241817847
year,layered_exit,2025,120,0.43333333333333335,0.07369838786777307,-0.0060676510905425494,1.1622305142142564,-0.1318788390272495,23.75,8.843806544132768
year,layered_exit,2026,14,0.35714285714285715,-0.021028885674141882,-0.0171080241931489,0.2003354904353325,-0.1550570629381005,20.714285714285715,-0.29440439943798635
year,market_filter,2025,159,0.31446540880503143,0.06403391902439257,-0.0140813828111006,1.2398069417893116,-0.2097954024251515,41.43396226415094,10.181393124878419
year,market_filter,2026,32,0.3125,-0.019074917475809777,-0.00411430831981495,0.1279845480274255,-0.1345636788050136,4.65625,-0.6103973592259129
year,market_width,2025,113,0.34513274336283184,0.08861175571830428,-0.0111131559486681,1.690371722593109,-0.1318788390272495,46.34513274336283,10.013128396168383
year,market_width,2026,3,0.3333333333333333,0.08305444139392823,-0.0399997990028634,0.3447558564109496,-0.0555927332263015,35.666666666666664,0.2491633241817847
year,pullback_entry,2025,94,0.3829787234042553,0.07796970979171895,-0.00926203342971125,1.6890744197673366,-0.1318788390272495,44.319148936170215,7.329152720421582
year,pullback_entry,2026,4,0.5,0.0426501254909786,-0.04032071492472515,0.3397821637126641,-0.0885402318992994,26.5,0.1706005019639144
year,trend_score_top20,2025,110,0.38181818181818183,0.08316366886868919,-0.008951054142671451,1.529765574944823,-0.1433708054180562,48.627272727272725,9.14800357555581
year,trend_score_top20,2026,2,0.0,-0.0747356257462039,-0.0747356257462039,-0.0555927332263015,-0.0938785182661063,9.5,-0.1494712514924078
