arm_id,decision_role,arm_status,event_source_path,label_source_path,event_source_row_n,reconstructed_event_n,expected_event_n,event_key_field,canonical_event_id_source_rule,reconstruction_status,event_key_uniqueness_status,label_join_status,label_join_coverage,label_completeness_join_status,label_completeness_coverage,tenb_benchmark_status,block_reason
08_R_core_event_regime_gated_raw,raw_backbone_decision_required,available,08_scope,08_labels_or_09A_bindings,47914,47914,47914.0,event_key,08_canonical_event_id,available,pass,available,0.9986434027632842,available,0.9986434027632842,,
08_R6_event_regime_gated_raw,comparison_non_blocking,available,08_scope,08_labels_or_09A_bindings,16204,16204,16204.0,event_key,08_canonical_event_id,available,pass,available,0.9977783263391755,available,0.9977783263391755,,
10A_same_instrument_cooldown_10d_r_core,compression_comparison_non_blocking,available,10a,08_labels_or_09A_bindings,15802,15802,15802.0,event_key,input_event_key_component_4,available,pass,available,1.0,available,1.0,,
10B_keep_9400_retained_after_fast_fail_gate,optional_compression_comparison,available,10b,08_labels_or_09A_bindings,14852,14852,,event_key,binding_canonical_event_id,available,pass,available,1.0,available,1.0,available,
10B_keep_9400_rejected_fast_fail_bucket,optional_compression_comparison,available,10b,08_labels_or_09A_bindings,950,950,,event_key,binding_canonical_event_id,available,pass,available,1.0,available,1.0,available,
08C_baseline_r_core_no_ranker_diagnostic,optional_historical_comparison,not_available,missing,08_labels_or_09A_bindings,0,0,,event_key,,not_available,not_available,not_available,,not_available,,,
08C_top_k_per_instrument_month_family_aware,optional_historical_comparison,not_available,missing,08_labels_or_09A_bindings,0,0,,event_key,,not_available,not_available,not_available,,not_available,,,
08C_cooldown_20d_ranked_within_bucket,optional_historical_comparison,not_available,missing,08_labels_or_09A_bindings,0,0,,event_key,,not_available,not_available,not_available,,not_available,,,
