record_source,record_unit,selection_rule,source_relative_path,episode_id,instrument,episode_low_date,episode_high_date,first_50pct_date,pre120_calendar_start_date,low_to_high_sessions,low_to_high_calendar_days,mfe_120,split,duration_bucket,board_bucket,liquidity_money_20d,total_market_cap_cny,cluster_union_start_date,cluster_union_end_date,lineage_status
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601689_20240527_0007,SH601689,2024-05-27,2024-11-12,2024-11-12,2024-01-28,113,169,0.5705866595231719,robustness,long,main_board,688582652.25,65696837841.5,2024-05-27,2025-02-07,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601696_20240415_0001,SH601696,2024-04-15,2024-10-09,2024-10-09,2023-12-17,116,177,0.5010615711252655,robustness,long,main_board,239727227.75,26418780000.0,2024-04-15,2024-10-09,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601698_20250923_0003,SH601698,2025-09-23,2026-01-12,2026-01-12,2025-05-26,71,111,1.675273088381331,robustness,medium,main_board,1823642869.05,89176776047.31999,2025-09-23,2026-01-12,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601699_20210709_0000,SH601699,2021-07-09,2021-09-13,2021-09-13,2021-03-11,46,66,0.8776315789473685,train,medium,main_board,732467855.7,32456789820.0,2021-07-09,2021-09-13,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601699_20211117_0001,SH601699,2021-11-17,2022-04-15,2022-04-15,2021-07-20,99,149,0.8784313725490194,train,long,main_board,648898222.2,31858507980.0,2021-11-17,2022-04-15,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601699_20220805_0002,SH601699,2022-08-05,2023-01-20,2023-01-20,2022-04-07,113,168,0.6736183524504693,validation,long,main_board,477305451.75,38918233692.0,2022-08-05,2023-02-23,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601717_20250707_0001,SH601717,2025-07-07,2025-09-24,2025-09-24,2025-03-09,57,79,0.8193166885676741,robustness,medium,main_board,343839408.5,29423390846.4,2025-07-07,2025-09-24,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601799_20190910_0001,SH601799,2019-09-10,2020-03-11,2020-03-11,2019-05-13,118,183,0.514033183439293,train,long,main_board,146075701.9,19783760820.48,2019-09-10,2020-07-31,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601808_20210802_0002,SH601808,2021-08-02,2021-10-11,2021-10-11,2021-04-04,43,70,0.5168439716312057,train,medium,main_board,103894614.35,58070274640.0,2021-08-02,2021-10-11,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601808_20250929_0005,SH601808,2025-09-29,2026-03-04,2026-03-04,2025-06-01,98,156,0.6330343796711511,robustness,long,main_board,121533602.1,64702787520.0,2025-09-29,2026-03-04,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601828_20210209_0000,SH601828,2021-02-09,2021-07-07,2021-07-07,2020-10-12,96,148,0.633093525179856,train,long,main_board,58879527.25,34129700000.0,2021-02-09,2021-07-07,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601857_20251009_0003,SH601857,2025-10-09,2026-03-04,2026-03-04,2025-06-11,96,146,0.7027363184079602,robustness,long,main_board,1420263183.9,1475149081213.08,2025-10-09,2026-03-04,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601866_20210209_0002,SH601866,2021-02-09,2021-07-05,2021-07-05,2020-10-12,94,146,0.9175257731958764,train,long,main_board,575697916.7,27627337500.0,2021-02-09,2021-07-05,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601868_20250905_0000,SH601868,2025-09-05,2026-03-12,2026-03-12,2025-05-08,120,188,0.6033755274261603,robustness,long,main_board,1013868962.0,99641881090.04,2025-09-05,2026-03-13,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601872_20191107_0002,SH601872,2019-11-07,2020-01-02,2020-01-02,2019-07-10,39,56,0.628032345013477,train,fast,main_board,796474835.45,32881040600.94,2019-11-07,2020-01-02,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601872_20200228_0003,SH601872,2020-02-28,2020-04-23,2020-04-23,2019-10-31,38,55,0.5323943661971833,train,fast,main_board,506329028.05,35924840207.62,2020-02-28,2020-04-23,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601881_20230103_0000,SH601881,2023-01-03,2023-05-09,2023-05-09,2022-09-05,81,126,0.6324582338902147,validation,long,main_board,159377341.75,94175308671.74998,2023-01-03,2023-07-31,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601881_20240417_0001,SH601881,2024-04-17,2024-10-09,2024-10-09,2023-12-19,114,175,0.6067961165048543,robustness,long,main_board,799439379.9,120715800906.24,2024-04-17,2025-02-28,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601888_20200820_0003,SH601888,2020-08-20,2021-02-18,2021-02-18,2020-04-22,118,182,1.1140262923351156,train,long,main_board,4232174248.0,390495108800.0,2020-08-20,2021-02-18,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601888_20250623_0007,SH601888,2025-06-23,2025-11-12,2025-11-12,2025-02-23,96,142,0.5955631399317405,robustness,long,main_board,494717968.65,124503937267.92,2025-06-23,2026-01-20,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601898_20210520_0001,SH601898,2021-05-20,2021-09-16,2021-09-16,2021-01-20,84,119,0.5724637681159421,train,long,main_board,328620776.35,98114109160.0,2021-05-20,2021-09-16,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601898_20211129_0002,SH601898,2021-11-29,2022-04-15,2022-04-15,2021-08-01,91,137,0.8048289738430585,train,long,main_board,229845505.75,80347500204.0,2021-11-29,2022-06-15,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601898_20250904_0004,SH601898,2025-09-04,2026-03-09,2026-03-09,2025-05-07,118,186,0.7846441947565543,robustness,long,main_board,331290449.6,148364443446.0,2025-09-04,2026-03-09,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601919_20240329_0000,SH601919,2024-03-29,2024-06-06,2024-06-06,2023-11-30,44,69,0.7462340672074159,robustness,medium,main_board,698425724.4,165639751160.46002,2024-03-29,2024-06-06,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601958_20250228_0002,SH601958,2025-02-28,2025-08-22,2025-08-22,2024-10-31,120,175,0.506763787721124,robustness,long,main_board,176699561.25,32330576088.0,2025-02-28,2025-09-02,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601958_20251023_0003,SH601958,2025-10-23,2026-03-03,2026-03-03,2025-06-25,85,131,0.984924623115578,robustness,long,main_board,538024862.65,46108176876.0,2025-10-23,2026-03-03,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601966_20200528_0000,SH601966,2020-05-28,2020-11-17,2020-11-17,2020-01-29,115,173,0.9001175088131612,train,long,main_board,153539540.2,22716294247.92,2020-05-28,2021-02-18,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH601991_20250926_0004,SH601991,2025-09-26,2026-03-13,2026-03-13,2025-05-29,106,168,0.5121212121212122,robustness,long,main_board,500372734.75,62367614398.48,2025-09-26,2026-05-19,frozen_06_risk_on_episode
