arm_id,split,split_basis,window_id,eligible_episode_n,captured_episode_n,missed_episode_n,episode_recall,captured_episode_event_count_median,captured_episode_event_count_p95,first_event_minus_low_median,first_event_minus_low_p25,first_event_minus_low_p75,multi_episode_event_overlap_n,split_mismatch_candidate_n,alignment_status
08_R6_event_regime_gated_raw,all,episode_split,pre120_calendar_to_high,428,428,0,1.0,4.0,6.0,-71.5,-99.0,-36.75,46,0,ok
08_R6_event_regime_gated_raw,all,episode_split,low_to_high,428,409,19,0.955607476635514,2.0,4.0,27.0,17.0,41.0,0,0,ok
08_R6_event_regime_gated_raw,all,episode_split,low_to_first_50pct,428,409,19,0.955607476635514,2.0,4.0,27.0,17.0,41.0,0,0,ok
08_R6_event_regime_gated_raw,train,episode_split,pre120_calendar_to_high,225,225,0,1.0,4.0,6.0,-81.0,-100.0,-41.0,32,0,ok
08_R6_event_regime_gated_raw,train,episode_split,low_to_high,225,219,6,0.9733333333333334,3.0,4.0,27.0,17.5,37.0,0,0,ok
08_R6_event_regime_gated_raw,train,episode_split,low_to_first_50pct,225,219,6,0.9733333333333334,3.0,4.0,27.0,17.5,37.0,0,0,ok
08_R6_event_regime_gated_raw,validation,episode_split,pre120_calendar_to_high,22,22,0,1.0,3.5,5.0,-46.5,-72.0,7.25,0,0,ok
08_R6_event_regime_gated_raw,validation,episode_split,low_to_high,22,22,0,1.0,2.5,3.9499999999999993,27.5,9.75,47.25,0,0,ok
08_R6_event_regime_gated_raw,validation,episode_split,low_to_first_50pct,22,22,0,1.0,2.5,3.9499999999999993,27.5,9.75,47.25,0,0,ok
08_R6_event_regime_gated_raw,robustness,episode_split,pre120_calendar_to_high,181,181,0,1.0,3.0,5.0,-63.0,-98.0,-35.0,14,0,ok
08_R6_event_regime_gated_raw,robustness,episode_split,low_to_high,181,166,15,0.9171270718232044,2.0,4.0,25.5,16.0,41.75,0,0,ok
08_R6_event_regime_gated_raw,robustness,episode_split,low_to_first_50pct,181,166,15,0.9171270718232044,2.0,4.0,25.5,16.0,41.75,0,0,ok
08_R_core_event_regime_gated_raw,all,episode_split,pre120_calendar_to_high,428,428,0,1.0,11.0,20.0,-84.0,-111.0,-48.0,153,0,ok
08_R_core_event_regime_gated_raw,all,episode_split,low_to_high,428,417,11,0.9742990654205608,7.0,14.0,21.0,13.0,31.0,0,0,ok
08_R_core_event_regime_gated_raw,all,episode_split,low_to_first_50pct,428,417,11,0.9742990654205608,7.0,14.0,21.0,13.0,31.0,0,0,ok
08_R_core_event_regime_gated_raw,train,episode_split,pre120_calendar_to_high,225,225,0,1.0,13.0,21.0,-91.0,-112.0,-51.0,107,0,ok
08_R_core_event_regime_gated_raw,train,episode_split,low_to_high,225,222,3,0.9866666666666667,8.0,14.0,21.0,14.0,31.0,0,0,ok
