arm_id,split,split_basis,event_n,unique_instrument_n,unique_event_day_n,top_instrument_event_share,top_board_event_share,density_basis_id,denominator_source_id,denominator_instrument_years,denominator_compatibility_group,events_per_instrument_year_mean,events_per_instrument_year_p95,events_per_instrument_year_p95_basis_status,density_vs_e1_full_denominator,density_vs_07_E1_only_compatibility_flag,density_denominator_status,rolling_10d_duplicate_rate,rolling_20d_duplicate_rate,adjacent_gap_median,fast_fail_10d_count,fast_fail_10d_rate,fast_fail_10d_evaluable_event_n,fast_fail_10d_baseline_rate_07_E1_only,fast_fail_10d_excess_vs_07_E1_only,false_repair_20d_count,false_repair_20d_rate,false_repair_20d_evaluable_event_n,false_repair_20d_baseline_rate_07_E1_only,false_repair_20d_excess_vs_07_E1_only,winner_120_count,winner_120_rate,winner_120_evaluable_event_n,winner_retention_vs_raw_r_core,bad_side_label_status,label_join_coverage,label_completeness_coverage,density_status
08_R6_event_regime_gated_raw,all,event_split,16204,1384,521,0.0025919526042952356,0.7848679338434954,08_full_evaluated_universe_years_252,08_full_evaluated_universe_years_252,3622.4246031746034,07_08_topn_proxy_universe_years_252,4.4732470030706,12.226065371018928,published_08_density_summary,2.3759530791788857,True,compatible,0.0,0.059923475685016,44.0,3749,0.23187778327560613,16168,0.1366249577274264,0.09525282554817974,4910,0.3030116020735621,16204,0.2082348970637867,0.09477670500977539,2706,0.1674090571640683,16164,0.3420121334681496,available,0.9977783263391755,0.9977783263391755,ok
08_R6_event_regime_gated_raw,train,event_split,7978,1038,270,0.003384306843820506,0.7803960892454249,08_full_evaluated_universe_years_252,08_full_evaluated_universe_years_252,3622.4246031746034,07_08_topn_proxy_universe_years_252,2.2023922852688993,5.444419735531866,recomputed_split_active_instrument_year_approximation,1.1697947214076247,True,compatible,0.0,0.0747054399598897,41.0,2122,0.2668175531246071,7953,0.1390343222803955,0.1277832308442116,2687,0.3368012033091,7978,0.2233178654292343,0.11348333787986573,1561,0.19627813403747013,7953,0.3386851811672814,available,0.9968663825520181,0.9968663825520181,ok
08_R6_event_regime_gated_raw,validation,event_split,3897,737,123,0.00359250705671029,0.8101103412881704,08_full_evaluated_universe_years_252,08_full_evaluated_universe_years_252,3622.4246031746034,07_08_topn_proxy_universe_years_252,1.075798788630346,2.0345489022852576,recomputed_split_active_instrument_year_approximation,0.5714076246334311,True,compatible,0.0,0.05029509879394406,45.0,756,0.1941448382126348,3894,0.1304347826086956,0.06371005560393922,1094,0.2807287657172184,3897,0.2028985507246377,0.07783021499258069,240,0.061633281972265024,3894,0.37037037037037035,available,0.9992301770592764,0.9992301770592764,ok
08_R6_event_regime_gated_raw,robustness,event_split,4329,757,128,0.003234003234003234,0.7703857703857704,08_full_evaluated_universe_years_252,08_full_evaluated_universe_years_252,3622.4246031746034,07_08_topn_proxy_universe_years_252,1.1950559291713543,2.2987365955670747,recomputed_split_active_instrument_year_approximation,0.6347507331378299,True,compatible,0.0,0.04042504042504042,39.0,871,0.2015737097894006,4321,0.1347087378640776,0.06686497192532298,1129,0.2607992607992608,4329,0.1793939393939393,0.0814053214053215,905,0.2096363215195738,4317,0.3408662900188324,available,0.9981519981519982,0.9981519981519982,ok
08_R_core_event_regime_gated_raw,all,event_split,47914,1431,1387,0.0029427724673373127,0.7914596986267062,08_full_evaluated_universe_years_252,08_full_evaluated_universe_years_252,3622.4246031746034,07_08_topn_proxy_universe_years_252,13.227052388615446,38.121290331061694,published_08_density_summary,7.025513196480938,True,compatible,0.5783069666485787,0.7114413323871938,7.0,11578,0.24196952914376477,47849,0.1366249577274264,0.10534457141633838,14907,0.3111199231957257,47914,0.2082348970637867,0.10288502613193898,7912,0.16544686545941198,47822,1.0,available,0.9986434027632842,0.9986434027632842,ok
08_R_core_event_regime_gated_raw,train,event_split,24292,1080,702,0.0037872550633953565,0.7882842087930183,08_full_evaluated_universe_years_252,08_full_evaluated_universe_years_252,3622.4246031746034,07_08_topn_proxy_universe_years_252,6.706005689866144,17.29228537844621,recomputed_split_active_instrument_year_approximation,3.5618768328445745,True,compatible,0.5892474888852297,0.7231187222130743,6.0,6656,0.2744289601715181,24254,0.1390343222803955,0.13539463789112258,8404,0.34595751687798454,24292,0.2233178654292343,0.12263965144875025,4609,0.19003051043126906,24254,1.0,available,0.9984356989955541,0.9984356989955541,ok
08_R_core_event_regime_gated_raw,validation,event_split,10667,759,320,0.003656135745757945,0.8109121589950314,08_full_evaluated_universe_years_252,08_full_evaluated_universe_years_252,3622.4246031746034,07_08_topn_proxy_universe_years_252,2.9447127734975367,5.657260604414082,recomputed_split_active_instrument_year_approximation,1.564076246334311,True,compatible,0.55648260991844,0.6738539420643105,7.0,2159,0.20251383547509613,10661,0.1304347826086956,0.07207905286640054,3133,0.29370957157588823,10667,0.2028985507246377,0.09081102085125053,648,0.06078229059187693,10661,1.0,available,0.9994375175775757,0.9994375175775757,ok
08_R_core_event_regime_gated_raw,robustness,event_split,12955,774,365,0.004399845619451949,0.781397143959861,08_full_evaluated_universe_years_252,08_full_evaluated_universe_years_252,3622.4246031746034,07_08_topn_proxy_universe_years_252,3.576333925251766,7.264747477956424,recomputed_split_active_instrument_year_approximation,1.8995601173020527,True,compatible,0.5712852180625241,0.7115399459668081,7.0,2763,0.21362300912324106,12934,0.1347087378640776,0.07891427125916345,3370,0.26013122346584333,12955,0.1793939393939393,0.08073728407190403,2655,0.20570233206787014,12907,1.0,available,0.9983790042454651,0.9983790042454651,ok
10A_same_instrument_cooldown_10d_r_core,all,event_split,15802,1354,871,0.002594608277433236,,08_full_evaluated_universe_years_252,08_full_evaluated_universe_years_252,3622.4246031746034,07_08_topn_proxy_universe_years_252,4.362271608400494,11.587266706176583,recomputed_split_active_instrument_year_approximation,2.317008797653959,True,compatible,0.0024047588912795848,0.2893304644981648,33.0,1280,0.08100240475889128,15802,0.1366249577274264,-0.055622552968535105,5033,0.31850398683710923,15802,0.2082348970637867,0.11026908977332253,2647,0.16754224950946262,15799,0.3345551061678463,available,1.0,1.0,ok
10A_same_instrument_cooldown_10d_r_core,train,event_split,8318,1015,472,0.003245972589564799,,08_full_evaluated_universe_years_252,08_full_evaluated_universe_years_252,3622.4246031746034,07_08_topn_proxy_universe_years_252,2.296252071805804,5.323782304012374,recomputed_split_active_instrument_year_approximation,1.2196480938416423,True,compatible,0.0,0.29862947823996155,30.0,702,0.08439528732868477,8318,0.1390343222803955,-0.05463903495171073,3025,0.3636691512382784,8318,0.2233178654292343,0.14035128580904413,1491,0.17924981966818948,8318,0.3234975048817531,available,1.0,1.0,ok
10A_same_instrument_cooldown_10d_r_core,validation,event_split,2514,669,128,0.003579952267303103,,08_full_evaluated_universe_years_252,08_full_evaluated_universe_years_252,3622.4246031746034,07_08_topn_proxy_universe_years_252,0.6940103039817013,1.2927805304480138,recomputed_split_active_instrument_year_approximation,0.3686217008797654,True,compatible,0.0,0.1917263325377884,38.0,236,0.09387430389817025,2514,0.1304347826086956,-0.03656047871052534,709,0.28202068416865556,2514,0.2028985507246377,0.07912213344401786,161,0.06404136833731106,2514,0.24845679012345678,available,1.0,1.0,ok
10A_same_instrument_cooldown_10d_r_core,robustness,event_split,4970,760,271,0.0032193158953722333,,08_full_evaluated_universe_years_252,08_full_evaluated_universe_years_252,3622.4246031746034,07_08_topn_proxy_universe_years_252,1.3720092326129893,2.727454973484172,recomputed_split_active_instrument_year_approximation,0.7287390029325513,True,compatible,0.0,0.31348088531187124,26.0,342,0.06881287726358148,4970,0.1347087378640776,-0.06589586060049613,1299,0.2613682092555332,4970,0.1793939393939393,0.08197426986159392,995,0.20032212603180993,4967,0.3747645951035782,available,1.0,1.0,ok
10B_keep_9400_rejected_fast_fail_bucket,all,event_split,950,587,365,0.009473684210526316,,08_full_evaluated_universe_years_252,08_full_evaluated_universe_years_252,3622.4246031746034,07_08_topn_proxy_universe_years_252,0.26225528591193964,0.486138482622027,recomputed_split_active_instrument_year_approximation,0.13929618768328447,True,compatible,0.0010526315789473684,0.045263157894736845,265.0,316,0.33263157894736844,950,0.1366249577274264,0.19600662121994206,385,0.4052631578947368,950,0.2082348970637867,0.19702826083095012,137,0.14436248682824027,949,0.0173154701718908,available,1.0,1.0,ok
10B_keep_9400_rejected_fast_fail_bucket,train,event_split,500,356,207,0.014,,08_full_evaluated_universe_years_252,08_full_evaluated_universe_years_252,3622.4246031746034,07_08_topn_proxy_universe_years_252,0.13802909784838926,0.2948301530041595,recomputed_split_active_instrument_year_approximation,0.07331378299120235,True,compatible,0.0,0.03,179.0,186,0.372,500,0.1390343222803955,0.2329656777196045,230,0.46,500,0.2233178654292343,0.23668213457076573,89,0.178,500,0.019310045563028858,available,1.0,1.0,ok
