bridge_direction,row_id,instrument,event_t0_date,nearest_any_06_episode_id,nearest_any_06_episode_low_date,nearest_any_06_episode_high_date,nearest_any_market_regime_bucket,nearest_any_event_minus_episode_low_days,nearest_any_abs_event_minus_episode_low_days,nearest_any_event_vs_episode_window,inside_any_pre120_calendar_to_high_flag,nearest_risk_on_06_episode_id,nearest_risk_on_event_minus_episode_low_days,nearest_risk_on_abs_event_minus_episode_low_days,nearest_risk_on_event_vs_episode_window,inside_risk_on_pre120_calendar_to_high_flag,episode_id,episode_low_date,episode_high_date,matching_11a2_winner_row_n_pre120_to_high,matching_11a2_row_ids,matching_11a2_event_t0_dates,matching_11a2_event_minus_low_days,episode_has_any_11a2_row_pre120_to_high_flag
11a2_row_to_06_episode,1193.0,SH600219,2025-10-29,SH600219_20250923_0003,2025-09-23,2026-01-29,risk_on,36.0,36.0,inside_low_to_high,True,SH600219_20250923_0003,36.0,36.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,1249.0,SH600236,2025-10-10,SH600236_20250919_0002,2025-09-19,2026-03-05,risk_on,21.0,21.0,inside_low_to_high,True,SH600236_20250919_0002,21.0,21.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,1343.0,SH600276,2025-03-27,SH600276_20250324_0004,2025-03-24,2025-09-09,risk_on,3.0,3.0,inside_low_to_high,True,SH600276_20250324_0004,3.0,3.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,1451.0,SH600309,2020-08-21,SH600309_20201214_0002,2020-12-14,2021-02-18,risk_on,-115.0,115.0,pre120_before_episode_low,True,SH600309_20201214_0002,-115.0,115.0,pre120_before_episode_low,True,,,,,,,,
11a2_row_to_06_episode,1452.0,SH600309,2020-09-18,SH600309_20201214_0002,2020-12-14,2021-02-18,risk_on,-87.0,87.0,pre120_before_episode_low,True,SH600309_20201214_0002,-87.0,87.0,pre120_before_episode_low,True,,,,,,,,
11a2_row_to_06_episode,1453.0,SH600309,2020-10-20,SH600309_20201214_0002,2020-12-14,2021-02-18,risk_on,-55.0,55.0,pre120_before_episode_low,True,SH600309_20201214_0002,-55.0,55.0,pre120_before_episode_low,True,,,,,,,,
11a2_row_to_06_episode,1454.0,SH600309,2020-11-18,SH600309_20201214_0002,2020-12-14,2021-02-18,risk_on,-26.0,26.0,pre120_before_episode_low,True,SH600309_20201214_0002,-26.0,26.0,pre120_before_episode_low,True,,,,,,,,
11a2_row_to_06_episode,1455.0,SH600309,2020-12-24,SH600309_20201214_0002,2020-12-14,2021-02-18,risk_on,10.0,10.0,inside_low_to_high,True,SH600309_20201214_0002,10.0,10.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,1587.0,SH600346,2020-10-14,SH600346_20200330_0002,2020-03-30,2020-08-31,risk_off,198.0,198.0,after_episode_high,False,SH600346_20250717_0004,-1737.0,1737.0,before_pre120_calendar_start,False,,,,,,,,
11a2_row_to_06_episode,1588.0,SH600346,2020-11-05,SH600346_20200330_0002,2020-03-30,2020-08-31,risk_off,220.0,220.0,after_episode_high,False,SH600346_20250717_0004,-1715.0,1715.0,before_pre120_calendar_start,False,,,,,,,,
11a2_row_to_06_episode,1589.0,SH600346,2020-11-23,SH600346_20200330_0002,2020-03-30,2020-08-31,risk_off,238.0,238.0,after_episode_high,False,SH600346_20250717_0004,-1697.0,1697.0,before_pre120_calendar_start,False,,,,,,,,
11a2_row_to_06_episode,1590.0,SH600346,2020-12-25,SH600346_20200330_0002,2020-03-30,2020-08-31,risk_off,270.0,270.0,after_episode_high,False,SH600346_20250717_0004,-1665.0,1665.0,before_pre120_calendar_start,False,,,,,,,,
11a2_row_to_06_episode,1608.0,SH600346,2025-07-22,SH600346_20250717_0004,2025-07-17,2026-01-08,risk_on,5.0,5.0,inside_low_to_high,True,SH600346_20250717_0004,5.0,5.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,1609.0,SH600346,2025-08-20,SH600346_20250717_0004,2025-07-17,2026-01-08,risk_on,34.0,34.0,inside_low_to_high,True,SH600346_20250717_0004,34.0,34.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,1610.0,SH600346,2025-09-11,SH600346_20250717_0004,2025-07-17,2026-01-08,risk_on,56.0,56.0,inside_low_to_high,True,SH600346_20250717_0004,56.0,56.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,1611.0,SH600346,2025-10-23,SH600346_20250717_0004,2025-07-17,2026-01-08,risk_on,98.0,98.0,inside_low_to_high,True,SH600346_20250717_0004,98.0,98.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,1685.0,SH600362,2020-07-28,SH600362_20200812_0000,2020-08-12,2021-01-08,risk_on,-15.0,15.0,pre120_before_episode_low,True,SH600362_20200812_0000,-15.0,15.0,pre120_before_episode_low,True,,,,,,,,
11a2_row_to_06_episode,1686.0,SH600362,2020-09-18,SH600362_20200812_0000,2020-08-12,2021-01-08,risk_on,37.0,37.0,inside_low_to_high,True,SH600362_20200812_0000,37.0,37.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,1687.0,SH600362,2020-11-16,SH600362_20210129_0001,2021-01-29,2021-02-23,risk_on,-74.0,74.0,pre120_before_episode_low,True,SH600362_20210129_0001,-74.0,74.0,pre120_before_episode_low,True,,,,,,,,
11a2_row_to_06_episode,1710.0,SH600362,2025-10-16,SH600362_20251124_0004,2025-11-24,2026-01-29,transition,-39.0,39.0,pre120_before_episode_low,True,SH600362_20210129_0001,1721.0,1721.0,after_episode_high,False,,,,,,,,
