bridge_direction,row_id,instrument,event_t0_date,nearest_any_06_episode_id,nearest_any_06_episode_low_date,nearest_any_06_episode_high_date,nearest_any_market_regime_bucket,nearest_any_event_minus_episode_low_days,nearest_any_abs_event_minus_episode_low_days,nearest_any_event_vs_episode_window,inside_any_pre120_calendar_to_high_flag,nearest_risk_on_06_episode_id,nearest_risk_on_event_minus_episode_low_days,nearest_risk_on_abs_event_minus_episode_low_days,nearest_risk_on_event_vs_episode_window,inside_risk_on_pre120_calendar_to_high_flag,episode_id,episode_low_date,episode_high_date,matching_11a2_winner_row_n_pre120_to_high,matching_11a2_row_ids,matching_11a2_event_t0_dates,matching_11a2_event_minus_low_days,episode_has_any_11a2_row_pre120_to_high_flag
11a2_row_to_06_episode,4227.0,SH600958,2021-06-25,SH600958_20210208_0002,2021-02-08,2021-08-09,risk_on,137.0,137.0,inside_low_to_high,True,SH600958_20210208_0002,137.0,137.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,4228.0,SH600958,2021-07-12,SH600958_20210208_0002,2021-02-08,2021-08-09,risk_on,154.0,154.0,inside_low_to_high,True,SH600958_20210208_0002,154.0,154.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,4361.0,SH600988,2025-09-09,SH600988_20250731_0001,2025-07-31,2026-01-27,risk_on,40.0,40.0,inside_low_to_high,True,SH600988_20250731_0001,40.0,40.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,4362.0,SH600988,2025-10-27,SH600988_20250731_0001,2025-07-31,2026-01-27,risk_on,88.0,88.0,inside_low_to_high,True,SH600988_20250731_0001,88.0,88.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,4363.0,SH600988,2025-11-19,SH600988_20250731_0001,2025-07-31,2026-01-27,risk_on,111.0,111.0,inside_low_to_high,True,SH600988_20250731_0001,111.0,111.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,4364.0,SH600989,2020-07-03,SH600989_20201102_0000,2020-11-02,2021-02-18,transition,-122.0,122.0,before_pre120_calendar_start,False,SH600989_20210617_0001,-349.0,349.0,before_pre120_calendar_start,False,,,,,,,,
11a2_row_to_06_episode,4365.0,SH600989,2020-07-27,SH600989_20201102_0000,2020-11-02,2021-02-18,transition,-98.0,98.0,pre120_before_episode_low,True,SH600989_20210617_0001,-325.0,325.0,before_pre120_calendar_start,False,,,,,,,,
11a2_row_to_06_episode,4366.0,SH600989,2020-08-12,SH600989_20201102_0000,2020-11-02,2021-02-18,transition,-82.0,82.0,pre120_before_episode_low,True,SH600989_20210617_0001,-309.0,309.0,before_pre120_calendar_start,False,,,,,,,,
11a2_row_to_06_episode,4367.0,SH600989,2020-09-01,SH600989_20201102_0000,2020-11-02,2021-02-18,transition,-62.0,62.0,pre120_before_episode_low,True,SH600989_20210617_0001,-289.0,289.0,before_pre120_calendar_start,False,,,,,,,,
11a2_row_to_06_episode,4386.0,SH600989,2025-08-26,SH600989_20250815_0002,2025-08-15,2026-01-29,risk_on,11.0,11.0,inside_low_to_high,True,SH600989_20250815_0002,11.0,11.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,4387.0,SH600989,2025-10-24,SH600989_20250815_0002,2025-08-15,2026-01-29,risk_on,70.0,70.0,inside_low_to_high,True,SH600989_20250815_0002,70.0,70.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,4426.0,SH600999,2020-01-20,SH600999_20200204_0001,2020-02-04,2020-07-07,risk_off,-15.0,15.0,pre120_before_episode_low,True,SH600999_20240412_0002,-1544.0,1544.0,before_pre120_calendar_start,False,,,,,,,,
11a2_row_to_06_episode,4440.0,SH600999,2024-04-18,SH600999_20240412_0002,2024-04-12,2024-10-09,risk_on,6.0,6.0,inside_low_to_high,True,SH600999_20240412_0002,6.0,6.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,4486.0,SH601012,2025-07-02,SH601012_20250609_0001,2025-06-09,2025-11-10,risk_on,23.0,23.0,inside_low_to_high,True,SH601012_20250609_0001,23.0,23.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,4684.0,SH601100,2020-02-27,SH601100_20200527_0003,2020-05-27,2020-11-11,transition,-90.0,90.0,pre120_before_episode_low,True,SH601100_20191030_0002,120.0,120.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,4685.0,SH601100,2020-05-08,SH601100_20200527_0003,2020-05-27,2020-11-11,transition,-19.0,19.0,pre120_before_episode_low,True,SH601100_20191030_0002,191.0,191.0,after_episode_high,False,,,,,,,,
11a2_row_to_06_episode,4690.0,SH601100,2020-11-20,SH601100_20210511_0004,2021-05-11,2021-08-09,transition,-172.0,172.0,before_pre120_calendar_start,False,SH601100_20191030_0002,387.0,387.0,after_episode_high,False,,,,,,,,
11a2_row_to_06_episode,4749.0,SH601111,2021-09-02,SH601111_20210802_0001,2021-08-02,2022-01-21,risk_on,31.0,31.0,inside_low_to_high,True,SH601111_20210802_0001,31.0,31.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,4972.0,SH601168,2025-10-31,SH601168_20250409_0004,2025-04-09,2025-09-30,risk_off,205.0,205.0,after_episode_high,False,,,,no_same_instrument_episode,False,,,,,,,,
11a2_row_to_06_episode,5015.0,SH601179,2025-11-07,SH601179_20250623_0004,2025-06-23,2025-11-10,risk_on,137.0,137.0,inside_low_to_high,True,SH601179_20250623_0004,137.0,137.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,5122.0,SH601225,2020-08-28,SH601225_20200615_0000,2020-06-15,2020-11-30,risk_on,74.0,74.0,inside_low_to_high,True,SH601225_20200615_0000,74.0,74.0,inside_low_to_high,True,,,,,,,,
