bridge_stage_id,source_population_id,target_population_id,split,source_event_n,target_event_n,expected_target_event_n,retained_rate,authoritative_source_path,selection_rule,population_bridge_status,allowed_interpretation,block_reason
raw_08_r_core_contract,08_canonical_events,08_R_core_event_regime_gated,all,47914.0,47914,47914,1.0,08 candidate_scope_reconstructability_audit.csv,candidate_scope_id == 08_R_core_event_regime_gated,pass,raw_backbone_decision_denominator,
risk_on_horizon_complete_09a,08_R_core_event_regime_gated,risk_on_r_core_horizon_complete,all,47914.0,30790,30790,0.6426096756689068,09 source_pool_reconstruction_audit.csv,denominator_id == risk_on_r_core_horizon_complete,pass,risk_on_horizon_complete_comparison,
risk_on_horizon_complete_09a,08_R_core_event_regime_gated,risk_on_r_core_horizon_complete,train,,16603,16603,,09A selected_label_event_bindings.parquet,denominator_id == risk_on_r_core_horizon_complete and event_split == train,pass,risk_on_horizon_complete_comparison,
risk_on_horizon_complete_09a,08_R_core_event_regime_gated,risk_on_r_core_horizon_complete,validation,,4457,4457,,09A selected_label_event_bindings.parquet,denominator_id == risk_on_r_core_horizon_complete and event_split == validation,pass,risk_on_horizon_complete_comparison,
risk_on_horizon_complete_09a,08_R_core_event_regime_gated,risk_on_r_core_horizon_complete,robustness,,9730,9730,,09A selected_label_event_bindings.parquet,denominator_id == risk_on_r_core_horizon_complete and event_split == robustness,pass,risk_on_horizon_complete_comparison,
post_dedup_10a_same_instrument,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,all,30790.0,15802,15802,0.5132185774602144,10A post_dedup_population_contract.csv,10A same_instrument_cooldown_10d post_dedup_risk_on_r_core,pass,compression_comparison_only,
post_dedup_10a_same_instrument,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,,8318,8318,,10A post_dedup_population_contract.csv,split == train,pass,compression_comparison_only,
post_dedup_10a_same_instrument,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,,2514,2514,,10A post_dedup_population_contract.csv,split == validation,pass,compression_comparison_only,
post_dedup_10a_same_instrument,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,robustness,,4970,4970,,10A post_dedup_population_contract.csv,split == robustness,pass,compression_comparison_only,
