arm_id,event_key,source_row_n,canonical_event_id_n,input_event_key_n,sample_id_n,representative_event_key,collapse_status,duplicate_reason,uniqueness_status
08_R6_event_regime_gated_raw,SH600008_20200506_risk_on_transition_union,1,1,1,1,SH600008_20200506_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600008_20201116_risk_on_transition_union,1,1,1,1,SH600008_20201116_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600008_20210315_risk_on_transition_union,1,1,1,1,SH600008_20210315_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600008_20210803_risk_on_transition_union,1,1,1,1,SH600008_20210803_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600008_20210902_risk_on_transition_union,1,1,1,1,SH600008_20210902_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600008_20220221_risk_on_transition_union,1,1,1,1,SH600008_20220221_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20180205_risk_on_transition_union,1,1,1,1,SH600009_20180205_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20180507_risk_on_transition_union,1,1,1,1,SH600009_20180507_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20181213_risk_on_transition_union,1,1,1,1,SH600009_20181213_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20190222_risk_on_transition_union,1,1,1,1,SH600009_20190222_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20190404_risk_on_transition_union,1,1,1,1,SH600009_20190404_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20190621_risk_on_transition_union,1,1,1,1,SH600009_20190621_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20190724_risk_on_transition_union,1,1,1,1,SH600009_20190724_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20190827_risk_on_transition_union,1,1,1,1,SH600009_20190827_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20200417_risk_on_transition_union,1,1,1,1,SH600009_20200417_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20200609_risk_on_transition_union,1,1,1,1,SH600009_20200609_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20200827_risk_on_transition_union,1,1,1,1,SH600009_20200827_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20201116_risk_on_transition_union,1,1,1,1,SH600009_20201116_risk_on_transition_union,unique,,pass
