code,name,instrument,exchange
600000,浦发银行,SH600000,SH
600009,上海机场,SH600009,SH
600010,包钢股份,SH600010,SH
600011,华能国际,SH600011,SH
600015,华夏银行,SH600015,SH
600016,民生银行,SH600016,SH
600018,上港集团,SH600018,SH
600019,宝钢股份,SH600019,SH
600021,上海电力,SH600021,SH
600023,浙能电力,SH600023,SH
600025,华能水电,SH600025,SH
600026,中远海能,SH600026,SH
600027,华电国际,SH600027,SH
600028,中国石化,SH600028,SH
600029,南方航空,SH600029,SH
600030,中信证券,SH600030,SH
600031,三一重工,SH600031,SH
600036,招商银行,SH600036,SH
600039,四川路桥,SH600039,SH
600048,保利发展,SH600048,SH
600050,中国联通,SH600050,SH
600061,国投资本,SH600061,SH
600066,宇通客车,SH600066,SH
600068,葛洲坝(退),SH600068,SH
600079,ST人福,SH600079,SH
600085,同仁堂,SH600085,SH
600089,特变电工,SH600089,SH
600095,湘财股份,SH600095,SH
600096,云天化,SH600096,SH
600104,上汽集团,SH600104,SH
600105,永鼎股份,SH600105,SH
600109,国金证券,SH600109,SH
600111,北方稀土,SH600111,SH
600115,中国东航,SH600115,SH
600118,中国卫星,SH600118,SH
600132,重庆啤酒,SH600132,SH
600141,兴发集团,SH600141,SH
600143,金发科技,SH600143,SH
600150,中国船舶,SH600150,SH
600160,巨化股份,SH600160,SH
600161,天坛生物,SH600161,SH
600176,中国巨石,SH600176,SH
600183,生益科技,SH600183,SH
600188,兖矿能源,SH600188,SH
600196,复星医药,SH600196,SH
600219,南山铝业,SH600219,SH
600221,海航控股,SH600221,SH
600233,圆通速递,SH600233,SH
600236,桂冠电力,SH600236,SH
600256,广汇能源,SH600256,SH
600271,航天信息,SH600271,SH
600276,恒瑞医药,SH600276,SH
600292,电投水电,SH600292,SH
600295,鄂尔多斯,SH600295,SH
600297,广汇汽车(退),SH600297,SH
600298,安琪酵母,SH600298,SH
600309,万华化学,SH600309,SH
600331,宏达股份,SH600331,SH
600332,白云山,SH600332,SH
600340,华夏幸福,SH600340,SH
600346,恒力石化,SH600346,SH
600348,华阳股份,SH600348,SH
600350,山东高速,SH600350,SH
600352,浙江龙盛,SH600352,SH
600362,江西铜业,SH600362,SH
600372,中航机载,SH600372,SH
600377,宁沪高速,SH600377,SH
600378,昊华科技,SH600378,SH
600383,金地集团,SH600383,SH
600390,五矿资本,SH600390,SH
600392,盛和资源,SH600392,SH
600398,海澜之家,SH600398,SH
600399,抚顺特钢,SH600399,SH
600406,国电南瑞,SH600406,SH
600415,小商品城,SH600415,SH
600418,江淮汽车,SH600418,SH
600426,华鲁恒升,SH600426,SH
600436,片仔癀,SH600436,SH
600438,通威股份,SH600438,SH
600460,士兰微,SH600460,SH
600482,中国动力,SH600482,SH
600486,扬农化工,SH600486,SH
600487,亨通光电,SH600487,SH
600489,中金黄金,SH600489,SH
600497,驰宏锌锗,SH600497,SH
600498,烽火通信,SH600498,SH
600515,海南机场,SH600515,SH
600516,方大炭素,SH600516,SH
600518,康美药业,SH600518,SH
600519,贵州茅台,SH600519,SH
600521,华海药业,SH600521,SH
600522,中天科技,SH600522,SH
600535,天士力,SH600535,SH
600536,中国软件,SH600536,SH
600547,山东黄金,SH600547,SH
600549,厦门钨业,SH600549,SH
600563,法拉电子,SH600563,SH
600570,恒生电子,SH600570,SH
600580,XD卧龙电,SH600580,SH
600584,长电科技,SH600584,SH
600585,海螺水泥,SH600585,SH
600588,用友网络,SH600588,SH
600600,青岛啤酒,SH600600,SH
600606,绿地控股,SH600606,SH
600637,东方明珠,SH600637,SH
600655,豫园股份,SH600655,SH
600660,福耀玻璃,SH600660,SH
600663,陆家嘴,SH600663,SH
600673,东阳光,SH600673,SH
600674,川投能源,SH600674,SH
600685,中船防务,SH600685,SH
600688,上海石化,SH600688,SH
600690,海尔智家,SH600690,SH
600699,均胜电子,SH600699,SH
600702,舍得酒业,SH600702,SH
600703,三安光电,SH600703,SH
600704,物产中大,SH600704,SH
600705,中航产融(退),SH600705,SH
600732,爱旭股份,SH600732,SH
600733,北汽蓝谷,SH600733,SH
600741,华域汽车,SH600741,SH
600745,闻泰科技,SH600745,SH
600754,锦江酒店,SH600754,SH
600760,中航沈飞,SH600760,SH
600763,通策医疗,SH600763,SH
600765,中航重机,SH600765,SH
600776,东方通信,SH600776,SH
600779,水井坊,SH600779,SH
600795,国电电力,SH600795,SH
600801,华新建材,SH600801,SH
600803,新奥股份,SH600803,SH
600808,马钢股份,SH600808,SH
600809,山西汾酒,SH600809,SH
600816,建元信托,SH600816,SH
600827,百联股份,SH600827,SH
600837,海通证券(退),SH600837,SH
600839,四川长虹,SH600839,SH
600845,宝信软件,SH600845,SH
600848,上海临港,SH600848,SH
600859,王府井,SH600859,SH
600862,中航高科,SH600862,SH
600867,通化东宝,SH600867,SH
600871,石化油服,SH600871,SH
600872,中炬高新,SH600872,SH
600875,东方电气,SH600875,SH
