oracle_id,oracle_variant_id,split_bucket,cost_bps,q_defend,primary_variant,observed_step_n,mean_incremental_return,trimmed_mean_incremental_return,winsorized_mean_incremental_return,median_incremental_return,sum_incremental_return,bootstrap_ci_low_min,topk_removed_mean_min,matched_base_pass_share_min,required_bootstrap_family_n,required_bootstrap_family_pass_n,required_matched_family_n,required_matched_family_pass_n,defended_step_n,continued_step_n,defended_rate,topk_gate,bootstrap_gate,matched_base_gate,materiality_gate,primary_support_gate,tail_concentrated_upper_bound,weak_positive_upper_bound,blocking_reason
O1,O1_negative_primary,robustness,50,0.0,True,1872,0.024681105459249113,0.024747045815724057,0.025597643805180214,0.0,46.20302941971434,0.01484595468370116,0.021953224667113594,1.0,3,3,3,3,526,1346,0.280982905982906,pass,pass,pass,pass,pass,False,False,
O2,O2_dd_10pct_primary,robustness,50,0.0,True,2496,0.018510829094436836,0.01821996280994784,0.01924591488615938,0.0,46.20302941971434,0.011368224427585937,0.016464918500335195,1.0,3,3,3,3,526,1970,0.2107371794871795,pass,pass,pass,pass,pass,False,False,
O4,O4_label_positive_primary,robustness,50,0.0,True,1872,0.024681105459249113,0.024747045815724057,0.025597643805180214,0.0,46.20302941971434,0.015143034339746182,0.021953224667113594,1.0,3,3,3,3,526,1346,0.280982905982906,pass,pass,pass,pass,pass,False,False,
O5,O5_perfect_utility_primary,robustness,50,0.0,True,2496,0.029467428365170766,0.02759436730778638,0.029107401614442106,0.0,73.55070119946623,0.02166115123161877,0.026901359952125885,1.0,3,3,3,3,1056,1440,0.4230769230769231,pass,pass,pass,pass,pass,False,False,
