oracle_id,oracle_variant_id,split_bucket,cost_bps,q_defend,primary_variant,matched_family,matched_family_status,matched_gate_in_primary_decision,matched_min_bucket_step_n,family_evaluable_bucket_n,family_pass_bucket_n,family_pass_share,family_pass_share_weighting,matched_bucket,matched_bucket_evaluable,bucket_step_n,bucket_mean_incremental_return,bucket_trimmed_mean_incremental_return,bucket_sum_incremental_return,bucket_positive_sacrifice,bucket_negative_avoidance,bucket_neutral_contribution,bucket_gate,matched_base_gate,blocking_reason
O0,O0_blind_continue_primary,train,0,0.0,True,calendar_month,evaluable,False,20,97,0,0.0,equal_bucket_weight,2018-01,True,170,0.0,0.0,0.0,0.0,0.0,0.0,fail,fail,matched_base_family_failed
O0,O0_blind_continue_primary,train,0,0.0,True,calendar_month,evaluable,False,20,97,0,0.0,equal_bucket_weight,2018-02,True,158,0.0,0.0,0.0,0.0,0.0,0.0,fail,fail,matched_base_family_failed
O0,O0_blind_continue_primary,train,0,0.0,True,calendar_month,evaluable,False,20,97,0,0.0,equal_bucket_weight,2018-03,True,185,0.0,0.0,0.0,0.0,0.0,0.0,fail,fail,matched_base_family_failed
O0,O0_blind_continue_primary,train,0,0.0,True,calendar_month,evaluable,False,20,97,0,0.0,equal_bucket_weight,2018-04,True,174,0.0,0.0,0.0,0.0,0.0,0.0,fail,fail,matched_base_family_failed
O0,O0_blind_continue_primary,train,0,0.0,True,calendar_month,evaluable,False,20,97,0,0.0,equal_bucket_weight,2018-05,True,231,0.0,0.0,0.0,0.0,0.0,0.0,fail,fail,matched_base_family_failed
O0,O0_blind_continue_primary,train,0,0.0,True,calendar_month,evaluable,False,20,97,0,0.0,equal_bucket_weight,2018-06,True,226,0.0,0.0,0.0,0.0,0.0,0.0,fail,fail,matched_base_family_failed
O0,O0_blind_continue_primary,train,0,0.0,True,calendar_month,evaluable,False,20,97,0,0.0,equal_bucket_weight,2018-07,True,225,0.0,0.0,0.0,0.0,0.0,0.0,fail,fail,matched_base_family_failed
O0,O0_blind_continue_primary,train,0,0.0,True,calendar_month,evaluable,False,20,97,0,0.0,equal_bucket_weight,2018-08,True,224,0.0,0.0,0.0,0.0,0.0,0.0,fail,fail,matched_base_family_failed
O0,O0_blind_continue_primary,train,0,0.0,True,calendar_month,evaluable,False,20,97,0,0.0,equal_bucket_weight,2018-09,True,222,0.0,0.0,0.0,0.0,0.0,0.0,fail,fail,matched_base_family_failed
O0,O0_blind_continue_primary,train,0,0.0,True,calendar_month,evaluable,False,20,97,0,0.0,equal_bucket_weight,2018-10,True,222,0.0,0.0,0.0,0.0,0.0,0.0,fail,fail,matched_base_family_failed
O0,O0_blind_continue_primary,train,0,0.0,True,calendar_month,evaluable,False,20,97,0,0.0,equal_bucket_weight,2018-11,True,228,0.0,0.0,0.0,0.0,0.0,0.0,fail,fail,matched_base_family_failed
O0,O0_blind_continue_primary,train,0,0.0,True,calendar_month,evaluable,False,20,97,0,0.0,equal_bucket_weight,2018-12,True,226,0.0,0.0,0.0,0.0,0.0,0.0,fail,fail,matched_base_family_failed
O0,O0_blind_continue_primary,train,0,0.0,True,calendar_month,evaluable,False,20,97,0,0.0,equal_bucket_weight,2019-01,True,263,0.0,0.0,0.0,0.0,0.0,0.0,fail,fail,matched_base_family_failed
O0,O0_blind_continue_primary,train,0,0.0,True,calendar_month,evaluable,False,20,97,0,0.0,equal_bucket_weight,2019-02,True,302,0.0,0.0,0.0,0.0,0.0,0.0,fail,fail,matched_base_family_failed
