oracle_id,oracle_variant_id,split_bucket,cost_bps,q_defend,primary_variant,bootstrap_family,bootstrap_primary_role,cluster_key,cluster_n,bootstrap_iterations,random_seed,observed_mean_incremental_return,ci_low,ci_mid,ci_high,ci_alpha,bootstrap_family_status,bootstrap_gate,blocking_reason
O0,O0_blind_continue_primary,train,0,0.0,True,episode_cluster_id,primary_required,episode_cluster_id,652,1000,1683718682,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,train,0,0.0,True,instrument,primary_required,instrument,590,1000,87403967,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,train,0,0.0,True,calendar_month,primary_required,calendar_month,100,1000,3929389658,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,train,0,0.0,True,calendar_quarter,readout_only,calendar_quarter,34,1000,2753434349,0.0,0.0,0.0,0.0,0.05,pass,fail,
O0,O0_blind_continue_primary,robustness,0,0.0,True,episode_cluster_id,primary_required,episode_cluster_id,204,1000,1750424761,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,robustness,0,0.0,True,instrument,primary_required,instrument,195,1000,2430112567,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,robustness,0,0.0,True,calendar_month,primary_required,calendar_month,26,1000,4260758169,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,robustness,0,0.0,True,calendar_quarter,readout_only,calendar_quarter,10,1000,4002489834,0.0,0.0,0.0,0.0,0.05,readout_only_insufficient_clusters,readout_only,
O0,O0_blind_continue_primary,validation,0,0.0,True,episode_cluster_id,primary_required,episode_cluster_id,41,1000,739783527,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,validation,0,0.0,True,instrument,primary_required,instrument,41,1000,3055728989,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,validation,0,0.0,True,calendar_month,primary_required,calendar_month,52,1000,365043140,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,validation,0,0.0,True,calendar_quarter,readout_only,calendar_quarter,18,1000,84436314,0.0,0.0,0.0,0.0,0.05,readout_only_insufficient_clusters,readout_only,
O0,O0_blind_continue_primary,train,0,0.25,True,episode_cluster_id,primary_required,episode_cluster_id,652,1000,3694764641,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,train,0,0.25,True,instrument,primary_required,instrument,590,1000,4119260863,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,train,0,0.25,True,calendar_month,primary_required,calendar_month,100,1000,651117021,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,train,0,0.25,True,calendar_quarter,readout_only,calendar_quarter,34,1000,2729418064,0.0,0.0,0.0,0.0,0.05,pass,fail,
O0,O0_blind_continue_primary,robustness,0,0.25,True,episode_cluster_id,primary_required,episode_cluster_id,204,1000,4018491508,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,robustness,0,0.25,True,instrument,primary_required,instrument,195,1000,567865554,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,robustness,0,0.25,True,calendar_month,primary_required,calendar_month,26,1000,1047607179,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,robustness,0,0.25,True,calendar_quarter,readout_only,calendar_quarter,10,1000,27422800,0.0,0.0,0.0,0.0,0.05,readout_only_insufficient_clusters,readout_only,
O0,O0_blind_continue_primary,validation,0,0.25,True,episode_cluster_id,primary_required,episode_cluster_id,41,1000,2494410940,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,validation,0,0.25,True,instrument,primary_required,instrument,41,1000,106854968,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,validation,0,0.25,True,calendar_month,primary_required,calendar_month,52,1000,2115760691,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,validation,0,0.25,True,calendar_quarter,readout_only,calendar_quarter,18,1000,1587962210,0.0,0.0,0.0,0.0,0.05,readout_only_insufficient_clusters,readout_only,
O0,O0_blind_continue_primary,train,0,0.5,True,episode_cluster_id,primary_required,episode_cluster_id,652,1000,3606010677,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,train,0,0.5,True,instrument,primary_required,instrument,590,1000,856161046,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,train,0,0.5,True,calendar_month,primary_required,calendar_month,100,1000,3882375935,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,train,0,0.5,True,calendar_quarter,readout_only,calendar_quarter,34,1000,3865748736,0.0,0.0,0.0,0.0,0.05,pass,fail,
O0,O0_blind_continue_primary,robustness,0,0.5,True,episode_cluster_id,primary_required,episode_cluster_id,204,1000,1582590096,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,robustness,0,0.5,True,instrument,primary_required,instrument,195,1000,220547205,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,robustness,0,0.5,True,calendar_month,primary_required,calendar_month,26,1000,4205169853,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
O0,O0_blind_continue_primary,robustness,0,0.5,True,calendar_quarter,readout_only,calendar_quarter,10,1000,1449949836,0.0,0.0,0.0,0.0,0.05,readout_only_insufficient_clusters,readout_only,
O0,O0_blind_continue_primary,validation,0,0.5,True,episode_cluster_id,primary_required,episode_cluster_id,41,1000,981429254,0.0,0.0,0.0,0.0,0.05,pass,fail,bootstrap_ci_low_not_positive
