artifact_key,artifact_role,required_flag,resolved_path,relative_path,source_phase_id,row_count,sha256,schema_status,lineage_status,row_key_status,gate_status,blocking_reason,audit_row_type,input_check_id,observed_value,expected_value,check_status
requirement,local_contract,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/requirement_17c_oracle_robustness_stress.md,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/requirement_17c_oracle_robustness_stress.md,17C,,08d2e78a3c985ac9865c5718ecd1bda45256e46c52d58e3e74f92397dccc30f9,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
research_plan,local_contract,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/research_plan.md,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/research_plan.md,17C,,6ca172e3c2587e2042b3a914537208e45523ec53e9d0c139ab4bcd139a8259b7,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
stock_daily_qfq_dir,qfq_price_source,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,data/raw/akshare/day/qfq,17C,4598.0,,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_b_input_gate_audit,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/17b_input_gate_audit.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/17b_input_gate_audit.csv,17B,15.0,8dd675653114c8c4fcfee89f46d595d25f3c1de9b4d982ff9c3e0a7c8bbc8759,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_b_contract_validation_audit,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/17a_contract_validation_audit.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/17a_contract_validation_audit.csv,17B,141.0,4ca5e315a3186bf8978c5182a6c0d6938fa3ba7db532f2b69ce595b823fe55b4,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_b_row_replay_audit,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_row_replay_audit.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_row_replay_audit.csv,17B,6.0,59f6142a8415b8cfe898348e146c637d47775456a9d9f3011703bd8a2a991c54,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_b_ladder_summary,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_ladder_summary.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_ladder_summary.csv,17B,432.0,d7a9f8ad465cd0b9908348af35a964dc17c7d571be983ac1fce618a7c3475d97,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_b_six_cell_decomposition,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_six_cell_decomposition.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_six_cell_decomposition.csv,17B,1911.0,cd27a9a371d95a9fcd84ed104f73d08077fb660990424d361abbd71d20edc180,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_b_action_intensity_frontier,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_action_intensity_frontier.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_action_intensity_frontier.csv,17B,396.0,cb8ada660cd0e8f36f25413ddde978e7526936679581fb4418abe212b8b4d520,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_b_neutral_stress,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_neutral_stress.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_neutral_stress.csv,17B,72.0,60932f4d84f5b2705db8b597aafde9f3b4edf776fe8c833469d21e46a4fda330,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_b_o2_drawdown_threshold_replay,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_o2_drawdown_threshold_replay.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_o2_drawdown_threshold_replay.csv,17B,15.0,d9b56f0bf7d84a8700959ef2e1b5550f6aa8e5f44c61febacdc14ad3514753e6,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_b_o5_action_selection_proof,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_o5_action_selection_proof.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_o5_action_selection_proof.csv,17B,36.0,4ca16a5ba518b5e9a62cfaa02f2eaa92681b6f0ebf53fad6176701087c8f8e4f,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_b_high_upside_threshold_freeze,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_high_upside_threshold_freeze.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_high_upside_threshold_freeze.csv,17B,3.0,0ab46b8f5044126bf17456702f8eb9c94d93f3d1ab5f2f96b89c05b52a78c5f2,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_b_ladder_decision,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_ladder_decision.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/oracle_ladder_decision.csv,17B,1.0,7d3493c4a05975caae392993b59ae4e770e2057deba6af4471dbb403e098d0a5,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_b_search_accounting_audit,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/search_accounting_audit.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17B_oracle_ladder_replay/search_accounting_audit.csv,17B,1.0,c427c4eea7340661fc3e6ebcdde8e4bd0e7f3237772f42c221977c10cab933d8,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
