signal_id,signal_type,raw_trigger_row_count,episode_count,episode_compression_ratio,episode_trigger_count_p50,episode_trigger_count_p90,episode_entry_valid_count,episode_path_complete_120d_count,episode_atr_t0_usable_count,episode_atr_t0_usable_rate,episode_early_failure_rate,episode_clean_continuation_rate,episode_whipsaw_after_profit_rate,episode_tradable_continuation_rate,episode_transient_spike_rate,episode_late_drawdown_rate,episode_severe_drawdown_rate,episode_hit_plus10_before_minus5_rate,episode_close_return_t20_p50,episode_close_return_t60_p50,episode_close_return_t120_p50,episode_mae_low_t20_p50,episode_mfe_high_t20_p50,episode_max_drawdown_120d_p50
review_momentum_oscillator_pullback_volume,same_day_family_and4,5229,4613,0.8821954484605087,1.0,2.0,4602,3546,3100,0.6736201651455889,0.5128205128205128,0.12038244241634072,0.09452411994784876,0.25771403737505433,0.08039982616253803,0.5123859191655802,0.8161668839634941,0.3363754889178618,-0.013651635620613223,-0.031674276438910964,-0.02512568630817902,-0.07130246548286251,0.08014029529467726,-0.28920403813825635
review_momentum_oscillator_range_volume,same_day_family_and4,5929,5257,0.8866587957497049,1.0,2.0,5246,4060,3536,0.6740373617994663,0.5043842927945101,0.12276019824628288,0.09168890583301563,0.26115135341212353,0.07929851315287838,0.5112466641250476,0.8122378955394587,0.3389248951582158,-0.012080903398901222,-0.02800247777291942,-0.020074472984545344,-0.07064409690741053,0.08048754268829261,-0.2868061700077819
review_momentum_pullback_volatility_volume,same_day_family_and4,5228,4617,0.8831293037490436,1.0,2.0,4606,3525,3103,0.6736864958749457,0.5160660008684325,0.11897524967433783,0.09834997828918801,0.25466782457663917,0.08033000434216239,0.5049934867564047,0.809379070777247,0.33608336951802,-0.012292169573354328,-0.03188717901782667,-0.02571426119123188,-0.07125719052081747,0.08029067857174377,-0.2845622327404731
review_oscillator_pullback_volatility_volume,same_day_family_and4,5510,4801,0.8713248638838476,1.0,2.0,4791,3768,3302,0.6892089334168232,0.49697349196409935,0.12335629304946776,0.08829054477144646,0.26027969108745563,0.07973283239407222,0.47484867459820496,0.7745773324984345,0.33876017532874136,-0.012135853224889193,-0.033354090878004006,-0.027182809268059938,-0.0687499841054281,0.0768156707340788,-0.2742176068744142
single_momentum_rps,single_family,44120,16582,0.3758386219401632,2.0,5.0,16542,12973,11022,0.666303953572724,0.512453149558699,0.11890944263087898,0.08862289928666425,0.25516866158868334,0.08197315923104824,0.5146294281223552,0.813444565348809,0.33133841131664854,-0.009760589841043332,-0.019693686916246178,-0.015125996409376063,-0.07284184590135662,0.08086013126151548,-0.28919663189197486
single_oscillator,single_family,23132,15698,0.6786270102023171,1.0,2.0,15665,12360,11028,0.7039897861474625,0.433833386530482,0.12812001276731566,0.06881583147143314,0.26300670284072775,0.06747526332588573,0.4180019150973508,0.6810086179380785,0.33278008298755185,-0.007313241462810871,-0.009661826475196755,-0.0036190582478831113,-0.059800686819769466,0.06726454490526579,-0.25447241579671886
single_price_trend,single_family,34592,17518,0.5064176688251619,2.0,4.0,17478,13750,11615,0.6645497196475569,0.5246595720334134,0.11969332875615059,0.09406110538963268,0.2544341457832704,0.08319029637258267,0.518480375328985,0.8188007781210664,0.33705229431285044,-0.011816827759445037,-0.024218073112312277,-0.019632942799737707,-0.07571418612037972,0.08192371391880082,-0.2917157268931439
single_pullback_drawdown,single_family,56446,19235,0.340768167806399,2.0,6.0,19196,15218,12891,0.6715461554490519,0.5031777453636174,0.12262971452385914,0.08632006668055844,0.25599083142321316,0.08032923525734528,0.49770785580329235,0.792248385080225,0.33460095853302774,-0.010449944916658516,-0.018296633786591632,-0.015040642224397605,-0.07109648661947487,0.07822556702938532,-0.2833020660558141
single_range_breakout,single_family,68679,36142,0.5262452860408567,1.0,4.0,36080,28359,25527,0.7075110864745011,0.4183481152993348,0.1283259423503326,0.06355321507760532,0.26444013303769404,0.06072616407982261,0.40435144124168515,0.6648835920177384,0.33209534368070953,-0.005250111569989169,-0.008050102873988774,0.0009535469772299354,-0.0577995898643599,0.06489610676218982,-0.24819571727726675
single_volatility_band,single_family,28211,18699,0.6628265570167665,1.0,3.0,18665,14604,13187,0.7065095097776587,0.454433431556389,0.12435038842753818,0.07334583444950442,0.2573265470131262,0.06755960353603001,0.42416287168497185,0.6909188320385748,0.3290115188856148,-0.008198577643665883,-0.015075146159017228,-0.0077682141245229985,-0.06307341443720693,0.06952245695439552,-0.2557405957660809
single_volume_money,single_family,22806,19178,0.8409190563886696,1.0,2.0,19153,15017,13662,0.7133086200595207,0.410901686419882,0.12922257609773927,0.06374980420821803,0.2650759672114029,0.06291442593849528,0.4082911293269984,0.6759776536312849,0.33258497363337336,-0.0073104097111239,-0.014426540076656502,-0.0070922481496632495,-0.056880300288701946,0.06429681388450814,-0.24958948158328098
