signal_id,raw_trigger_row_count,episode_count,episode_compression_ratio,recommended_r03_status,primary_blocker,primary_opportunity,status_basis_metrics,atr_evidence_status,needs_entry_delay_test,needs_stop_loss_test,needs_take_profit_test,needs_hold_window_test,notes
review_momentum_oscillator_pullback_volume,5229,4613,0.8821954484605087,needs_entry_delay_or_stop_design,none,upside_exists_but_path_needs_risk_design,first_plus10_hit_rate=0.691439;mfe_high_t20_p50=0.0801403;transient_spike_rate=0.0803998,low_coverage_audit_only,True,True,False,False,descriptive_handoff_only
review_momentum_oscillator_range_volume,5929,5257,0.8866587957497049,needs_entry_delay_or_stop_design,none,upside_exists_but_path_needs_risk_design,first_plus10_hit_rate=0.696149;mfe_high_t20_p50=0.0804875;transient_spike_rate=0.0792985,low_coverage_audit_only,True,True,False,False,descriptive_handoff_only
review_momentum_pullback_volatility_volume,5228,4617,0.8831293037490436,needs_entry_delay_or_stop_design,none,upside_exists_but_path_needs_risk_design,first_plus10_hit_rate=0.687799;mfe_high_t20_p50=0.0802907;transient_spike_rate=0.08033,low_coverage_audit_only,True,True,False,False,descriptive_handoff_only
review_oscillator_pullback_volatility_volume,5510,4801,0.8713248638838476,needs_entry_delay_or_stop_design,none,upside_exists_but_path_needs_risk_design,first_plus10_hit_rate=0.673346;mfe_high_t20_p50=0.0768157;transient_spike_rate=0.0797328,low_coverage_audit_only,True,True,False,False,descriptive_handoff_only
single_momentum_rps,44120,16582,0.3758386219401632,needs_entry_delay_or_stop_design,none,upside_exists_but_path_needs_risk_design,first_plus10_hit_rate=0.702092;mfe_high_t20_p50=0.0808601;transient_spike_rate=0.0819732,low_coverage_audit_only,True,True,False,False,descriptive_handoff_only
single_oscillator,23132,15698,0.6786270102023171,needs_entry_delay_or_stop_design,none,upside_exists_but_path_needs_risk_design,first_plus10_hit_rate=0.674178;mfe_high_t20_p50=0.0672645;transient_spike_rate=0.0674753,low_coverage_audit_only,True,True,False,False,descriptive_handoff_only
single_price_trend,34592,17518,0.5064176688251619,needs_entry_delay_or_stop_design,none,upside_exists_but_path_needs_risk_design,first_plus10_hit_rate=0.701911;mfe_high_t20_p50=0.0819237;transient_spike_rate=0.0831903,low_coverage_audit_only,True,True,False,False,descriptive_handoff_only
single_pullback_drawdown,56446,19235,0.340768167806399,needs_entry_delay_or_stop_design,none,upside_exists_but_path_needs_risk_design,first_plus10_hit_rate=0.697854;mfe_high_t20_p50=0.0782256;transient_spike_rate=0.0803292,low_coverage_audit_only,True,True,False,False,descriptive_handoff_only
single_range_breakout,68679,36142,0.5262452860408567,needs_entry_delay_or_stop_design,none,upside_exists_but_path_needs_risk_design,first_plus10_hit_rate=0.666768;mfe_high_t20_p50=0.0648961;transient_spike_rate=0.0607262,low_coverage_audit_only,True,True,False,False,descriptive_handoff_only
single_volatility_band,28211,18699,0.6628265570167665,needs_entry_delay_or_stop_design,none,upside_exists_but_path_needs_risk_design,first_plus10_hit_rate=0.67281;mfe_high_t20_p50=0.0695225;transient_spike_rate=0.0675596,low_coverage_audit_only,True,True,False,False,descriptive_handoff_only
single_volume_money,22806,19178,0.8409190563886696,needs_entry_delay_or_stop_design,none,upside_exists_but_path_needs_risk_design,first_plus10_hit_rate=0.65833;mfe_high_t20_p50=0.0642968;transient_spike_rate=0.0629144,low_coverage_audit_only,True,True,False,False,descriptive_handoff_only
