split,cooldown_entry_rows,replay_path_eligible_rows,replay_path_eligible_rate,entry_fill_feasibility_required,path_complete_for_replay_horizon_required,unsupported_same_day_execution_allowed,replay_path_eligibility_freeze_gate,blocking_reason
train,5254,5116,0.9737342976779596,True,True,False,pass,
robustness,2640,2635,0.9981060606060606,True,True,False,pass,
validation,2902,2901,0.9996554100620262,True,True,False,pass,
