candidate_generator_id,source_root,source_event_artifact,source_label_artifact,materialized_in_19a,primary_candidate_source,event_row_count,label_row_count,required_lineage_columns_present,decision_time_proof_status,winner_label_independence_status,lineage_status,blocking_reason
EP04_high_recall_repair_event_candidate_generator,experiments/pending/04_high_recall_repair_event_candidate_generator_v0,experiments/pending/04_high_recall_repair_event_candidate_generator_v0/outputs/publishable/tables/candidate_event_instances.csv,experiments/pending/04_high_recall_repair_event_candidate_generator_v0/outputs/publishable/tables/candidate_event_label_outcomes.csv,False,False,83102,83102,True,not_selected,not_selected,candidate_source_optional_until_adapter_selected,
EP07_topn_multichannel_recommended_union,experiments/pending/07_topn_multichannel_repair_candidate_generator_v0,experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_multichannel_candidate_event_canonical.csv,experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/local_cache/topn_canonical_event_labels.parquet,True,True,15161,0,True,after_close_to_next_open_adapter,readout_only_forward_labels,lineage_supported_with_adapter,
EP13_full_pit_native_event_discovery,experiments/pending/13_full_pit_native_event_discovery_v0,experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13G_event_survival_opportunity_and_defense_overlay_diagnostic/rule_overlay_event_panel.parquet,experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13G_event_survival_opportunity_and_defense_overlay_diagnostic/survival_opportunity_label_panel.parquet,False,False,0,0,True,not_selected,not_selected,candidate_source_optional_until_adapter_selected,
EP14_full_native_sparse_state_change_event_utility_preflight,experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0,experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/local_cache/14A_full_native_sparse_state_change_event_utility_preflight/sparse_event_panel.parquet,,False,False,0,0,True,not_selected,not_selected,candidate_source_optional_until_adapter_selected,
