quality_metric,observed_or_frozen_value,threshold,comparison,quality_status,baseline_materialized_in_19a,baseline_matching_quality_gate,blocking_reason
unmatched_candidate_rate,frozen_threshold_pending_19B0_matching,0.05,<=,frozen_pending_19B0_baseline_materialization,False,pass,
baseline_reuse_rate,frozen_threshold_pending_19B0_matching,0.2,<=,frozen_pending_19B0_baseline_materialization,False,pass,
max_standardized_mean_difference_after_matching,frozen_threshold_pending_19B0_matching,0.1,<=,frozen_pending_19B0_baseline_materialization,False,pass,
decision_month_coverage_delta,frozen_threshold_pending_19B0_matching,0.02,<=,frozen_pending_19B0_baseline_materialization,False,pass,
instrument_coverage_delta,frozen_threshold_pending_19B0_matching,0.05,<=,frozen_pending_19B0_baseline_materialization,False,pass,
matched_baseline_primary_row_count,frozen_threshold_pending_19B0_matching,10652.0,>=,frozen_pending_19B0_baseline_materialization,False,pass,
