field_name,readout_only,label_readout_only_flag,candidate_membership_uses_forward_label,primary_threshold,forward_label_freeze_gate,blocking_reason
forward_label_id,True,True,False,,pass,
entry_price_source,True,True,False,,pass,
forward_horizon_sessions,True,True,False,,pass,
max_forward_high_price_source,True,True,False,,pass,
forward_mfe_20d,True,True,False,,pass,
forward_mfe_60d,True,True,False,,pass,
forward_mfe_120d,True,True,False,,pass,
forward_mae_10d,True,True,False,,pass,
forward_mae_20d,True,True,False,,pass,
forward_mae_60d,True,True,False,,pass,
forward_mae_120d,True,True,False,,pass,
forward_return_20d,True,True,False,,pass,
forward_return_60d,True,True,False,,pass,
forward_return_120d,True,True,False,,pass,
fast_fail_10d,True,True,False,,pass,
false_repair_20d,True,True,False,,pass,
big_failure_20d_or_60d,True,True,False,,pass,
forward_big_winner_20d,True,True,False,,pass,
forward_big_winner_60d,True,True,False,,pass,
forward_big_winner_120d,True,True,False,0.5,pass,
path_complete_flag,True,True,False,,pass,
path_complete_20d,True,True,False,,pass,
path_complete_60d,True,True,False,,pass,
path_complete_120d,True,True,False,,pass,
censoring_status,True,True,False,,pass,
last_available_forward_session,True,True,False,,pass,
label_readout_only_flag,True,True,False,,pass,
