required_fact,source_columns,observed_value,expected_value,upstream_closure_gate,blocking_reason
decision_state,decision_state,18F_utility_bridge_not_supported,18F_utility_bridge_not_supported,pass,
next_allowed_requirement,next_allowed_requirement,none,none,pass,
policy_training_authorized,entry_policy_authorized|exit_policy_authorized|holding_policy_authorized,False,False,pass,
policy_replay_authorized,entry_policy_authorized|exit_policy_authorized|holding_policy_authorized|portfolio_backtest_authorized,False,False,pass,
deployment_authorized,model_deployment_authorized|production_signal_authorized|live_trading_authorized,False,False,pass,
learned_utility_support_gate,learned_utility_support_gate,fail,fail,pass,
entry_policy_authorized,entry_policy_authorized,False,False,pass,
exit_policy_authorized,exit_policy_authorized,False,False,pass,
holding_policy_authorized,holding_policy_authorized,False,False,pass,
portfolio_backtest_authorized,portfolio_backtest_authorized,False,False,pass,
model_deployment_authorized,model_deployment_authorized,False,False,pass,
production_signal_authorized,production_signal_authorized,False,False,pass,
live_trading_authorized,live_trading_authorized,False,False,pass,
