split,raw_trigger_rows,canonical_event_rows,cooldown_window_sessions,cooldown_scope,cooldown_entry_rows,cooldown_suppressed_rows,cooldown_entry_rate,cooldown_entry_denominator_gate,blocking_reason
train,7328,7328,10,instrument,5254,2074,0.7169759825327511,pass,
robustness,3687,3687,10,instrument,2640,1047,0.7160292921074044,pass,
validation,4146,4146,10,instrument,2902,1244,0.6999517607332368,pass,
