split,primary_denominator_n,instrument_n,decision_month_n,instrument_month_n,effective_sample_method,effective_sample_n,effective_sample_ratio,effective_sample_size_gate,blocking_reason
train,5116,803,48,4889,instrument_month_cluster_count,4889,0.9556293979671618,pass,
robustness,2635,551,23,2544,instrument_month_cluster_count,2544,0.9654648956356736,pass,
validation,2901,602,24,2796,instrument_month_cluster_count,2796,0.9638055842812823,pass,
