split,row_n,min_decision_date,max_decision_date,purge_window_sessions,embargo_window_sessions,validation_selection_allowed,split_stability_gate,blocking_reason
train,7328,2018-01-18,2021-12-31,120,20,False,pass,
robustness,3687,2024-01-02,2025-11-26,120,20,False,pass,
validation,4146,2022-01-04,2023-12-29,120,20,False,pass,
