artifact_id,artifact_role,relative_path,exists,artifact_type,row_count,column_count,columns,sha256_or_inventory_hash,input_artifact_gate,blocking_reason
research_plan,19a_planning_contract,experiments/pending/19_entry_universe_pit_tradability_preflight/research_plan.md,True,.md,1358,0,,ce34f0b14c4b2528fef060ea97b3b3f7811294811dd3babd042f58feb45b60ca,pass,
requirement,19a_requirement_contract,experiments/pending/19_entry_universe_pit_tradability_preflight/requirement_19a_entry_universe_pit_lineage_tradability_and_data_contract.md,True,.md,1395,0,,43e9c0cd25db5a2947dff1facaa0588166a7891934383a247f1cf82faae33e4d,pass,
eighteen_f_decision,upstream_18f_closure,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18F_payoff_state_oracle_gap_bridge/payoff_state_oracle_gap_bridge_decision.csv,True,.csv,1,43,decision_state|next_allowed_requirement|next_allowed_requirement_scope|all_hard_gates_pass|upstream_18c_refresh_contract_gate|input_artifact_gate|score_matrix_join_gate|oracle_denominator_contract_gate|o5_identity_replay_gate|o5_upper_bound_contract_gate|operating_point_freeze_gate|learned_utility_support_gate|oracle_gap_reduction_gate|positive_sacrifice_gate|payoff_retention_gate|neutral_reconciliation_gate|cluster_bootstrap_utility_gate|topk_sensitivity_gate|validation_stress_gate|binary_boundary_gate|search_accounting_gate|primary_operating_point_id|primary_labelable_full_learned_mean_incremental_return|primary_o5_approximation_ratio|primary_o2_approximation_ratio|primary_o5_gap_remaining|primary_o5_upper_bound_violation|primary_positive_sacrifice_to_avoidance_ratio|primary_top30_payoff_retention_rate|primary_top20_payoff_retention_rate|primary_cluster_bootstrap_utility_ci_low|primary_cluster_bootstrap_utility_ci_high|primary_cluster_bootstrap_valid_resample_n|validation_stress_evaluable|validation_stress_caveat|entry_policy_authorized|exit_policy_authorized|holding_policy_authorized|portfolio_backtest_authorized|model_deployment_authorized|production_signal_authorized|live_trading_authorized|blocking_reason,8df5f4e3a17aaa262ce6d0bdb5af4edf6980fc301abd2c53341fe03a0c963960,pass,
eighteen_f_manifest,upstream_18f_manifest,experiments/pending/18_payoff_state_representation_research/outputs/manifests/18F_payoff_state_oracle_gap_bridge_manifest.json,True,.json,1,0,,c31f9a07ad75c6a8a162a99929b3f4700592a316d098e0231cad9337f93f9ef8,pass,
eighteen_f_input_manifest,upstream_18f_input_manifest,experiments/pending/18_payoff_state_representation_research/outputs/manifests/input_artifact_manifest_18f.json,True,.json,1,0,,f1781cb1590a5a44cc609b6b3ad70780cb1f51855ddfc1e166548eab80febfa4,pass,
tushare_dc_readme,tushare_dc_contract_doc,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/README.md,True,.md,46,0,,bd1911cb9cb1af60e1929a5d2e1672977c94f20789d484c7ffecb1b8d00bd1d3,pass,
tushare_dc_classification_mapping,tushare_dc_mapping,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/metadata/classification_year_snapshot_mapping.csv,True,.csv,17,8,classification_year|classification_first_open_trade_date|source_snapshot_year|source_snapshot_trade_date|snapshot_policy|mapping_status|classification_calendar_status|source_calendar_status,315f0c9dfadc5b4d1a1cab402c0b6e63e426c0b21e7e66b5d804e3f16a40d609,pass,
tushare_dc_year_first_trade_dates,tushare_dc_calendar,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/metadata/year_first_trade_dates.csv,True,.csv,17,8,classification_year|calendar_start_date|calendar_end_date|calendar_exchange|first_open_trade_date|calendar_status|calendar_error_type|calendar_error_message,6553a1cdfb391293b12c2ffa1ba9ae4254af5cec6b2201af583311381f7decc3,pass,
tushare_dc_dataset_summary,tushare_dc_dataset_summary,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/metadata/dataset_summary.csv,True,.csv,5,6,dataset_id|api|idx_type|status|calls|rows,effe57c55094440830ea45a2cdc98395ecd371a5600b853b98ca32d74ec5c538,pass,
tushare_dc_run_config,tushare_dc_run_config,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/metadata/run_config.json,True,.json,1,0,,f984c6f07edd26d6fca3095125418e844276828346e0451553055c00ccce52da,pass,
