split,fill_feasible_cooldown_n,path_complete_120_n,path_complete_120_rate,primary_label_requires_path_complete_120,survival_fallback_triggered,survival_fallback_role,censoring_treatment_gate,blocking_reason
train,5116,5116,1.0,True,False,diagnostic_only,pass,
robustness,2638,2635,0.9988627748294162,True,False,diagnostic_only,pass,
validation,2901,2901,1.0,True,False,diagnostic_only,pass,
