family_id,family_source,status,counts_toward_N_family_cap,N_family_cap,blocking_reason,N_supported_primary_family,family_level_multiplicity_gate
EP04_high_recall_repair_event_candidate_generator,existing_source,candidate_source_optional_until_adapter_selected,False,10,,6,pass
EP07_topn_multichannel_recommended_union,existing_source,supported_primary_family,True,10,,6,pass
EP13_full_pit_native_event_discovery,existing_source,candidate_source_optional_until_adapter_selected,False,10,,6,pass
EP14_full_native_sparse_state_change_event_utility_preflight,existing_source,candidate_source_optional_until_adapter_selected,False,10,,6,pass
B1_near_120d_high_plus_volume_expansion,simple_rule_grid,supported_primary_family,True,10,,6,pass
B2_relative_strength_breakout,simple_rule_grid,supported_primary_family,True,10,,6,pass
B3_industry_or_theme_breadth_expansion,simple_rule_grid,unsupported_primary_feature,False,10,unsupported_without_genuine_pit_industry_source,6,pass
B4_volatility_contraction_then_breakout,simple_rule_grid,supported_primary_family,True,10,,6,pass
B5_recent_high_close_plus_amount_expansion,simple_rule_grid,supported_primary_family,True,10,,6,pass
B6_low_drawdown_reclaim_or_ema_reclaim,simple_rule_grid,supported_primary_family,True,10,,6,pass
