split,raw_trigger_rows,canonical_event_rows,cooldown_entry_rows,fill_feasible_candidate_rows,primary_enrichment_denominator_rows,instrument_n,decision_month_n,instrument_month_n,candidate_density_gate,blocking_reason
train,7328,7328,5254,5116,5116,803,48,4889,pass,
robustness,3687,3687,2640,2638,2635,551,23,2544,pass,
validation,4146,4146,2902,2901,2901,602,24,2796,pass,
