baseline_family,split,same_budget_denominator,same_budget_row_count,primary_baseline_pass_rule,baseline_budget_gate,blocking_reason
calendar_time_random_same_budget,train,primary_enrichment_denominator,5116,conjunctive_pass_across_all_three_baselines,pass,
calendar_time_random_same_budget,robustness,primary_enrichment_denominator,2635,conjunctive_pass_across_all_three_baselines,pass,
calendar_time_random_same_budget,validation,primary_enrichment_denominator,2901,conjunctive_pass_across_all_three_baselines,pass,
instrument_matched_random_same_budget,train,primary_enrichment_denominator,5116,conjunctive_pass_across_all_three_baselines,pass,
instrument_matched_random_same_budget,robustness,primary_enrichment_denominator,2635,conjunctive_pass_across_all_three_baselines,pass,
instrument_matched_random_same_budget,validation,primary_enrichment_denominator,2901,conjunctive_pass_across_all_three_baselines,pass,
liquidity_size_volatility_matched_same_budget,train,primary_enrichment_denominator,5116,conjunctive_pass_across_all_three_baselines,pass,
liquidity_size_volatility_matched_same_budget,robustness,primary_enrichment_denominator,2635,conjunctive_pass_across_all_three_baselines,pass,
liquidity_size_volatility_matched_same_budget,validation,primary_enrichment_denominator,2901,conjunctive_pass_across_all_three_baselines,pass,
