split,cooldown_entry_n,entry_open_price_available_n,entry_suspended_proxy_source,entry_suspended_flag_n,entry_limit_up_blocked_n,entry_limit_status_source,entry_limit_status_unknown_n,entry_day_amount_cny_available,entry_amount_available_n,entry_amount_source,entry_liquidity_primary_pass_n,fill_feasible_n,fill_feasible_rate,impact_cost_proxy_bps_p95,fill_feasibility_gate,blocking_reason
train,5254,5254,non_executable_next_open_composite_adapter,0,6,limit_threshold_status_and_non_executable_next_open,0,False,5254,liquidity_money_20d_asof_decision_proxy,5122,5116,0.9737342976779596,365.32613943916897,pass,
robustness,2640,2640,non_executable_next_open_composite_adapter,0,2,limit_threshold_status_and_non_executable_next_open,0,False,2640,liquidity_money_20d_asof_decision_proxy,2640,2638,0.9992424242424243,109.9590589666935,pass,
validation,2902,2902,non_executable_next_open_composite_adapter,0,1,limit_threshold_status_and_non_executable_next_open,0,False,2902,liquidity_money_20d_asof_decision_proxy,2902,2901,0.9996554100620262,141.64533349489048,pass,
