candidate_family_id,planned_priority,evidence_adjusted_priority,priority_reason,candidate_feature_n,primary_allowed_candidate_n,orthogonal_payoff_candidate_n,delayed_appendix_candidate_n,dedup_group_n,dedup_group_representative_candidate_ids,raw_candidate_priority_score,candidate_priority_score,priority_score_method,priority_source,recommended_for_refresh,recommendation_role,blocking_reason
M1,high,recommended,train_prior_orthogonal_candidate_found,11,11,8,0,10,m1_close_location_episode_range|m1_close_location_trailing60_range|m1_episode_drawdown_pre_t0|m1_failed_repair_count_low_to_t0|m1_path_transition_entropy_episode|m1_pullback_from_episode_high_t0|m1_repair_path_efficiency_episode|m1_up_down_run_imbalance_20,0.4017513534959632,0.3433342146295284,dedup_representative_abs_train_residual_ic,lineage_then_train_prior_only,True,primary_refresh_candidate,
M3,high,recommended,train_prior_orthogonal_candidate_found,8,8,5,0,7,m3_asymmetric_range_position_t0|m3_failed_breakout_count_pre_t0|m3_upper_shadow_pressure_share_20|m3_upside_downside_room_ratio_t0|m3_upside_room_to_episode_high,0.22306278740206487,0.19616163309908063,dedup_representative_abs_train_residual_ic,lineage_then_train_prior_only,True,primary_refresh_candidate,
M5,high_medium,recommended,train_prior_orthogonal_candidate_found,9,7,6,2,9,m5_bars_since_episode_high_t0|m5_bars_since_episode_low|m5_episode_age_to_t0|m5_high_to_t0_age_ratio|m5_low_to_t0_age_ratio|m5_nonoverlap_step_index_to_t0,0.26020754867096096,0.2237956347000105,dedup_representative_abs_train_residual_ic,lineage_then_train_prior_only,True,primary_refresh_candidate,
M2,medium,recommended,train_prior_orthogonal_candidate_found,12,12,7,0,12,m2_flow_concentration_top3_share_20|m2_flow_price_divergence_persistence_20|m2_money_flow_persistence_trailing20|m2_money_flow_reversal_accel_5v20|m2_net_signed_money_flow_trailing20|m2_positive_money_flow_share_trailing20|m2_turnover_compression_20_vs_60,0.19475026544765653,0.1646022878401723,dedup_representative_abs_train_residual_ic,lineage_then_train_prior_only,True,primary_refresh_candidate,
M4,low,deferred,no_train_prior_orthogonal_candidate_or_deferred,1,0,0,1,1,,0.0,0.0,dedup_representative_abs_train_residual_ic,lineage_then_train_prior_only,False,appendix_or_deferred,no_orthogonal_train_prior_or_deferred
