model_id,model_family,source_feature_set,split_bucket,rank_ic_spearman,cv_mean_rank_ic_spearman,cv_weighted_mean_rank_ic_spearman,cv_rank_ic_delta_vs_primary,rank_ic_materiality_floor,delta_vs_primary_ridge,delta_vs_volatility20d_baseline,capacity_delta_threshold,max_aux_margin_to_floor,max_aux_margin_to_capacity_delta_threshold,capacity_threshold_sensitivity_threshold,capacity_threshold_sensitivity_status,capacity_margin_status,capacity_conclusion_scope,medium_capacity_probe_caveat,capacity_bottleneck_flag,representation_bottleneck_flag,cv_fold_n,cv_fold_seed,cv_aggregation_method,primary_cv_rank_ic,readout_status
ridge_payoff_rank_h20_v1,18c_replayed_model,current_18B_23_features,train,0.1312143400204508,0.013675348200489481,,,0.08,,,0.015,0.003208312283773107,0.0026062081504489992,0.010000|0.015000|0.020000,thin_at_0.010,thin_margin_caveat,low_capacity_representation_gap_with_capacity_caveat,False,False,True,5,1818,unweighted_mean_across_pass_folds,0.013675348200489528,replayed_18c_oos
ridge_payoff_rank_h20_v1,18c_replayed_model,current_18B_23_features,robustness,0.0643978958666759,0.013675348200489481,,,0.08,0.0,,0.015,0.003208312283773107,0.0026062081504489992,0.010000|0.015000|0.020000,thin_at_0.010,thin_margin_caveat,low_capacity_representation_gap_with_capacity_caveat,False,False,True,5,1818,unweighted_mean_across_pass_folds,0.013675348200489528,replayed_18c_oos
ridge_payoff_rank_h20_v1,18c_replayed_model,current_18B_23_features,validation,0.0637682993871676,0.013675348200489481,,,0.08,,,0.015,0.003208312283773107,0.0026062081504489992,0.010000|0.015000|0.020000,thin_at_0.010,thin_margin_caveat,low_capacity_representation_gap_with_capacity_caveat,False,False,True,5,1818,unweighted_mean_across_pass_folds,0.013675348200489528,replayed_18c_oos
elastic_net_payoff_rank_h20_v1,18c_replayed_model,current_18B_23_features,train,0.1315691197007621,0.01307340167821432,,,0.08,,,0.015,0.003208312283773107,0.0026062081504489992,0.010000|0.015000|0.020000,thin_at_0.010,thin_margin_caveat,low_capacity_representation_gap_with_capacity_caveat,False,False,True,5,1818,unweighted_mean_across_pass_folds,0.013675348200489528,replayed_18c_oos
elastic_net_payoff_rank_h20_v1,18c_replayed_model,current_18B_23_features,robustness,0.0633102541409457,0.01307340167821432,,,0.08,-0.0010876417257301985,,0.015,0.003208312283773107,0.0026062081504489992,0.010000|0.015000|0.020000,thin_at_0.010,thin_margin_caveat,low_capacity_representation_gap_with_capacity_caveat,False,False,True,5,1818,unweighted_mean_across_pass_folds,0.013675348200489528,replayed_18c_oos
elastic_net_payoff_rank_h20_v1,18c_replayed_model,current_18B_23_features,validation,0.0792506149295427,0.01307340167821432,,,0.08,,,0.015,0.003208312283773107,0.0026062081504489992,0.010000|0.015000|0.020000,thin_at_0.010,thin_margin_caveat,low_capacity_representation_gap_with_capacity_caveat,False,False,True,5,1818,unweighted_mean_across_pass_folds,0.013675348200489528,replayed_18c_oos
ridge_ordinal_payoff_state_v1,18c_replayed_model,current_18B_23_features,train,0.0595221252672245,0.0070185733072453595,,,0.08,,,0.015,0.003208312283773107,0.0026062081504489992,0.010000|0.015000|0.020000,thin_at_0.010,thin_margin_caveat,low_capacity_representation_gap_with_capacity_caveat,False,False,True,5,1818,unweighted_mean_across_pass_folds,0.013675348200489528,replayed_18c_oos
ridge_ordinal_payoff_state_v1,18c_replayed_model,current_18B_23_features,robustness,-0.0159114192712978,0.0070185733072453595,,,0.08,-0.0803093151379737,,0.015,0.003208312283773107,0.0026062081504489992,0.010000|0.015000|0.020000,thin_at_0.010,thin_margin_caveat,low_capacity_representation_gap_with_capacity_caveat,False,False,True,5,1818,unweighted_mean_across_pass_folds,0.013675348200489528,replayed_18c_oos
ridge_ordinal_payoff_state_v1,18c_replayed_model,current_18B_23_features,validation,0.0250157306842502,0.0070185733072453595,,,0.08,,,0.015,0.003208312283773107,0.0026062081504489992,0.010000|0.015000|0.020000,thin_at_0.010,thin_margin_caveat,low_capacity_representation_gap_with_capacity_caveat,False,False,True,5,1818,unweighted_mean_across_pass_folds,0.013675348200489528,replayed_18c_oos
shallow_tree_payoff_depth2_v1,18c_replayed_model,current_18B_23_features,train,0.1084223340979376,0.010812109621716023,,,0.08,,,0.015,0.003208312283773107,0.0026062081504489992,0.010000|0.015000|0.020000,thin_at_0.010,thin_margin_caveat,low_capacity_representation_gap_with_capacity_caveat,False,False,True,5,1818,unweighted_mean_across_pass_folds,0.013675348200489528,replayed_18c_oos
