candidate_family_id,candidate_feature_id,proxy_type,split_bucket,row_n,source_window_id,formula_params_id,raw_candidate_rank_ic,residual_candidate_rank_ic,residual_retention,residualization_covariates,residual_rank_ic_same_sign_as_raw,orthogonal_payoff_candidate,target_evidence_role,missingness_rate,drift_status,diagnostic_status
M1,m1_return_sign_entropy_trailing20,path_or_pressure_proxy,train,20245,pre_t0,config_18d_default,0.014654759873487352,0.002873750927162608,0.1960967598221553,mr_volatility_20d|mr_volume_20d_zscore,True,False,train_priority_prior,0.03220548283526792,not_evaluated,pass
M1,m1_return_sign_entropy_trailing20,path_or_pressure_proxy,robustness,2496,pre_t0,config_18d_default,0.013610643393518987,-0.010794288600448657,-0.7930770271733517,mr_volatility_20d|mr_volume_20d_zscore,False,False,robustness_diagnostic_only,0.08173076923076927,diagnostic_only,pass
M1,m1_return_sign_entropy_trailing20,path_or_pressure_proxy,validation,664,pre_t0,config_18d_default,0.035955093108517945,0.05772263195190103,1.6054090522776658,mr_volatility_20d|mr_volume_20d_zscore,True,False,validation_diagnostic_only,0.06174698795180722,diagnostic_only,pass
M1,m1_path_transition_entropy_episode,path_or_pressure_proxy,train,20245,pre_t0,config_18d_default,0.039028387854551295,0.020017149726501277,0.5128869222346569,mr_volatility_20d|mr_volume_20d_zscore,True,True,train_priority_prior,0.08342800691528773,not_evaluated,pass
M1,m1_path_transition_entropy_episode,path_or_pressure_proxy,robustness,2496,pre_t0,config_18d_default,0.03495610604334548,0.014680179351822496,0.4199603735501635,mr_volatility_20d|mr_volume_20d_zscore,True,False,robustness_diagnostic_only,0.1610576923076923,diagnostic_only,pass
M1,m1_path_transition_entropy_episode,path_or_pressure_proxy,validation,664,pre_t0,config_18d_default,0.08113605153026589,0.08740227939547665,1.0772311167110873,mr_volatility_20d|mr_volume_20d_zscore,True,False,validation_diagnostic_only,0.1581325301204819,diagnostic_only,pass
M1,m1_repair_path_efficiency_episode,path_or_pressure_proxy,train,20245,pre_t0,config_18d_default,-0.021805168687014823,-0.012966753960706292,0.5946642352016341,mr_volatility_20d|mr_volume_20d_zscore,True,True,train_priority_prior,0.05463077303037789,not_evaluated,pass
M1,m1_repair_path_efficiency_episode,path_or_pressure_proxy,robustness,2496,pre_t0,config_18d_default,-0.053368125685456826,-0.04667181211099727,0.8745259742879756,mr_volatility_20d|mr_volume_20d_zscore,True,False,robustness_diagnostic_only,0.11177884615384615,diagnostic_only,pass
M1,m1_repair_path_efficiency_episode,path_or_pressure_proxy,validation,664,pre_t0,config_18d_default,-0.004343440722559823,-0.0419967272691694,9.668999751979687,mr_volatility_20d|mr_volume_20d_zscore,True,False,validation_diagnostic_only,0.10391566265060237,diagnostic_only,pass
M1,m1_close_location_episode_range,path_or_pressure_proxy,train,20245,pre_t0,config_18d_default,-0.05557172451725972,-0.05123610488691493,0.9219815532447942,mr_volatility_20d|mr_volume_20d_zscore,True,True,train_priority_prior,0.03220548283526792,not_evaluated,pass
