factor_id,local_formula_id,signal_period,signal_month_end,holding_period,holding_month_end,split,factor_month_status,eligible_instrument_count,high_quintile_count,low_quintile_count,high_mean_return,low_mean_return,factor_gross_return,factor_buy_turnover,factor_sell_turnover,factor_after_cost_return,high_instruments,low_instruments
SIZE,local_SIZE_market_cap_high_minus_low_v0,2017-07,2017-07-31,2017-08,2017-08-31,train,complete,140,28,28,0.019956454809643448,0.011446524946514975,0.008509929863128474,0.9999999999999997,0.9999999999999997,-0.0024900701368715215,SZ002352;SH600030;SZ000858;SZ000651;SZ000002;SH601800;SZ000333;SZ002415;SH601766;SH601668;SH601601;SH600016;SH601998;SH600900;SH600104;SH601166;SH600000;SH601328;SH600519;SH600036;SH600028;SH601628;SH601318;SH601988;SH601288;SH601857;SH601939;SH601398,SZ000768;SH600233;SZ002456;SH600068;SZ000783;SH600705;SZ002673;SH601808;SH600926;SH600383;SH601377;SH600390;SH600297;SH600221;SH600637;SH600886;SZ000338;SH601888;SH600893;SZ000413;SZ000039;SZ000938;SH600660;SH600061;SZ000709;SH600547;SH601991;SZ002241
ILL,local_ILL_amihud_21d_v0,2017-07,2017-07-31,2017-08,2017-08-31,train,complete,139,27,28,0.024506354559663546,0.032207100518024764,-0.007700745958361215,0.9999999999999993,0.9999999999999997,-0.018700745958361208,SH600705;SH601607;SZ002352;SH601881;SZ002304;SH600018;SH601727;SZ002736;SH600383;SH601901;SZ000783;SH600061;SH601888;SH600011;SH600637;SH600188;SH601898;SH601991;SZ000938;SH600297;SH600663;SZ002558;SH603288;SH601808;SH600233;SH600390;SZ000617,SH601318;SH601166;SH600030;SZ000651;SH601668;SZ000725;SH600519;SZ002230;SH601988;SH601288;SH600016;SZ000001;SH601328;SH601766;SH601398;SH600028;SH600887;SH601818;SZ000776;SZ002415;SH601211;SZ000858;SH600309;SZ002466;SH600036;SH600585;SH601939;SH600000
TURN,local_TURN_share_turnover_21d_v0,2017-07,2017-07-31,2017-08,2017-08-31,train,complete,139,27,28,0.029782578417508563,0.011332925233990734,0.018449653183517836,0.9999999999999993,0.9999999999999997,0.007449653183517842,SH600887;SH601668;SH600030;SH601992;SZ000001;SZ002236;SH601377;SZ000338;SH600031;SZ000725;SH600816;SZ000651;SH600547;SZ002673;SZ002456;SH601225;SH601600;SZ000063;SH603993;SH600309;SH600068;SH600362;SZ000413;SZ000709;SZ002466;SH600111;SZ002230,SH601857;SH601939;SH601398;SZ000617;SH601288;SZ002352;SH601988;SH600900;SH600028;SH601628;SH600233;SH603288;SZ002558;SH600663;SH600011;SH601238;SH600023;SH601808;SH600018;SZ002594;SH601998;SH601328;SH601766;SH601390;SH601800;SH601991;SZ000166;SZ002304
BAB,local_BAB_beta_sort_252d_v0,2017-07,2017-07-31,2017-08,2017-08-31,train,complete,132,26,27,0.01284216902926235,0.00849552439560747,0.004346644633654885,0.9999999999999996,0.9999999999999993,-0.0066533553663451084,SH600031;SZ002736;SZ002230;SZ002241;SH603993;SH601933;SZ002466;SH600309;SZ000651;SH600362;SH600606;SZ002673;SZ000063;SZ000568;SZ000069;SH600383;SH601225;SZ001979;SZ000783;SH601992;SZ000858;SH600068;SZ000709;SZ002236;SH600340;SZ000333,SZ002558;SH601398;SH601288;SH601988;SH601238;SH600900;SH601857;SH600018;SZ002027;SH601328;SH601939;SH600518;SH600276;SH600886;SH600023;SH600663;SH601888;SH600011;SH600028;SH601899;SH601018;SH601006;SH601818;SH601991;SH601985;SH601808;SH600196
SIZE,local_SIZE_market_cap_high_minus_low_v0,2017-08,2017-08-31,2017-09,2017-09-29,train,complete,146,29,30,4.263213655607901e-05,0.013194847328738912,-0.013152215192182832,0.30114942528735617,0.30114942528735655,-0.016464858870343754,SH601390;SZ000858;SH600030;SZ002352;SZ000651;SZ000002;SH601800;SZ000333;SH601766;SZ002415;SH601668;SH600016;SH601998;SH600900;SH601601;SH600104;SH600000;SH601166;SH601328;SH600519;SH600036;SH600028;SH601628;SH601318;SH601288;SH601988;SH601857;SH601939;SH601398,SH600390;SZ000413;SH600377;SH600886;SH600515;SZ000709;SZ000768;SH600233;SH601198;SH600383;SZ000898;SZ002120;SH601808;SH600926;SH600705;SH600221;SZ002460;SZ000783;SH600637;SH600297;SZ000039;SZ002673;SH600893;SH601377;SZ000338;SH600660;SZ002456;SH600516;SH601888;SH600816
ILL,local_ILL_amihud_21d_v0,2017-08,2017-08-31,2017-09,2017-09-29,train,complete,144,28,29,-0.004019621043389174,0.016331264015141553,-0.02035088505853073,0.561576354679803,0.5615763546798032,-0.026528224960008565,SH600893;SZ002736;SZ000069;SH600705;SZ000898;SH601901;SH600188;SH600009;SZ000938;SH601727;SH600383;SH601198;SH601898;SH600011;SH600637;SH600018;SZ002558;SH600663;SH600297;SH601991;SH601808;SH600233;SH603288;SH600377;SH600390;SH600515;SZ002120;SZ000617,SH601318;SH601668;SZ002230;SZ000651;SH600516;SH600519;SH600030;SH601166;SH600016;SH600111;SZ000725;SH600309;SH600028;SZ000858;SH601398;SH600887;SH601288;SH601988;SH600000;SH601939;SZ000063;SH600340;SZ000001;SH600036;SH601328;SZ000002;SZ002460;SH600104;SH600919
TURN,local_TURN_share_turnover_21d_v0,2017-08,2017-08-31,2017-09,2017-09-29,train,complete,145,29,29,0.0055998530706383035,0.013261294709843833,-0.007661441639205522,0.48275862068965547,0.482758620689655,-0.01297178646679173,SZ000725;SH600340;SH600030;SH601688;SH601899;SZ002236;SH600887;SH600958;SZ000768;SH600031;SZ002241;SH603993;SZ000063;SH601377;SH601225;SZ000898;SH600547;SZ002456;SH600309;SH601992;SH600362;SZ000413;SZ002673;SZ002466;SZ000709;SZ002460;SH600111;SZ002230;SH600516,SH601857;SZ000617;SH601939;SH601398;SH600018;SH601288;SH601988;SH601628;SZ002352;SH600028;SH600377;SH600900;SZ002120;SH601998;SH600011;SH601238;SH603288;SH600515;SZ002558;SH600023;SH601229;SH601390;SH600663;SZ002594;SH601766;SH601808;SH601328;SH601800;SH601727
BAB,local_BAB_beta_sort_252d_v0,2017-08,2017-08-31,2017-09,2017-09-29,train,complete,142,28,29,-0.004256863443512536,0.006413204598569663,-0.0106700680420822,0.3879310344827583,0.38793103448275856,-0.014937309421392542,SZ000776;SZ002460;SH600188;SZ002230;SH600031;SZ000063;SH601688;SZ001979;SZ000568;SH600309;SH603993;SH600606;SZ000898;SZ000069;SH601225;SH600362;SH600383;SZ002673;SZ002236;SZ000858;SH601992;SH600516;SH600340;SZ002466;SZ000783;SZ000709;SH601881;SZ000333,SZ002558;SH601398;SH600547;SH601288;SH600018;SH601238;SH600900;SH601988;SH600518;SH600276;SZ002027;SH600663;SH601939;SH601857;SH600886;SH601328;SZ002120;SH600023;SH601006;SH601018;SH600377;SH600028;SH600011;SH601888;SH601899;SH601818;SH600196;SH601985;SH600009
SIZE,local_SIZE_market_cap_high_minus_low_v0,2017-09,2017-09-29,2017-10,2017-10-31,train,complete,151,30,31,0.06556248067436513,-0.0038322451366379854,0.0693947258110031,0.35591397849462364,0.3559139784946238,0.06547967204756225,SH601390;SZ000858;SH600030;SZ000651;SZ002352;SH601800;SH601668;SH601766;SZ000333;SZ000002;SH600016;SZ002415;SH601998;SH600900;SH601601;SH600104;SH601166;SH600000;SH601088;SH601328;SH600036;SH600519;SH600028;SH601628;SH601318;SH601988;SH601288;SH601857;SH601939;SH601398,SH601198;SH600926;SH600390;SH600383;SH600705;SZ000792;SZ000768;SZ000783;SZ000039;SH601808;SH603799;SH600066;SZ002673;SH600221;SH600516;SZ000413;SZ002120;SH600515;SZ002310;SH601377;SZ002456;SH600816;SH600547;SH600031;SH600111;SH601012;SZ000338;SH601991;SH600061;SH600297;SH600233
ILL,local_ILL_amihud_21d_v0,2017-09,2017-09-29,2017-10,2017-10-31,train,complete,149,29,30,0.026258708744383682,0.03683271795189268,-0.010574009207509002,0.6103448275862067,0.6103448275862069,-0.01728780231095728,SH601198;SH601901;SH601018;SZ002352;SH600893;SH600926;SH601888;SH600383;SH600816;SH601919;SZ000039;SH600688;SH600018;SZ000938;SH600009;SH600023;SH600011;SH600188;SH601898;SH600297;SZ002558;SH600663;SH603288;SH600233;SH601808;SH601991;SH600515;SZ002120;SZ000617,SH600030;SH601318;SZ000651;SH601166;SH601668;SH600050;SH600519;SZ002230;SZ000725;SH601688;SH600016;SH600516;SH601398;SH600028;SZ000858;SH600036;SH600837;SZ002450;SH601766;SH600000;SZ002460;SZ000776;SZ002466;SZ000413;SH600309;SZ000063;SH600015;SH600111;SH601328;SH601288
