model_task,training_label_window_end_date_rule,metric_label_window_end_date_max_rule,audit_pass
industry_launch_winner_score_lgbm,"trading_day_offset(stratum_effective_date,119)",horizon_end_date_240d,True
industry_failure_reject_score_lgbm,decision_horizon_end_date_60d,decision_horizon_end_date_240d,True
