target_industry,model_task,fold_id,row_count,feature_asof_leakage_violation_count,feature_asof_not_equal_signal_count,feature_asof_leakage_audit_pass
汽车,industry_launch_winner_score_lgbm,fold_2020,1877,0,0,True
汽车,industry_launch_winner_score_lgbm,fold_2021,1877,0,0,True
汽车,industry_launch_winner_score_lgbm,fold_2022,1877,0,0,True
汽车,industry_launch_winner_score_lgbm,fold_2023,1877,0,0,True
汽车,industry_launch_winner_score_lgbm,fold_2024,1877,0,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2020,1934,0,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2021,1934,0,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2022,1934,0,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2023,1934,0,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2024,1934,0,0,True
电子,industry_launch_winner_score_lgbm,fold_2020,2972,0,0,True
电子,industry_launch_winner_score_lgbm,fold_2021,2972,0,0,True
电子,industry_launch_winner_score_lgbm,fold_2022,2972,0,0,True
电子,industry_launch_winner_score_lgbm,fold_2023,2972,0,0,True
电子,industry_launch_winner_score_lgbm,fold_2024,2972,0,0,True
汽车,industry_failure_reject_score_lgbm,fold_2020,5597,0,0,True
汽车,industry_failure_reject_score_lgbm,fold_2021,5597,0,0,True
汽车,industry_failure_reject_score_lgbm,fold_2022,5597,0,0,True
汽车,industry_failure_reject_score_lgbm,fold_2023,5597,0,0,True
汽车,industry_failure_reject_score_lgbm,fold_2024,5597,0,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2020,5834,0,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2021,5834,0,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2022,5834,0,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,5834,0,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,5834,0,0,True
电子,industry_failure_reject_score_lgbm,fold_2020,8884,0,0,True
电子,industry_failure_reject_score_lgbm,fold_2021,8884,0,0,True
电子,industry_failure_reject_score_lgbm,fold_2022,8884,0,0,True
电子,industry_failure_reject_score_lgbm,fold_2023,8884,0,0,True
电子,industry_failure_reject_score_lgbm,fold_2024,8884,0,0,True
