target_industry,model_task,fold_id,feature_count_in_allowlist,rows_with_all_required_features,feature_availability_rate,feature_availability_train_only_policy,validation_based_feature_drop_enabled
汽车,industry_launch_winner_score_lgbm,fold_2020,7,1848,0.9845498135322323,True,False
汽车,industry_launch_winner_score_lgbm,fold_2021,7,1848,0.9845498135322323,True,False
汽车,industry_launch_winner_score_lgbm,fold_2022,7,1848,0.9845498135322323,True,False
汽车,industry_launch_winner_score_lgbm,fold_2023,7,1848,0.9845498135322323,True,False
汽车,industry_launch_winner_score_lgbm,fold_2024,7,1848,0.9845498135322323,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2020,7,1881,0.9725956566701137,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2021,7,1881,0.9725956566701137,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2022,7,1881,0.9725956566701137,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2023,7,1881,0.9725956566701137,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2024,7,1881,0.9725956566701137,True,False
电子,industry_launch_winner_score_lgbm,fold_2020,7,2802,0.9427994616419919,True,False
电子,industry_launch_winner_score_lgbm,fold_2021,7,2802,0.9427994616419919,True,False
电子,industry_launch_winner_score_lgbm,fold_2022,7,2802,0.9427994616419919,True,False
电子,industry_launch_winner_score_lgbm,fold_2023,7,2802,0.9427994616419919,True,False
电子,industry_launch_winner_score_lgbm,fold_2024,7,2802,0.9427994616419919,True,False
汽车,industry_failure_reject_score_lgbm,fold_2020,16,5497,0.9821332856887618,True,False
汽车,industry_failure_reject_score_lgbm,fold_2021,16,5497,0.9821332856887618,True,False
汽车,industry_failure_reject_score_lgbm,fold_2022,16,5497,0.9821332856887618,True,False
汽车,industry_failure_reject_score_lgbm,fold_2023,16,5497,0.9821332856887618,True,False
汽车,industry_failure_reject_score_lgbm,fold_2024,16,5497,0.9821332856887618,True,False
电力设备,industry_failure_reject_score_lgbm,fold_2020,16,5666,0.9712032910524512,True,False
电力设备,industry_failure_reject_score_lgbm,fold_2021,16,5666,0.9712032910524512,True,False
电力设备,industry_failure_reject_score_lgbm,fold_2022,16,5666,0.9712032910524512,True,False
电力设备,industry_failure_reject_score_lgbm,fold_2023,16,5666,0.9712032910524512,True,False
电力设备,industry_failure_reject_score_lgbm,fold_2024,16,5666,0.9712032910524512,True,False
电子,industry_failure_reject_score_lgbm,fold_2020,16,8394,0.9448446645655111,True,False
电子,industry_failure_reject_score_lgbm,fold_2021,16,8394,0.9448446645655111,True,False
电子,industry_failure_reject_score_lgbm,fold_2022,16,8394,0.9448446645655111,True,False
电子,industry_failure_reject_score_lgbm,fold_2023,16,8394,0.9448446645655111,True,False
电子,industry_failure_reject_score_lgbm,fold_2024,16,8394,0.9448446645655111,True,False
