target_industry,model_task,fold_id,contract_id,score_bucket,selected_event_count,selected_positive_count,selected_positive_rate,diagnostic_only,candidate_for_industry_p1_refine,validated_score_bucket
电子,industry_launch_winner_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,top_10pct,14,4,0.2857142857142857,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,top_5pct,0,0,,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,top_2pct,0,0,,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,top_10pct,44,1,0.022727272727272728,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,top_5pct,20,0,0.0,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,top_2pct,10,0,0.0,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,top_10pct,44,1,0.022727272727272728,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,top_5pct,20,0,0.0,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,top_2pct,10,0,0.0,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,top_10pct,49,2,0.04081632653061224,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,top_5pct,15,0,0.0,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,top_2pct,0,0,,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,top_10pct,49,2,0.04081632653061224,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,top_5pct,15,0,0.0,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,top_2pct,0,0,,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,top_10pct,2,0,0.0,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,top_5pct,0,0,,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,top_2pct,0,0,,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2023,T2_pooled_inner_validation,top_10pct,11,2,0.18181818181818182,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2023,T2_pooled_inner_validation,top_5pct,11,2,0.18181818181818182,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2023,T2_pooled_inner_validation,top_2pct,11,2,0.18181818181818182,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,top_10pct,11,2,0.18181818181818182,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,top_5pct,11,2,0.18181818181818182,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,top_2pct,11,2,0.18181818181818182,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,top_10pct,2,0,0.0,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,top_5pct,0,0,,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,top_2pct,0,0,,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,top_10pct,11,3,0.2727272727272727,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,top_5pct,3,2,0.6666666666666666,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,top_2pct,2,2,1.0,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,top_10pct,26,5,0.19230769230769232,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,top_5pct,8,4,0.5,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,top_2pct,2,0,0.0,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2024,T2_pooled_inner_validation,top_10pct,93,23,0.24731182795698925,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2024,T2_pooled_inner_validation,top_5pct,49,12,0.24489795918367346,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2024,T2_pooled_inner_validation,top_2pct,49,12,0.24489795918367346,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,top_10pct,93,23,0.24731182795698925,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,top_5pct,49,12,0.24489795918367346,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,top_2pct,49,12,0.24489795918367346,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,top_10pct,26,5,0.19230769230769232,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,top_5pct,8,4,0.5,True,False,False
电子,industry_launch_winner_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,top_2pct,2,0,0.0,True,False,False
汽车,industry_launch_winner_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,top_10pct,10,1,0.1,True,False,False
