target_industry,model_task,fold_id,fold_role,contract_id,validation_event_count,validation_positive_count,auc,binary_logloss,brier_score,best_iteration,sanity_diagnostic_only,used_for_contract_selection
电子,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,356,95,0.40024198427102237,0.7231747954855154,0.236800032301245,64,True,False
电子,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T1_fixed_rounds_no_inner_validation,443,53,0.28359941944847605,0.7742077467100995,0.2843585200842565,64,True,False
电子,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,443,53,0.28359941944847605,0.7742077467100995,0.2843585200842565,64,True,False
电子,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T1_fixed_rounds_no_inner_validation,380,10,0.5664864864864865,0.6484231847583082,0.234912911107161,64,True,False
电子,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,380,10,0.5664864864864865,0.6484231847583082,0.234912911107161,64,True,False
电子,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T1_fixed_rounds_no_inner_validation,389,31,0.710127950982159,0.3486893198552222,0.09857045338075822,64,True,False
电子,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T2_pooled_inner_validation,389,31,0.5277978014056587,0.542345751224092,0.175812820650475,1,True,False
电子,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T3_grouped_temporal_inner_validation,389,31,0.5277978014056587,0.542345751224092,0.175812820650475,1,True,False
电子,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,389,31,0.710127950982159,0.3486893198552222,0.09857045338075822,64,True,False
电子,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T0_strict_p0_9_reproduction,455,158,0.43474832715339046,0.7296346746877139,0.2495631656626663,40,True,False
电子,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T1_fixed_rounds_no_inner_validation,455,158,0.4623449686740826,0.7648884050732231,0.2560576559813952,64,True,False
电子,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T2_pooled_inner_validation,455,158,0.5007671653241274,0.6408698825990972,0.2241790620976371,1,True,False
电子,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T3_grouped_temporal_inner_validation,455,158,0.5007671653241274,0.6408698825990972,0.2241790620976371,1,True,False
电子,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T4_diagnostic_minimal_instrument_gate,455,158,0.4623449686740826,0.7648884050732231,0.2560576559813952,64,True,False
汽车,industry_launch_winner_score_lgbm,fold_2020,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,220,110,0.4784710743801653,1.6561047634085193,0.37181797063961874,64,True,False
汽车,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T1_fixed_rounds_no_inner_validation,232,44,0.6726305609284333,0.4553124112849528,0.1407553210368095,64,True,False
汽车,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,232,44,0.6726305609284333,0.4553124112849528,0.1407553210368095,64,True,False
汽车,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T1_fixed_rounds_no_inner_validation,213,40,0.6862716763005781,0.5361314161745476,0.18647704311464297,64,True,False
汽车,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,213,40,0.6862716763005781,0.5361314161745476,0.18647704311464297,64,True,False
汽车,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T1_fixed_rounds_no_inner_validation,256,30,0.8454277286135693,0.3160810292557551,0.10300971280409581,64,True,False
汽车,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T2_pooled_inner_validation,256,30,0.8099557522123894,0.30388311381381033,0.08795804443651123,15,True,False
汽车,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T3_grouped_temporal_inner_validation,256,30,0.8099557522123894,0.30388311381381033,0.08795804443651123,15,True,False
汽车,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,256,30,0.8454277286135693,0.3160810292557551,0.10300971280409581,64,True,False
汽车,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T1_fixed_rounds_no_inner_validation,313,43,0.37717484926787254,0.5580199619594617,0.16652550313394782,64,True,False
汽车,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T2_pooled_inner_validation,313,43,0.5530146425495263,0.43023061209691404,0.13131275591243602,11,True,False
汽车,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T3_grouped_temporal_inner_validation,313,43,0.5530146425495263,0.43023061209691404,0.13131275591243602,11,True,False
汽车,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T4_diagnostic_minimal_instrument_gate,313,43,0.37717484926787254,0.5580199619594617,0.16652550313394782,64,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2021,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,230,118,0.43227905569007263,1.2775581777214455,0.3715244215616159,64,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T1_fixed_rounds_no_inner_validation,397,31,0.28406486867618547,0.4598703703103943,0.14733272737129516,64,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2022,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,397,31,0.28406486867618547,0.4598703703103943,0.14733272737129516,64,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T1_fixed_rounds_no_inner_validation,330,18,0.47364672364672367,0.18144820371579504,0.04330826094202996,64,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2023,core_trainability_probe,T4_diagnostic_minimal_instrument_gate,330,18,0.47364672364672367,0.18144820371579504,0.04330826094202996,64,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T1_fixed_rounds_no_inner_validation,215,43,0.41806381828015143,0.5382745534392949,0.15235645799228184,64,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T2_pooled_inner_validation,215,43,0.45274472687939427,0.42192301979616137,0.12389412434787012,1,True,False
电力设备,industry_launch_winner_score_lgbm,fold_2024,robustness_trainability_audit_only,T3_grouped_temporal_inner_validation,215,43,0.45274472687939427,0.42192301979616137,0.12389412434787012,1,True,False
