target_industry,model_task,contract_id,lgbm_config_hash,feature_set_version,label_version,sample_panel_version,random_seed,training_code_version
电子,industry_launch_winner_score_lgbm,T0_strict_p0_9_reproduction,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
电子,industry_launch_winner_score_lgbm,T1_fixed_rounds_no_inner_validation,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
电子,industry_launch_winner_score_lgbm,T2_pooled_inner_validation,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
电子,industry_launch_winner_score_lgbm,T3_grouped_temporal_inner_validation,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
电子,industry_launch_winner_score_lgbm,T4_diagnostic_minimal_instrument_gate,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
电子,industry_failure_reject_score_lgbm,T0_strict_p0_9_reproduction,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
电子,industry_failure_reject_score_lgbm,T1_fixed_rounds_no_inner_validation,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
电子,industry_failure_reject_score_lgbm,T2_pooled_inner_validation,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
电子,industry_failure_reject_score_lgbm,T3_grouped_temporal_inner_validation,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
电子,industry_failure_reject_score_lgbm,T4_diagnostic_minimal_instrument_gate,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
汽车,industry_launch_winner_score_lgbm,T0_strict_p0_9_reproduction,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
汽车,industry_launch_winner_score_lgbm,T1_fixed_rounds_no_inner_validation,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
汽车,industry_launch_winner_score_lgbm,T2_pooled_inner_validation,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
汽车,industry_launch_winner_score_lgbm,T3_grouped_temporal_inner_validation,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
汽车,industry_launch_winner_score_lgbm,T4_diagnostic_minimal_instrument_gate,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
汽车,industry_failure_reject_score_lgbm,T0_strict_p0_9_reproduction,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
汽车,industry_failure_reject_score_lgbm,T1_fixed_rounds_no_inner_validation,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
汽车,industry_failure_reject_score_lgbm,T2_pooled_inner_validation,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
汽车,industry_failure_reject_score_lgbm,T3_grouped_temporal_inner_validation,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
汽车,industry_failure_reject_score_lgbm,T4_diagnostic_minimal_instrument_gate,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
电力设备,industry_launch_winner_score_lgbm,T0_strict_p0_9_reproduction,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
电力设备,industry_launch_winner_score_lgbm,T1_fixed_rounds_no_inner_validation,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
电力设备,industry_launch_winner_score_lgbm,T2_pooled_inner_validation,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
电力设备,industry_launch_winner_score_lgbm,T3_grouped_temporal_inner_validation,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
电力设备,industry_launch_winner_score_lgbm,T4_diagnostic_minimal_instrument_gate,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
电力设备,industry_failure_reject_score_lgbm,T0_strict_p0_9_reproduction,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
电力设备,industry_failure_reject_score_lgbm,T1_fixed_rounds_no_inner_validation,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
电力设备,industry_failure_reject_score_lgbm,T2_pooled_inner_validation,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
电力设备,industry_failure_reject_score_lgbm,T3_grouped_temporal_inner_validation,0c22a835ca1d1b5e2cec,p0_9a_industry_feature_set_v1,p0_9a_industry_label_v1,p0_9a_industry_sample_panel_v1,20260506,run_explore9_p0_9a_v1
