target_industry,model_task,fold_id,contract_id,raw_train_rows,rows_removed_by_label_window_purge,rows_removed_by_event_date_purge,rows_removed_by_feature_asof_purge,rows_removed_by_observed_reference_decision_overlap,rows_removed_by_observed_reference_feature_overlap,rows_removed_by_label_truncation,train_rows_after_purge,train_positive_after_purge,train_negative_after_purge,train_distinct_instruments_after_purge,train_distinct_instrument_years_after_purge,inner_validation_rows_before_outer_purge,inner_validation_rows_removed_by_outer_label_window_purge,inner_validation_label_window_end_max,validation_start_date,inner_validation_label_window_crosses_outer_validation_count,purge_pass
电子,industry_launch_winner_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,529,195,0,0,0,0,0,122,19,103,7,12,119,0,2019-12-30,2020-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,529,195,0,0,0,0,0,310,118,192,11,20,0,0,,2020-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2020,T2_pooled_inner_validation,529,195,0,0,0,0,0,0,0,0,0,0,226,0,2019-12-31,2020-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,529,195,0,0,0,0,0,0,0,0,0,0,226,0,2019-12-31,2020-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,529,195,0,0,0,0,0,310,118,192,11,20,0,0,,2020-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,885,197,0,0,0,0,0,310,118,192,11,20,156,0,2020-12-30,2021-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,885,197,0,0,0,0,0,661,277,384,19,47,0,0,,2021-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2021,T2_pooled_inner_validation,885,197,0,0,0,0,0,122,19,103,7,12,437,0,2020-12-30,2021-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,885,197,0,0,0,0,0,122,19,103,7,12,437,0,2020-12-30,2021-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,885,197,0,0,0,0,0,661,277,384,19,47,0,0,,2021-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,1418,286,0,0,0,0,0,662,277,385,19,47,244,0,2021-12-31,2022-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,1418,286,0,0,0,0,0,1092,360,732,23,71,0,0,,2022-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2022,T2_pooled_inner_validation,1418,286,0,0,0,0,0,310,118,192,11,20,587,0,2021-12-31,2022-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,1418,286,0,0,0,0,0,310,118,192,11,20,587,0,2021-12-31,2022-01-01,0,True
