target_industry,model_task,contract_id,core_validation_event_count,core_auc_mean,core_logloss_mean,core_brier_mean,diagnostic_only
汽车,industry_failure_reject_score_lgbm,T1_fixed_rounds_no_inner_validation,2750,0.574925543530437,0.6848942509459428,0.245090083748467,True
汽车,industry_failure_reject_score_lgbm,T2_pooled_inner_validation,1393,0.4403480431739884,0.6752189794558618,0.24158349183929445,True
汽车,industry_failure_reject_score_lgbm,T3_grouped_temporal_inner_validation,1393,0.4403480431739884,0.6752189794558618,0.24158349183929445,True
汽车,industry_failure_reject_score_lgbm,T4_diagnostic_minimal_instrument_gate,2750,0.574925543530437,0.6848942509459428,0.245090083748467,True
汽车,industry_launch_winner_score_lgbm,T1_fixed_rounds_no_inner_validation,701,0.7347766552808602,0.43584161890508516,0.14341402565184944,True
汽车,industry_launch_winner_score_lgbm,T2_pooled_inner_validation,256,0.8099557522123894,0.30388311381381033,0.08795804443651123,True
汽车,industry_launch_winner_score_lgbm,T3_grouped_temporal_inner_validation,256,0.8099557522123894,0.30388311381381033,0.08795804443651123,True
汽车,industry_launch_winner_score_lgbm,T4_diagnostic_minimal_instrument_gate,921,0.6707002600556865,0.7409074050309437,0.20051501189879176,True
电力设备,industry_failure_reject_score_lgbm,T1_fixed_rounds_no_inner_validation,1895,0.48085062371475235,0.8981910735854814,0.3347916766132689,True
电力设备,industry_failure_reject_score_lgbm,T4_diagnostic_minimal_instrument_gate,2601,0.45988000198009904,0.9133251534110544,0.34051751936049124,True
电力设备,industry_launch_winner_score_lgbm,T1_fixed_rounds_no_inner_validation,727,0.3788557961614546,0.32065928701309465,0.09532049415666256,True
电力设备,industry_launch_winner_score_lgbm,T4_diagnostic_minimal_instrument_gate,957,0.3966635493376606,0.6396255839158783,0.18738846995831368,True
电子,industry_failure_reject_score_lgbm,T0_strict_p0_9_reproduction,2198,0.4645729077352825,0.7742423942065744,0.28912738953380207,True
电子,industry_failure_reject_score_lgbm,T1_fixed_rounds_no_inner_validation,4586,0.4866370918500895,0.9091446899044031,0.33205959672701796,True
电子,industry_failure_reject_score_lgbm,T2_pooled_inner_validation,1079,0.48175064041925886,0.7047145665317815,0.25526995778786915,True
电子,industry_failure_reject_score_lgbm,T3_grouped_temporal_inner_validation,1079,0.48175064041925886,0.7047145665317815,0.25526995778786915,True
电子,industry_failure_reject_score_lgbm,T4_diagnostic_minimal_instrument_gate,4586,0.4866370918500895,0.9091446899044031,0.33205959672701796,True
电子,industry_launch_winner_score_lgbm,T1_fixed_rounds_no_inner_validation,1212,0.5200712856390405,0.5904400837745433,0.2059472948573919,True
电子,industry_launch_winner_score_lgbm,T2_pooled_inner_validation,389,0.5277978014056587,0.542345751224092,0.175812820650475,True
电子,industry_launch_winner_score_lgbm,T3_grouped_temporal_inner_validation,389,0.5277978014056587,0.542345751224092,0.175812820650475,True
电子,industry_launch_winner_score_lgbm,T4_diagnostic_minimal_instrument_gate,1568,0.49011396029703597,0.6236237617022864,0.21366047921835518,True
