target_industry,model_task,fold_id,stable_candidate_id,failure_event_dedup_candidate_id,launch_stratum_event_id,raw_window_hit_count,kept_failure_decision_window,kept_failure_decision_effective_date,duplicate_window_hit_count,dedup_policy,dedup_pass,phase
汽车,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00003668,3,3,2020-01-14,2,merge_3d_5d_10d_for_main_p1_metrics,True,p0_9a
汽车,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00003669,3,3,2020-01-14,2,merge_3d_5d_10d_for_main_p1_metrics,True,p0_9a
汽车,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00003670,3,3,2020-01-14,2,merge_3d_5d_10d_for_main_p1_metrics,True,p0_9a
汽车,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00003671,3,3,2020-01-14,2,merge_3d_5d_10d_for_main_p1_metrics,True,p0_9a
汽车,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00003672,3,3,2020-02-21,2,merge_3d_5d_10d_for_main_p1_metrics,True,p0_9a
汽车,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00003673,3,3,2020-02-21,2,merge_3d_5d_10d_for_main_p1_metrics,True,p0_9a
汽车,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00003674,3,3,2020-02-21,2,merge_3d_5d_10d_for_main_p1_metrics,True,p0_9a
汽车,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00003675,3,3,2020-03-31,2,merge_3d_5d_10d_for_main_p1_metrics,True,p0_9a
汽车,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00003676,3,3,2020-05-11,2,merge_3d_5d_10d_for_main_p1_metrics,True,p0_9a
汽车,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00003677,3,3,2020-05-11,2,merge_3d_5d_10d_for_main_p1_metrics,True,p0_9a
汽车,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00003678,3,3,2020-05-11,2,merge_3d_5d_10d_for_main_p1_metrics,True,p0_9a
汽车,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00003679,3,3,2020-05-11,2,merge_3d_5d_10d_for_main_p1_metrics,True,p0_9a
汽车,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00003680,3,3,2020-06-09,2,merge_3d_5d_10d_for_main_p1_metrics,True,p0_9a
汽车,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00003681,3,3,2020-06-09,2,merge_3d_5d_10d_for_main_p1_metrics,True,p0_9a
汽车,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00003682,3,3,2020-06-09,2,merge_3d_5d_10d_for_main_p1_metrics,True,p0_9a
