target_industry,model_task,fold_id,fold_train_available_instruments,fold_train_available_instrument_years,fold_outer_validation_available_instruments,fold_outer_validation_available_instrument_years,inventory_basis,uses_winner_or_failure_label,uses_outer_validation_score,fold_inventory_audit_pass
电子,industry_launch_winner_score_lgbm,fold_2020,19,31,22,22,fold_local_pre_label_outcome,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2021,24,53,26,26,fold_local_pre_label_outcome,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2022,29,79,16,16,fold_local_pre_label_outcome,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2023,30,95,14,14,fold_local_pre_label_outcome,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2024,31,109,18,18,fold_local_pre_label_outcome,False,False,True
汽车,industry_launch_winner_score_lgbm,fold_2020,11,28,10,10,fold_local_pre_label_outcome,False,False,True
汽车,industry_launch_winner_score_lgbm,fold_2021,13,38,14,14,fold_local_pre_label_outcome,False,False,True
汽车,industry_launch_winner_score_lgbm,fold_2022,17,52,10,10,fold_local_pre_label_outcome,False,False,True
汽车,industry_launch_winner_score_lgbm,fold_2023,17,62,10,10,fold_local_pre_label_outcome,False,False,True
汽车,industry_launch_winner_score_lgbm,fold_2024,17,72,12,12,fold_local_pre_label_outcome,False,False,True
电力设备,industry_launch_winner_score_lgbm,fold_2020,6,14,9,9,fold_local_pre_label_outcome,False,False,True
电力设备,industry_launch_winner_score_lgbm,fold_2021,9,23,14,14,fold_local_pre_label_outcome,False,False,True
电力设备,industry_launch_winner_score_lgbm,fold_2022,14,37,18,18,fold_local_pre_label_outcome,False,False,True
电力设备,industry_launch_winner_score_lgbm,fold_2023,18,55,15,15,fold_local_pre_label_outcome,False,False,True
电力设备,industry_launch_winner_score_lgbm,fold_2024,18,70,11,11,fold_local_pre_label_outcome,False,False,True
电子,industry_failure_reject_score_lgbm,fold_2020,19,31,23,23,fold_local_pre_label_outcome,False,False,True
电子,industry_failure_reject_score_lgbm,fold_2021,24,54,28,28,fold_local_pre_label_outcome,False,False,True
电子,industry_failure_reject_score_lgbm,fold_2022,30,82,18,18,fold_local_pre_label_outcome,False,False,True
电子,industry_failure_reject_score_lgbm,fold_2023,31,100,16,16,fold_local_pre_label_outcome,False,False,True
电子,industry_failure_reject_score_lgbm,fold_2024,32,116,20,20,fold_local_pre_label_outcome,False,False,True
汽车,industry_failure_reject_score_lgbm,fold_2020,11,28,9,9,fold_local_pre_label_outcome,False,False,True
汽车,industry_failure_reject_score_lgbm,fold_2021,12,37,14,14,fold_local_pre_label_outcome,False,False,True
汽车,industry_failure_reject_score_lgbm,fold_2022,17,51,10,10,fold_local_pre_label_outcome,False,False,True
汽车,industry_failure_reject_score_lgbm,fold_2023,17,61,10,10,fold_local_pre_label_outcome,False,False,True
汽车,industry_failure_reject_score_lgbm,fold_2024,17,71,12,12,fold_local_pre_label_outcome,False,False,True
电力设备,industry_failure_reject_score_lgbm,fold_2020,6,14,9,9,fold_local_pre_label_outcome,False,False,True
电力设备,industry_failure_reject_score_lgbm,fold_2021,9,23,16,16,fold_local_pre_label_outcome,False,False,True
电力设备,industry_failure_reject_score_lgbm,fold_2022,16,39,22,22,fold_local_pre_label_outcome,False,False,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,22,61,17,17,fold_local_pre_label_outcome,False,False,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,23,78,13,13,fold_local_pre_label_outcome,False,False,True
