target_industry,model_task,fold_id,contract_id,score_bucket,train_score_threshold,threshold_source,validation_quantile_used_for_definition,score_bucket_used_for_strategy,validated_score_bucket,score_bucket_threshold_audit_pass
电子,industry_launch_winner_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,top_10pct,0.5303868002874919,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,top_5pct,0.630225228811371,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,top_2pct,0.6714866409463143,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,top_10pct,0.7627289075268402,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,top_5pct,0.8115217494363804,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,top_2pct,0.8457436406634782,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,top_10pct,0.7627289075268402,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,top_5pct,0.8115217494363804,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,top_2pct,0.8457436406634782,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,top_10pct,0.6652900826366586,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,top_5pct,0.717754700955866,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,top_2pct,0.7873484061408431,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,top_10pct,0.6652900826366586,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,top_5pct,0.717754700955866,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,top_2pct,0.7873484061408431,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,top_10pct,0.5497982806393276,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,top_5pct,0.6188049311210114,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,top_2pct,0.6730161732532232,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2023,T2_pooled_inner_validation,top_10pct,0.4031635038930484,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2023,T2_pooled_inner_validation,top_5pct,0.4031635038930484,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2023,T2_pooled_inner_validation,top_2pct,0.4031635038930484,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,top_10pct,0.4031635038930484,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,top_5pct,0.4031635038930484,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,top_2pct,0.4031635038930484,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,top_10pct,0.5497982806393276,train_fold_scores_only,False,False,False,True
电子,industry_launch_winner_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,top_5pct,0.6188049311210114,train_fold_scores_only,False,False,False,True
