target_industry,model_task,fold_id,p0_9_train_rows_after_purge,p0_9a_t0_train_rows_after_purge,p0_9_train_positive_after_purge,p0_9a_t0_train_positive_after_purge,p0_9_train_distinct_instruments_after_purge,p0_9a_t0_train_distinct_instruments_after_purge,p0_9_inner_validation_rows,p0_9a_t0_inner_validation_rows,p0_9_fail_reasons,p0_9a_t0_fail_reasons,reconciliation_pass,explained_diff_only,t0_reconciliation_unexplained_diff,reconciliation_diff_reason
电子,industry_launch_winner_score_lgbm,fold_2020,0,122,0,19,0,7,91,119,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电子,industry_launch_winner_score_lgbm,fold_2021,173,310,59,118,6,11,1,156,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电子,industry_launch_winner_score_lgbm,fold_2022,491,662,221,277,17,19,14,244,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,train_distinct_instruments,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电子,industry_launch_winner_score_lgbm,fold_2023,834,1096,309,360,21,23,2,217,inner_validation_event_count;inner_validation_positive_count,inner_validation_positive_count,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电子,industry_launch_winner_score_lgbm,fold_2024,1187,1524,362,362,24,27,10,243,inner_validation_event_count;inner_validation_positive_count,,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电子,industry_failure_reject_score_lgbm,fold_2020,0,554,0,292,0,8,261,528,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years,train_dedup_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电子,industry_failure_reject_score_lgbm,fold_2021,461,1256,161,432,5,13,2,685,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,train_distinct_instrument_years;train_distinct_instruments,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电子,industry_failure_reject_score_lgbm,fold_2022,1488,2301,414,741,17,22,8,1072,train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电子,industry_failure_reject_score_lgbm,fold_2023,2492,3742,769,1524,21,27,2,820,inner_validation_event_count;inner_validation_positive_count,,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电子,industry_failure_reject_score_lgbm,fold_2024,3535,5028,1315,2341,24,30,12,962,inner_validation_event_count,,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
汽车,industry_launch_winner_score_lgbm,fold_2020,96,219,3,3,7,9,4,96,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,inner_validation_event_count;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
汽车,industry_launch_winner_score_lgbm,fold_2021,306,422,13,37,7,10,2,115,train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
汽车,industry_launch_winner_score_lgbm,fold_2022,488,620,42,95,9,10,3,136,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,train_distinct_instrument_years;train_distinct_instruments,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
汽车,industry_launch_winner_score_lgbm,fold_2023,488,869,42,196,9,14,206,111,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years,train_distinct_instruments,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
汽车,industry_launch_winner_score_lgbm,fold_2024,708,1064,154,236,11,15,202,145,train_distinct_instruments;train_distinct_instrument_years,train_distinct_instruments,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
汽车,industry_failure_reject_score_lgbm,fold_2020,253,876,84,459,7,10,17,435,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,train_distinct_instrument_years;train_distinct_instruments,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
汽车,industry_failure_reject_score_lgbm,fold_2021,893,1443,415,613,7,11,1,541,train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,train_distinct_instrument_years;train_distinct_instruments,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
