target_industry,model_task,raw_rows,eligible_rows,distinct_instruments,distinct_instrument_years,positive_count,raw_sample_feasibility_pass
电子,industry_launch_winner_score_lgbm,14860,7551,35,141,3000,True
汽车,industry_launch_winner_score_lgbm,9385,5505,19,88,1660,True
电力设备,industry_launch_winner_score_lgbm,9670,4507,26,91,1485,True
电子,industry_failure_reject_score_lgbm,44420,24652,35,155,20550,True
汽车,industry_failure_reject_score_lgbm,27985,17629,20,94,11125,True
电力设备,industry_failure_reject_score_lgbm,29170,14603,27,105,14840,True
