target_industry,model_task,contract_selection_priority,recommended_p0_9b_contract_id,contract_selection_metric_used,outer_validation_auc_used_for_selection,outer_validation_logloss_used_for_selection,score_bucket_used_for_selection,fold_2024_used_for_selection,p0_9a_contract_selection_violation,deterministic_contract_selection_pass
汽车,industry_failure_reject_score_lgbm,T0_strict_p0_9_reproduction -> T2_pooled_inner_validation -> T3_grouped_temporal_inner_validation -> T1_fixed_rounds_no_inner_validation,T1_fixed_rounds_no_inner_validation,trainability_count_and_model_fit_only,False,False,False,False,False,True
汽车,industry_launch_winner_score_lgbm,T0_strict_p0_9_reproduction -> T2_pooled_inner_validation -> T3_grouped_temporal_inner_validation -> T1_fixed_rounds_no_inner_validation,T1_fixed_rounds_no_inner_validation,trainability_count_and_model_fit_only,False,False,False,False,False,True
电力设备,industry_failure_reject_score_lgbm,T0_strict_p0_9_reproduction -> T2_pooled_inner_validation -> T3_grouped_temporal_inner_validation -> T1_fixed_rounds_no_inner_validation,,trainability_count_and_model_fit_only,False,False,False,False,False,True
电力设备,industry_launch_winner_score_lgbm,T0_strict_p0_9_reproduction -> T2_pooled_inner_validation -> T3_grouped_temporal_inner_validation -> T1_fixed_rounds_no_inner_validation,,trainability_count_and_model_fit_only,False,False,False,False,False,True
电子,industry_failure_reject_score_lgbm,T0_strict_p0_9_reproduction -> T2_pooled_inner_validation -> T3_grouped_temporal_inner_validation -> T1_fixed_rounds_no_inner_validation,T1_fixed_rounds_no_inner_validation,trainability_count_and_model_fit_only,False,False,False,False,False,True
电子,industry_launch_winner_score_lgbm,T0_strict_p0_9_reproduction -> T2_pooled_inner_validation -> T3_grouped_temporal_inner_validation -> T1_fixed_rounds_no_inner_validation,T1_fixed_rounds_no_inner_validation,trainability_count_and_model_fit_only,False,False,False,False,False,True
