target_industry,model_task,fold_id,training_label_window_end_date_min,training_label_window_end_date_max,metric_label_window_end_date_max,label_window_end_date_used_for_train_purge,label_window_end_date_used_for_inner_purge,label_window_end_date_audit_pass
汽车,industry_launch_winner_score_lgbm,fold_2020,2018-01-31,2025-09-12,2025-12-24,training_label_window_end_date,training_label_window_end_date,True
汽车,industry_launch_winner_score_lgbm,fold_2021,2018-01-31,2025-09-12,2025-12-24,training_label_window_end_date,training_label_window_end_date,True
汽车,industry_launch_winner_score_lgbm,fold_2022,2018-01-31,2025-09-12,2025-12-24,training_label_window_end_date,training_label_window_end_date,True
汽车,industry_launch_winner_score_lgbm,fold_2023,2018-01-31,2025-09-12,2025-12-24,training_label_window_end_date,training_label_window_end_date,True
汽车,industry_launch_winner_score_lgbm,fold_2024,2018-01-31,2025-09-12,2025-12-24,training_label_window_end_date,training_label_window_end_date,True
电力设备,industry_launch_winner_score_lgbm,fold_2020,2018-03-02,2026-04-30,2026-04-30,training_label_window_end_date,training_label_window_end_date,True
电力设备,industry_launch_winner_score_lgbm,fold_2021,2018-03-02,2026-04-30,2026-04-30,training_label_window_end_date,training_label_window_end_date,True
电力设备,industry_launch_winner_score_lgbm,fold_2022,2018-03-02,2026-04-30,2026-04-30,training_label_window_end_date,training_label_window_end_date,True
电力设备,industry_launch_winner_score_lgbm,fold_2023,2018-03-02,2026-04-30,2026-04-30,training_label_window_end_date,training_label_window_end_date,True
电力设备,industry_launch_winner_score_lgbm,fold_2024,2018-03-02,2026-04-30,2026-04-30,training_label_window_end_date,training_label_window_end_date,True
电子,industry_launch_winner_score_lgbm,fold_2020,2018-02-02,2026-04-28,2026-04-28,training_label_window_end_date,training_label_window_end_date,True
电子,industry_launch_winner_score_lgbm,fold_2021,2018-02-02,2026-04-28,2026-04-28,training_label_window_end_date,training_label_window_end_date,True
电子,industry_launch_winner_score_lgbm,fold_2022,2018-02-02,2026-04-28,2026-04-28,training_label_window_end_date,training_label_window_end_date,True
电子,industry_launch_winner_score_lgbm,fold_2023,2018-02-02,2026-04-28,2026-04-28,training_label_window_end_date,training_label_window_end_date,True
电子,industry_launch_winner_score_lgbm,fold_2024,2018-02-02,2026-04-28,2026-04-28,training_label_window_end_date,training_label_window_end_date,True
汽车,industry_failure_reject_score_lgbm,fold_2020,2017-11-13,2026-03-16,2026-03-16,training_label_window_end_date,training_label_window_end_date,True
汽车,industry_failure_reject_score_lgbm,fold_2021,2017-11-13,2026-03-16,2026-03-16,training_label_window_end_date,training_label_window_end_date,True
汽车,industry_failure_reject_score_lgbm,fold_2022,2017-11-13,2026-03-16,2026-03-16,training_label_window_end_date,training_label_window_end_date,True
汽车,industry_failure_reject_score_lgbm,fold_2023,2017-11-13,2026-03-16,2026-03-16,training_label_window_end_date,training_label_window_end_date,True
汽车,industry_failure_reject_score_lgbm,fold_2024,2017-11-13,2026-03-16,2026-03-16,training_label_window_end_date,training_label_window_end_date,True
电力设备,industry_failure_reject_score_lgbm,fold_2020,2017-12-06,2026-03-27,2026-04-30,training_label_window_end_date,training_label_window_end_date,True
电力设备,industry_failure_reject_score_lgbm,fold_2021,2017-12-06,2026-03-27,2026-04-30,training_label_window_end_date,training_label_window_end_date,True
电力设备,industry_failure_reject_score_lgbm,fold_2022,2017-12-06,2026-03-27,2026-04-30,training_label_window_end_date,training_label_window_end_date,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,2017-12-06,2026-03-27,2026-04-30,training_label_window_end_date,training_label_window_end_date,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,2017-12-06,2026-03-27,2026-04-30,training_label_window_end_date,training_label_window_end_date,True
电子,industry_failure_reject_score_lgbm,fold_2020,2017-11-15,2026-03-02,2026-04-30,training_label_window_end_date,training_label_window_end_date,True
电子,industry_failure_reject_score_lgbm,fold_2021,2017-11-15,2026-03-02,2026-04-30,training_label_window_end_date,training_label_window_end_date,True
电子,industry_failure_reject_score_lgbm,fold_2022,2017-11-15,2026-03-02,2026-04-30,training_label_window_end_date,training_label_window_end_date,True
电子,industry_failure_reject_score_lgbm,fold_2023,2017-11-15,2026-03-02,2026-04-30,training_label_window_end_date,training_label_window_end_date,True
电子,industry_failure_reject_score_lgbm,fold_2024,2017-11-15,2026-03-02,2026-04-30,training_label_window_end_date,training_label_window_end_date,True
