target_industry,model_task,fold_id,contract_id,train_dedup_event_count_after_purge,train_dedup_positive_event_count_after_purge,outer_validation_dedup_event_count,outer_validation_dedup_positive_event_count,window_level_count_profile_pass,event_level_dedup_count_profile_pass,failure_event_level_trainability_audit_pass
电子,industry_failure_reject_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,192,107,358,143,False,False,False
电子,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,438,147,358,143,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2020,T2_pooled_inner_validation,63,2,358,143,False,False,False
电子,industry_failure_reject_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,63,2,358,143,False,False,False
电子,industry_failure_reject_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,438,147,358,143,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,438,147,462,255,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,774,253,462,255,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2021,T2_pooled_inner_validation,192,107,462,255,False,False,False
电子,industry_failure_reject_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,192,107,462,255,False,False,False
电子,industry_failure_reject_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,774,253,462,255,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,774,253,378,209,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,1266,532,378,209,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2022,T2_pooled_inner_validation,438,147,378,209,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,438,147,378,209,False,True,True
电子,industry_failure_reject_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,1266,532,378,209,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,1266,532,370,187,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,1695,791,370,187,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2023,T2_pooled_inner_validation,774,253,370,187,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,774,253,370,187,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,1695,791,370,187,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,1695,791,494,156,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,2141,1021,494,156,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2024,T2_pooled_inner_validation,1266,532,494,156,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,1266,532,494,156,True,True,True
电子,industry_failure_reject_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,2141,1021,494,156,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,305,158,212,73,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,484,202,212,73,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2020,T2_pooled_inner_validation,62,10,212,73,False,False,False
汽车,industry_failure_reject_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,62,10,212,73,False,False,False
汽车,industry_failure_reject_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,484,202,212,73,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,484,202,244,120,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,713,279,244,120,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T2_pooled_inner_validation,305,158,244,120,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,305,158,244,120,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,713,279,244,120,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,713,279,215,76,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,925,380,215,76,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T2_pooled_inner_validation,484,202,215,76,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,484,202,215,76,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,925,380,215,76,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,925,380,251,98,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,1136,476,251,98,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T2_pooled_inner_validation,713,279,251,98,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,713,279,251,98,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,1136,476,251,98,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,1136,476,317,101,False,True,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,1417,570,317,101,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T2_pooled_inner_validation,925,380,317,101,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,925,380,317,101,True,True,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,1417,570,317,101,True,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,64,20,215,50,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,171,79,215,50,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2020,T2_pooled_inner_validation,0,0,215,50,False,False,False
