target_industry,model_task,fold_id,decision_overlap_rows,feature_overlap_rows,label_measurement_overlap_rows,eligible_decision_overlap_rows,eligible_feature_overlap_rows,observed_reference_overlap_audit_pass
汽车,industry_launch_winner_score_lgbm,fold_2020,0,0,338,0,0,True
汽车,industry_launch_winner_score_lgbm,fold_2021,0,0,338,0,0,True
汽车,industry_launch_winner_score_lgbm,fold_2022,0,0,338,0,0,True
汽车,industry_launch_winner_score_lgbm,fold_2023,0,0,338,0,0,True
汽车,industry_launch_winner_score_lgbm,fold_2024,0,0,338,0,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2020,0,0,336,0,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2021,0,0,336,0,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2022,0,0,336,0,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2023,0,0,336,0,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2024,0,0,336,0,0,True
电子,industry_launch_winner_score_lgbm,fold_2020,1,0,628,0,0,True
电子,industry_launch_winner_score_lgbm,fold_2021,1,0,628,0,0,True
电子,industry_launch_winner_score_lgbm,fold_2022,1,0,628,0,0,True
电子,industry_launch_winner_score_lgbm,fold_2023,1,0,628,0,0,True
电子,industry_launch_winner_score_lgbm,fold_2024,1,0,628,0,0,True
汽车,industry_failure_reject_score_lgbm,fold_2020,28,18,1082,0,0,True
汽车,industry_failure_reject_score_lgbm,fold_2021,28,18,1082,0,0,True
汽车,industry_failure_reject_score_lgbm,fold_2022,28,18,1082,0,0,True
汽车,industry_failure_reject_score_lgbm,fold_2023,28,18,1082,0,0,True
汽车,industry_failure_reject_score_lgbm,fold_2024,28,18,1082,0,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2020,34,27,1705,0,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2021,34,27,1705,0,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2022,34,27,1705,0,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,34,27,1705,0,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,34,27,1705,0,0,True
电子,industry_failure_reject_score_lgbm,fold_2020,71,46,2152,0,0,True
电子,industry_failure_reject_score_lgbm,fold_2021,71,46,2152,0,0,True
电子,industry_failure_reject_score_lgbm,fold_2022,71,46,2152,0,0,True
电子,industry_failure_reject_score_lgbm,fold_2023,71,46,2152,0,0,True
电子,industry_failure_reject_score_lgbm,fold_2024,71,46,2152,0,0,True
