arm_id,semantic_track,return_semantics,weighting,bucket_count,holding_month_n,month_scope,P5_date_scope,month_n,favorable_extreme_mean,middle_mean,unfavorable_extreme_mean,favorable_minus_unfavorable_mean,favorable_minus_middle_mean,spread_positive_month_rate,raw_mean_bucket_spearman,favorable_aligned_mean_bucket_spearman,HAC_t_stat,HAC_p_value,inference_role,paper_sort_direction_gate,positive_exposure_design_gate
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,project_conservative_primary,VW,5,1,late,,50,0.00601218199552,0.00697017316655,0.00298097714132,0.0030312048542,-0.000957991171027,0.54,0.092,0.092,0.315499256087,0.752382615799,design_only_not_support,False,False
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,project_conservative_primary,VW,10,1,full,,98,0.00426324508676,0.0048555170194,-0.00259794284028,0.00686118792705,-0.00059227193264,0.5,0.0989486703772,0.0989486703772,0.876336122597,0.380847333063,design_only_not_support,False,False
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,project_conservative_primary,VW,10,1,early,,48,0.00851860394493,0.00281098811983,-0.00499730129293,0.0135159052379,0.0057076158251,0.5625,0.127777777778,0.127777777778,1.31284233239,0.189236082159,design_only_not_support,False,False
P0_TOTAL_MOMENTUM_12_1,project_return_history_primary,project_conservative_primary,VW,10,1,late,,50,0.000178100582925,0.00681826476299,-0.000294558725746,0.000472659308671,-0.00664016418007,0.44,0.0712727272727,0.0712727272727,0.040977083886,0.967314164924,design_only_not_support,False,False
P1_TRENDPV_RAW_ADAPTATION,paper_fill_sensitivity,paper_qfq_complete_case_sensitivity,EW,5,1,full,,54,-0.00181706664652,0.00285099464825,0.0101197286947,-0.0119367953413,-0.00466806129477,0.462962962963,-0.127777777778,-0.127777777778,-2.14982278979,0.0315692347948,design_only_not_support,False,False
P1_TRENDPV_RAW_ADAPTATION,paper_fill_sensitivity,paper_qfq_complete_case_sensitivity,EW,5,1,early,,27,-0.0228183809303,-0.0104638878463,-0.00567346473286,-0.0171449161974,-0.0123544930839,0.407407407407,-0.237037037037,-0.237037037037,-2.66850204411,0.00761903149017,design_only_not_support,False,False
P1_TRENDPV_RAW_ADAPTATION,paper_fill_sensitivity,paper_qfq_complete_case_sensitivity,EW,5,1,late,,27,0.0191842476372,0.0161658771428,0.0259129221223,-0.00672867448511,0.00301837049439,0.518518518519,-0.0185185185185,-0.0185185185185,-0.7177219039,0.472928774802,design_only_not_support,False,False
P1_TRENDPV_RAW_ADAPTATION,paper_fill_sensitivity,paper_qfq_complete_case_sensitivity,EW,10,1,full,,54,-0.00358222941754,0.00285423043125,0.0121067296298,-0.0156889590473,-0.00643645984878,0.444444444444,-0.1088664422,-0.1088664422,-2.1695884676,0.0300380358035,design_only_not_support,False,False
P1_TRENDPV_RAW_ADAPTATION,paper_fill_sensitivity,paper_qfq_complete_case_sensitivity,EW,10,1,early,,27,-0.0258934422219,-0.0104766688067,-0.00436251281274,-0.0215309294092,-0.0154167734153,0.37037037037,-0.192817059484,-0.192817059484,-2.53857059231,0.0111306345177,design_only_not_support,False,False
P1_TRENDPV_RAW_ADAPTATION,paper_fill_sensitivity,paper_qfq_complete_case_sensitivity,EW,10,1,late,,27,0.0187289833868,0.0161851296692,0.0285759720723,-0.0098469886855,0.00254385371768,0.518518518519,-0.0249158249158,-0.0249158249158,-0.816513325373,0.414206605353,design_only_not_support,False,False
