grid_rule_id,min_previous_regime_trading_day_n,min_segment_age_at_event_t0,online_confirmation_trading_day_n,outcome_max_transition_trading_day_n,candidate_event_n,unique_transition_segment_n,censored_event_share,pending_or_censored_event_share,base_direction_agreement,direction_distribution_distance,both_context_all_splits_flag,censored_share_eligible_flag,aggregate_outcome_power_flag,aggregate_outcome_power_labels,low_segment_power_cells,structural_eligible_flag,base_rule_tie_break_rank,selected_rule_flag,base_rule_flag,selection_reason
g_minprev1_age1_confirm0_outmax20,1,1,0,20.0,26840,104,0.23815201192250374,0.23815201192250374,0.7618479880774963,0.4763040238450075,True,False,True,transition_continuation;transition_conversion,robustness:transition_conversion,False,1,False,False,
g_minprev1_age1_confirm0_outmax60,1,1,0,60.0,26840,104,0.0,0.0,1.0,0.0,True,True,True,transition_continuation;transition_conversion,robustness:transition_conversion,False,1,False,False,
g_minprev1_age1_confirm0_outmax120,1,1,0,120.0,26840,104,0.0,0.0,1.0,0.0,True,True,True,transition_continuation;transition_conversion,robustness:transition_conversion,False,1,False,False,
g_minprev1_age1_confirm0_outmax240,1,1,0,240.0,26840,104,0.0,0.0,1.0,0.0,True,True,True,transition_continuation;transition_conversion,robustness:transition_conversion,False,1,False,False,
g_base_minprev1_age1_confirm0_outmaxnull,1,1,0,,26840,104,0.0,0.0,1.0,0.0,True,True,True,transition_continuation;transition_conversion,robustness:transition_conversion,False,0,True,True,no_structurally_eligible_rule_use_base_diagnostic
g_minprev1_age1_confirm1_outmax20,1,1,1,20.0,26840,104,0.23815201192250374,0.23815201192250374,0.7618479880774963,0.4763040238450075,True,False,True,transition_continuation;transition_conversion,robustness:transition_conversion,False,1,False,False,
g_minprev1_age1_confirm1_outmax60,1,1,1,60.0,26840,104,0.0,0.0,1.0,0.0,True,True,True,transition_continuation;transition_conversion,robustness:transition_conversion,False,1,False,False,
g_minprev1_age1_confirm1_outmax120,1,1,1,120.0,26840,104,0.0,0.0,1.0,0.0,True,True,True,transition_continuation;transition_conversion,robustness:transition_conversion,False,1,False,False,
g_minprev1_age1_confirm1_outmax240,1,1,1,240.0,26840,104,0.0,0.0,1.0,0.0,True,True,True,transition_continuation;transition_conversion,robustness:transition_conversion,False,1,False,False,
g_minprev1_age1_confirm1_outmaxnull,1,1,1,,26840,104,0.0,0.0,1.0,0.0,True,True,True,transition_continuation;transition_conversion,robustness:transition_conversion,False,1,False,False,
g_minprev1_age1_confirm2_outmax20,1,1,2,20.0,20804,71,0.29806767929244377,0.29806767929244377,0.7019323207075563,0.5961353585848875,True,False,True,transition_continuation;transition_conversion,robustness:transition_conversion,False,1,False,False,
g_minprev1_age1_confirm2_outmax60,1,1,2,60.0,20804,71,0.0,0.0,1.0,0.08458000310040119,True,True,True,transition_continuation;transition_conversion,robustness:transition_conversion,False,1,False,False,
g_minprev1_age1_confirm2_outmax120,1,1,2,120.0,20804,71,0.0,0.0,1.0,0.08458000310040119,True,True,True,transition_continuation;transition_conversion,robustness:transition_conversion,False,1,False,False,
g_minprev1_age1_confirm2_outmax240,1,1,2,240.0,20804,71,0.0,0.0,1.0,0.08458000310040119,True,True,True,transition_continuation;transition_conversion,robustness:transition_conversion,False,1,False,False,
g_minprev1_age1_confirm2_outmaxnull,1,1,2,,20804,71,0.0,0.0,1.0,0.08458000310040119,True,True,True,transition_continuation;transition_conversion,robustness:transition_conversion,False,1,False,False,
g_minprev1_age1_confirm3_outmax20,1,1,3,20.0,17468,53,0.3440577055186627,0.3440577055186627,0.6559422944813373,0.6881154110373254,True,False,False,transition_continuation,robustness:transition_conversion,False,1,False,False,
g_minprev1_age1_confirm3_outmax60,1,1,3,60.0,17468,53,0.0,0.0,1.0,0.12636540071399882,True,True,True,transition_continuation;transition_conversion,robustness:transition_continuation;robustness:transition_conversion,False,1,False,False,
