grid_rule_id,split,universe_binding_status,pit_transition_context,transition_outcome_label,transition_outcome_direction,source_id,selected_event_count,formal_event_day_density,rolling_10d_executable_event_day_density,rolling_20d_executable_event_day_density,rolling_10d_duplicate_rate,rolling_20d_duplicate_rate,family_concentration,cross_family_collision_rate,density_contract_reference
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R1_event_regime_gated,71,6.454545454545454,1.0,1.0,0.0,0.0,1.0,0.0,A_density_contract_replay_anchor_pos
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R2_event_regime_gated,23,2.875,1.0,1.0,0.0,0.0,1.0,0.0,A_density_contract_replay_anchor_pos
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R6_event_regime_gated,89,17.8,1.0,1.0,0.0,0.0,1.0,0.0,A_density_contract_replay_anchor_pos
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R7_event_regime_gated,55,6.875,1.0,1.0,0.0,0.0,1.0,0.0,A_density_contract_replay_anchor_pos
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R8_event_regime_gated,17,2.8333333333333335,1.0,1.0,0.0,0.0,1.0,0.0,A_density_contract_replay_anchor_pos
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R_core_event_regime_gated,164,14.909090909090908,1.4146341463414633,1.4878048780487805,0.3170731707317073,0.3597560975609756,1.0,0.0,A_density_contract_replay_anchor_pos
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_T4_gated,4,1.3333333333333333,1.0,1.0,0.0,0.0,1.0,0.0,A_density_contract_replay_anchor_pos
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_selected_T4_T7_union,4,1.3333333333333333,1.0,1.0,0.0,0.0,1.0,0.0,A_density_contract_replay_anchor_pos
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R1_event_regime_gated,17,2.125,1.0,1.0,0.0,0.0,1.0,0.0,A_density_contract_replay_anchor_pos
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R2_event_regime_gated,6,1.2,1.0,1.0,0.0,0.0,1.0,0.0,A_density_contract_replay_anchor_pos
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R6_event_regime_gated,19,4.75,1.0,1.0,0.0,0.0,1.0,0.0,A_density_contract_replay_anchor_pos
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R7_event_regime_gated,19,2.375,1.0,1.0,0.0,0.0,1.0,0.0,A_density_contract_replay_anchor_pos
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R8_event_regime_gated,6,1.5,1.0,1.0,0.0,0.0,1.0,0.0,A_density_contract_replay_anchor_pos
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R_core_event_regime_gated,49,5.444444444444445,1.489795918367347,1.489795918367347,0.3877551020408163,0.3877551020408163,1.0,0.0,A_density_contract_replay_anchor_pos
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_R1_event_regime_gated,35,1.9444444444444444,1.0,1.0,0.0,0.0,1.0,0.0,A_density_contract_replay_anchor_pos
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_R2_event_regime_gated,5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,A_density_contract_replay_anchor_pos
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_R6_event_regime_gated,14,3.5,1.0,1.0,0.0,0.0,1.0,0.0,A_density_contract_replay_anchor_pos
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_R7_event_regime_gated,48,2.4,1.0,1.0,0.0,0.0,1.0,0.0,A_density_contract_replay_anchor_pos
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_R8_event_regime_gated,49,3.5,1.0,1.0,0.0,0.0,1.0,0.0,A_density_contract_replay_anchor_pos
