grid_rule_id,split,split_assignment_policy,segment_cross_split_flag,cross_split_segment_n,universe_binding_status,pit_transition_context,transition_outcome_label,transition_outcome_direction,unique_segment_n,trading_day_n,calendar_day_n,mean_segment_trading_day_n,median_segment_trading_day_n,max_segment_trading_day_n,event_n,target_episode_n,top1_segment_event_share,top1_segment_episode_share,effective_contributing_segment_n,contribution_metric_fallback,censored_segment_n,censored_segment_share,segment_power_status
g_base_minprev1_age1_confirm0_outmaxnull,robustness,event_split_expanded,False,0,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,3,11,15,3.6666666666666665,2.0,8.0,167,105,0.49101796407185627,0.6285714285714286,1.7921001300390118,,0,0.0,low_segment_power_diagnostic
g_base_minprev1_age1_confirm0_outmaxnull,robustness,event_split_expanded,False,0,published_and_reconstructed_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,1,18,34,18.0,18.0,18.0,49,30,1.0,1.0,1.0,,0,0.0,low_segment_power_diagnostic
g_base_minprev1_age1_confirm0_outmaxnull,robustness,event_split_expanded,False,0,published_and_reconstructed_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,8,39,52,4.875,1.0,28.0,135,115,0.32592592592592595,0.3130434782608696,4.876474926253686,,0,0.0,low_segment_power_caution
g_base_minprev1_age1_confirm0_outmaxnull,robustness,event_split_expanded,False,0,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,2,24,34,12.0,12.0,22.0,103,48,0.9611650485436893,0.9375,1.1327433628318584,,0,0.0,low_segment_power_diagnostic
g_base_minprev1_age1_confirm0_outmaxnull,robustness,event_split_expanded,False,0,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,1,4,6,4.0,4.0,4.0,65,49,1.0,1.0,1.0,,0,0.0,low_segment_power_diagnostic
g_base_minprev1_age1_confirm0_outmaxnull,robustness,event_split_expanded,False,0,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,2,24,42,12.0,12.0,18.0,123,87,0.7398373983739838,0.7241379310344828,1.665346534653465,,0,0.0,low_segment_power_diagnostic
g_base_minprev1_age1_confirm0_outmaxnull,robustness,event_split_expanded,False,0,reconstructed_transition_not_published_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,9,42,59,4.666666666666667,1.0,28.0,307,155,0.7785016286644951,0.6838709677419355,1.9207707067476814,,0,0.0,low_segment_power_diagnostic
g_base_minprev1_age1_confirm0_outmaxnull,train,event_split_expanded,False,0,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,7,32,47,4.571428571428571,3.0,11.0,335,241,0.3582089552238806,0.3651452282157676,4.241966111598014,,0,0.0,low_segment_power_caution
g_base_minprev1_age1_confirm0_outmaxnull,train,event_split_expanded,False,0,published_and_reconstructed_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,8,75,106,9.375,8.5,26.0,832,454,0.23197115384615385,0.2709251101321586,4.706274545620605,,0,0.0,low_segment_power_caution
g_base_minprev1_age1_confirm0_outmaxnull,train,event_split_expanded,False,0,published_and_reconstructed_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,15,76,110,5.066666666666666,3.0,18.0,313,210,0.17891373801916932,0.18095238095238095,7.332889923511805,,0,0.0,sufficient_segment_power
g_base_minprev1_age1_confirm0_outmaxnull,train,event_split_expanded,False,0,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,4,14,18,3.5,2.5,8.0,65,49,0.5538461538461539,0.4489795918367347,2.5984848484848486,,0,0.0,low_segment_power_diagnostic
g_base_minprev1_age1_confirm0_outmaxnull,train,event_split_expanded,False,0,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,1,5,5,5.0,5.0,5.0,49,34,1.0,1.0,1.0,,0,0.0,low_segment_power_diagnostic
g_base_minprev1_age1_confirm0_outmaxnull,train,event_split_expanded,False,0,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,3,33,50,11.0,6.0,26.0,122,100,0.5245901639344263,0.57,1.994415636218588,,0,0.0,low_segment_power_diagnostic
g_base_minprev1_age1_confirm0_outmaxnull,train,event_split_expanded,False,0,reconstructed_transition_not_published_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,16,75,99,4.6875,2.5,18.0,509,308,0.49901768172888017,0.41883116883116883,4.480211580239916,,0,0.0,low_segment_power_caution
g_base_minprev1_age1_confirm0_outmaxnull,train,event_split_expanded,False,0,reconstructed_transition_not_published_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,1,2,2,2.0,2.0,2.0,10,10,1.0,1.0,1.0,,0,0.0,low_segment_power_diagnostic
g_base_minprev1_age1_confirm0_outmaxnull,validation,event_split_expanded,False,0,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,7,38,48,5.428571428571429,4.0,14.0,236,119,0.3008474576271186,0.3697478991596639,3.177249270809962,,0,0.0,low_segment_power_caution
g_base_minprev1_age1_confirm0_outmaxnull,validation,event_split_expanded,False,0,published_and_reconstructed_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,2,17,25,8.5,8.5,15.0,59,45,0.6440677966101694,0.5333333333333333,1.991150442477876,,0,0.0,low_segment_power_diagnostic
g_base_minprev1_age1_confirm0_outmaxnull,validation,event_split_expanded,False,0,published_and_reconstructed_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,5,81,116,16.2,7.0,37.0,176,71,0.5852272727272727,0.5352112676056338,2.5179820179820185,,0,0.0,low_segment_power_diagnostic
g_base_minprev1_age1_confirm0_outmaxnull,validation,event_split_expanded,False,0,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,4,29,40,7.25,7.5,11.0,79,47,0.5822784810126582,0.5106382978723404,2.5420023014959727,,0,0.0,low_segment_power_diagnostic
g_base_minprev1_age1_confirm0_outmaxnull,validation,event_split_expanded,False,0,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,1,3,3,3.0,3.0,3.0,84,62,1.0,1.0,1.0,,0,0.0,low_segment_power_diagnostic
g_base_minprev1_age1_confirm0_outmaxnull,validation,event_split_expanded,False,0,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,2,28,38,14.0,14.0,15.0,178,88,0.8651685393258427,0.8295454545454546,1.3943104069139356,,0,0.0,low_segment_power_diagnostic
g_base_minprev1_age1_confirm0_outmaxnull,validation,event_split_expanded,False,0,reconstructed_transition_not_published_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,1,32,46,32.0,32.0,32.0,16,11,1.0,1.0,1.0,,0,0.0,low_segment_power_diagnostic
g_base_minprev1_age1_confirm0_outmaxnull,validation,event_split_expanded,False,0,reconstructed_transition_not_published_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,1,8,10,8.0,8.0,8.0,2,2,1.0,1.0,1.0,,0,0.0,low_segment_power_diagnostic
