grid_rule_id,split,universe_binding_status,pit_transition_context,transition_outcome_label,transition_outcome_direction,source_id,event_n,failure_10_complete_rate,fast_fail_10d_rate,event_false_repair_20d_complete_rate,false_repair_20d_rate,event_big_winner_120d_complete_rate,event_big_winner_120d_rate
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_selected_T4_T7_union,5,1.0,0.0,1.0,0.0,1.0,0.6
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,08_R1_event_regime_gated,31,1.0,0.25806451612903225,1.0,0.2903225806451613,1.0,0.45161290322580644
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,08_R2_event_regime_gated,19,1.0,0.0,1.0,0.0,1.0,0.3684210526315789
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,08_R6_event_regime_gated,33,1.0,0.3333333333333333,1.0,0.42424242424242425,1.0,0.5757575757575758
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,08_R7_event_regime_gated,26,1.0,0.2692307692307692,1.0,0.2692307692307692,1.0,0.5769230769230769
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,08_R8_event_regime_gated,18,1.0,0.16666666666666666,1.0,0.2777777777777778,1.0,0.2222222222222222
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,08_R_core_event_regime_gated,100,1.0,0.23,1.0,0.29,1.0,0.46
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,08_T4_gated,4,1.0,0.0,1.0,0.0,1.0,0.25
g_base_minprev1_age1_confirm0_outmaxnull,robustness,published_and_reconstructed_transition,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,08_selected_T4_T7_union,4,1.0,0.0,1.0,0.0,1.0,0.25
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R1_event_regime_gated,20,1.0,0.05,1.0,0.1,1.0,0.1
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R2_event_regime_gated,11,1.0,0.0,1.0,0.09090909090909091,1.0,0.2727272727272727
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R6_event_regime_gated,32,1.0,0.03125,1.0,0.125,1.0,0.0625
